code,scheme-name,funding-commencement-year,scheme-information,current-admin-organisation,announcement-admin-organisation,grant-summary,lead-investigator,current-funding-amount,announced-funding-amount,grant-status,primary-field-of-research,anticipated-end-date,investigators,lief-register,national-interest-test-statement
"FT250100003","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","The University of Newcastle","The University of Newcastle","Understanding how forced separation disrupts wellbeing. This Fellowship aims to elucidate the biological, psychological and social determinants of the adverse effects of forced family separation on physical and emotional wellbeing. Through utilizing a novel multi-method experimental and longitudinal design that aligns lab-based studies with the ecological study of refugee separation, new knowledge gained will be disseminated to stakeholders via participatory workshops to guide translation pathways. Expected outcomes will advance a science of separation that harnesses psychological insights to address key social issues. This should benefit Australian society by better supporting people to navigate the harmful effects of forced separation through evidence-based best practice and policy.","Prof Belinda Liddell","1313201","1285428","Active","5205 - Social and Personality Psychology","2030-06-29","Prof Belinda Liddell","","Forcible separation due to war, displacement, migration, pandemics or other events (e.g. imprisonment) adversely affects millions of Australians and people around the world. However, there are significant gaps in our understanding of how forced separation affects the brain and body systems that govern how we feel, think and connect, impeding the development of best-practice efforts to support those enduring forced separation.

This Fellowship will address this problem by mapping the biological, psychological and social processes that are negatively impacted or facilitate coping when we are forced to be separated from those we love. Lab-based testing will be combined with the lived experience of refugees to build a scientific model of separation that uncovers new priorities for elevating evidence-based practice.

This model will be disseminated to practice, policy and community stakeholders through participatory workshops and briefings to determine how it can shape practice, influence policy and motivate further research. 

This Fellowship will benefit those separated from family by enabling programs that help to navigate separation with more ease, proactively improve coping and strengthen social resilience. Outcomes will assist providers in their service delivery to reduce the overall burden of separation on Australia’s health system, and contribute to developing healthier, more connected local and global communities that thrive despite adversity."
"FT250100023","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","Deakin University","Deakin University","Heritage and Displacement: Intersections of Exile, Culture and Conflict. This project aims to investigate the intersections between heritage and displacement, and the differing ways these are understood by displaced people, governments and global agencies. This project expects to generate new knowledge via an innovative interdisciplinary approach that includes developing a novel conceptual framework, creating an original database and conducting interviews. Expected outcomes include unprecedented empirical insights into how displaced people from the Middle East perceive their heritage, and the extent to which this aligns with the policies of relevant actors. This should provide significant benefits, shaping further intellectual inquiry and the responses of key international agencies to heritage and displacement.","Prof Benjamin Isakhan","1314650","1286828","Active","4302 - Heritage, Archive and Museum Studies","2030-06-29","Prof Benjamin Isakhan","","The world currently faces the largest crisis of human displacement in history, creating significant challenges for Australia and its interests. This project addresses an important research gap for Australia as the world’s first study of the complex and dynamic relationships between displaced peoples from the Middle East and their heritage. This will have several significant benefits. First, Australia has made, and continues to make, a considerable investment in the region via various ongoing military, humanitarian and peacebuilding initiatives. This project has the potential to further the goals of these efforts by understanding the causes and consequences of mass migration, thereby advancing peace and stability in the Middle East and mitigating against attacks on Australia. Second, this project will enhance Australia’s relationship with important allies (UK, Germany), key Middle East states (Jordan) and prominent global actors (UNESCO). Finally, this project will strengthen relations with increasing numbers of Middle East refugees and migrants, furthering Australia’s status as a peaceful multicultural nation. To maximise understanding and adoption beyond academia, the outcomes of this research will be communicated via policy reports, national and international workshops, community outreach, media engagement and online content."
"FT250100040","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","The University of Melbourne","The University of Melbourne","Understanding the role of microscale fluid dynamics in biology. Water is vital for life, yet traditional experiments and theory in biology routinely overlook the fact that water tends to flow. Ubiquitous fluid flows disperse cells, mix chemicals, and influence the ecology of microbes which underpin entire ecosystem functioning, sometimes in seemingly paradoxical ways. This project aims to develop novel mathematical models and experimental tools for visualising, analysing and predicting microscopic fluid flows in biology. The expected outcomes include an improved capacity to predict and manage changes in coral reefs, elucidating the role of microscale flows in agriculture, and revealing novel strategies for controlling microbes in healthcare settings and biotechnological applications.","A/Prof Douglas Brumley","1139323","1115510","Active","4901 - Applied Mathematics","2029-12-31","A/Prof Douglas Brumley","","Despite their minuscule size, microbes drive large scale processes such as carbon storage in the ocean and the health of plants. Traditional approaches in biology routinely treat microbes as if they are stationary, yet moving fluids are the medium through which biological matter interacts. Microscale fluid flows fundamentally alter the behaviour of microbes, transporting and concentrating them into preferred locations, mixing and redistributing food sources, and shaping chemical gradients that organisms use for navigation. A better understanding of these ubiquitous flows is integral to solving multidisciplinary global challenges, from resilience of corals to disease transmission. This project will reveal how microbes move, grow, and communicate in flow, providing novel quantitative tools required to accurately predict their behaviour in systems ranging from the open ocean to soils, coral reefs and the human gut microbiome. The synergistic combination of mathematical modelling and advanced microscopy developed in this project will be communicated broadly through academic journals, public lectures, press releases and public engagement, and will be directly transferrable to other model systems by researchers in Australia and worldwide. This will have major economic and environmental benefits to Australia, guiding principles for maintaining and restoring healthy reefs, influencing agricultural yields, and actively controlling microbial behaviour in healthcare settings."
"FT250100051","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","The University of New South Wales","The University of New South Wales","Understanding the neural mechanisms underlying adaptive behaviour. Some species exhibit the ability to suitably adapt their behaviour in dynamic environments. A key gap in knowledge is how new experiences can be properly intertwined with pre-existing learning while avoiding interference and disarray. This project seeks to identify the cellular and circuit mechanisms underlying behavioural change. Using established behavioural tasks to measure memory interference, with cutting-edge neuroscience techniques for in vivo imaging and manipulation of brain circuits in behaving mice, this Fellowship aims to unravel how major neuromodulatory systems intersect to modify future behaviours. The translation of this work may lead to better ways to treat inflexible traits and to develop new adaptive artificial networks.","Dr Miriam Matamales","1135338","1111567","Active","3109 - Zoology","2029-06-30","Dr Miriam Matamales","","This Fellowship will elucidate the processes that fine-tune brain circuits controlling behaviour. It will employ advanced methods in behavioural neuroscience and computational biology, to record and manipulate the activity and system dynamics of large ensembles of neurons. This in-depth knowledge can only be gained through the implementation of these sophisticated models and techniques, which are available in my laboratory. Understanding the mechanistic basis of adaptive behaviour is essential for comprehending how humans and non-human animals interact with an ever-changing environment. Accordingly, these findings are relevant to disorders characterised by maladaptive and inflexible traits. Moreover, outcomes from this Fellowship will inform those working at the frontiers of systems engineering and learning theory, and may help develop novel biologically-inspired neural networks. Finally, this Fellowship will facilitate interdisciplinary training for emerging scientists and collaboration with international partners, strengthening Australia's international scientific reputation."
"FT250100055","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","Monash University","Monash University","Crisis, Insurance, and the Techno-Politics of Climate Risk Governance. This project aims to investigate the crisis of uninsurability as many Australians are unable to access or afford insurance due to severe climate catastrophes and breakdowns in risk governance. This project expects to generate new knowledge about the complex conditions of climate vulnerability through an interdisciplinary approach that synthesises ethnographic studies of technical risk models, reinsurance practices, and communities on the frontlines of crisis. Expected outcomes include a strong empirical basis for developing techno-political theories of risk governance and responses to climate crisis. This should provide significant benefits, such as innovative policies that contribute to climate justice and advance Australia’s resilience.","Dr Jathan Sadowski","1156271","1131800","Active","4410 - Sociology","2029-12-31","Dr Jathan Sadowski","","Insurance is the bedrock of modern society. It is the often-overlooked infrastructure that supports a diverse range of other valuable activities. Yet, due to recent upheavals in the global insurance industry caused by severe climate catastrophes and breakdowns in risk governance, a growing number of Australians are unable to access or afford the coverage they need. Recent inquiries by the Australian Senate into insurance availability and insurers’ responses to catastrophes have highlighted the wide-reaching impacts of this risk crisis for Australia’s economy, communities, and national resilience. Through interdisciplinary research and in-depth engagement with climate risk modellers, the reinsurance industry, and communities on the frontlines of crisis in Australia, this project will provide urgent insights into the complex socio-technical conditions that have catalysed and stoked this ongoing crisis. This original empirical and theoretical work will directly guide the development of innovative policies designed to strengthen social systems of risk governance, thus improving the security of vulnerable communities and advancing Australia’s national resilience to climate change. These policies will be created in collaboration with a leading think tank and through a process of iterative, direct feedback from partners in industry and government—which further enhances their adoption and impact. The policies will also be promoted via forums like public events and opinion columns."
"FT250100072","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","The University of Queensland","The University of Queensland","Enabling evidence-based migration policy for the 21st century. The project aims to develop a new model to anticipate the short and long-term impacts of shifts in migration policy on the size and location of the Australian population, the composition of its labour force and the demand for housing. Using state-of-the-art microsimulation with novel administrative microdata linked to visa and citizenship status, the project is expected to set new standards in population projections and to provide a critically needed foundation for forward-looking evidence-based policy to help optimise the immigration intake and strategically plan for population ageing, labour force needs and future housing demand, with expected benefits at both the national and regional levels.","Dr Aude Bernard","1155856","1131404","Active","4403 - Demography","2031-05-31","Dr Aude Bernard","","Anticipating the consequences of changes in migration policy is essential to maximise the benefits of migration. However, existing population projection models do not have migration policy testing capabilities because they do not consider visa status. This project addresses this critical need by developing a new decision-support tool, the first to include visa status and visa transitions, to project the future size, location and composition of the Australian population by key characteristics. Using ‘what-if’ scenarios, it will test four migration policy levers – volume, composition, visa conditions and labour market integration – and assess trade-offs with other policy interventions such as educational expansion and increased labour force participation. Providing a flexible tool to anticipate the consequences of policy decisions to successfully plan for a growing and ageing population under different migration scenarios has the potential to radically transform policymaking. Collaboration with three federal departments and agencies will facilitate the translation of research findings into policy to support the ongoing reform of the migration system. Economic benefits include improving projection reliability by considering migrant diversity, thus limiting the costs of over or under-forecasting future population needs, including demand for housing. Dissemination via an online simulator will help debunk migration myths, facilitate an informed debate and foster social cohesion."
"FT250100092","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","Macquarie University","Macquarie University","Advancing Steerable LLM-powered Agents for Dynamic Multimodal Interactions. This project aims to develop advanced, interactive AI systems by leveraging large language models (LLMs) to create adaptive, multimodal agents that are capable of understanding and interacting through texts, images, and audios. The research will revolutionise decision-making, planning, and alignment with user preferences by advancing multimodal alignment techniques and reinforcement learning. The significance lies in addressing current limitations and making AI adaptive, context-aware, and responsive in real-world scenarios. Expected outcomes include transforming AI performance in dynamic environments such as manufacturing and education, with benefits including scholarly advancements and practical applications in user-centered AI systems. ","Prof Lina Yao","1310192","1282368","Active","4605 - Data Management and Data Science","2029-06-30","Prof Lina Yao","","This project focuses on developing advanced interactive AI systems that leverage large language models (LLMs) to create adaptive, intelligent agents that are capable of making better decisions, planning effectively, and responding to user preferences. It addresses the current AI gaps in handling complex, real-world scenarios, such as long-term decision-making and personalised interactions. By improving AI's capabilities in sectors like energy management, and education, this research aims to significantly enhance the performance and reliability of AI systems in Australia. The potential benefits for Australians are substantial. Economically, the project will drive innovation and job creation in high-growth areas like AI, manufacturing, and energy. Socially, it will lead to more personalised and efficient services, improving outcomes in areas like education and support for older populations. Environmentally, the AI systems developed will optimise renewable energy management, contributing to Australia’s sustainability goals. To maximize the impact of this research, we will actively engage with industry, government, and community stakeholders. This will ensure that the outcomes are translated into practical applications, thereby focusing on real-world adoption. The project aims to drive widespread understanding and integration of advanced AI technologies in Australia's key sectors by promoting the results through public outreach, industry partnerships, and policy discussions.
"
"FT250100095","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","La Trobe University","La Trobe University","Indigenous Australian women’s marriages with USA foreign troops in WWII . This project aims to produce the first comprehensive study of Indigenous Australian women’s international marriages to US servicemen in WWII. Its innovative research focus examines how their migration and subsequent families supported more inclusive meanings of citizenship and structures of public life in Australia and the USA. Expected outcomes include new perspectives on Indigenous women’s contributions to postwar struggles for racial equality and social change, problems relevant today; energising international debates on the significance of homefront histories to the momentous transformations of WWII. Expected benefits include expanded knowledge of Indigenous people’s advocacy, mobility and diplomacy in understanding Australia’s past.","A/Prof Karen Hughes","1314503","1286680","Active","4501 - Aboriginal and Torres Strait Islander Culture, Language and History","2030-03-15","A/Prof Karen Hughes","","The history of Australian war brides is well known but few people know of the significant migration of Indigenous Australian women as spouses overseas following World War II. Indigenous women’s participation in the war bride scheme was proportionate to their percentage in the wider Australian population. Yet there is little to no understanding of this unique experience in Australian history and contemporary culture. In collaboration with descendants of these families, this project will engage in important truth-telling about an aspect of Australia’s history that should be widely celebrated. This work will contribute to greater recognition of the varied participation of Indigenous women in wartime Australia and will have flow-on benefits of educating mainstream Australians about our nation’s history. The project will enhance Indigenous social and emotional wellbeing and contribute to greater social equity. Important public outcomes of the project will include a digital and national museum exhibition and a book. The project findings will contribute to a better understanding of Australian diplomatic relationships then and now. Through archival research and public forums which will place Indigenous communities and government policy makers in dialogue, the project will inform policy and support the embedding of First Nations perspectives in Australia’s international diplomacy."
"FT250100099","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","The Australian National University","The Australian National University","Rebuilding Ukraine: From its War-Torn Past to its War-Torn Present. The project aims to investigate ways to rebuild Ukraine’s war-torn communities so that post-war violence can be avoided. It expects to generate new knowledge of rebuilding during and after conflict by using an innovative approach to recover rebuilding strategies from an analysis of Ukrainian history. It will test their implementation in the present. Expected outcomes include new historically-informed explanations of how societies can recover from war. This should provide benefits to Ukrainian communities with whom the project works to implement these strategies on the ground, and to the Australian government in policy advice about Ukraine.","Dr Filip Slaveski","1151425","1127074","Active","4303 - Historical Studies","2031-01-10","Dr Filip Slaveski","","Global conflict threatens Australia’s allies in Ukraine and NATO, global security, and Australia’s place within it. Australia has met these challenges by committing $1.3 billion of taxpayer money to support Ukraine in its war against Russia. But Australia is unprepared to meet the next challenge of helping to rebuild war-torn Ukraine now and into the future as a sustainable democracy. Through an analysis of Ukraine’s past, this project will deliver a “lost history” of successful strategies of Ukrainian rebuilding, providing critical historical reflections that can help support current and future recovery efforts. Books, public lectures, press articles and a website will support broader public engagement with these proven pathways for successful recovery. Specific policy briefing resources will be shared via a dedicated joint federal departmental forum with key government stakeholders, including DFAT and Defence, further supporting knowledge transfer, and uptake by key foreign policy agencies. Through their engagement with this research, this project will inform the next stage of policy development in conflict and post-war recovery strategies, delivering significant benefits for the sector by building foreign policy expertise and capability, and ensuring Australia is well placed to lead current and future post-war recovery efforts across the globe."
"FT250100107","ARC Future Fellowships","2025","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2024 ^ roundNumber: 1 ^ schemeRound: FT25 Round 1","University of Technology Sydney","University of Technology Sydney","Using cognitive and behavioural science to understand food rewards. This project aims to investigate how cues associated with food rewards (such as the McDonald's M) affect learning, cognition and motivated behaviour in humans.  Using well-validated and reliable methods from studies of reward processing in behavioural neuroscience, this project will shed light on how cues that signal reward bias decision making across different contexts - when individuals are hungry, full, stressed, or currently seeking to moderate food intake. The expected project outcome is novel mechanistic insights into the behavioural determinants of food choice. This project will contribute to an evidence base that can inform future policy and potential regulation of food advertising in Australia. ","Dr Poppy Watson","961181","941151","Active","5204 - Cognitive and Computational Psychology","2029-12-31","Dr Poppy Watson","","Food brands and logos, like the McDonalds 'golden arches', are everywhere, even in our homes through advertisements. These food cues are believed to make people eat more than they need to, in excessive and unnecessary amounts, but we don't fully understand how seeing these food rewards all the time is affecting our thinking, choices, and eating habits.

This project uses tasks from behavioural and cognitive science to understand how anticipating food rewards influences learning, thinking, and motivated behaviour. We will look at the conflict between automatic responses to food rewards and our 'good intentions' and see how these cues affect our choices in different situations, like when hungry, full, stressed, or trying to eat less.

Our research will provide evidence that can help shape future policies and regulations on food advertising in Australia. This new knowledge will inform better policies that reduce healthcare costs related to obesity and improve public health. It will also promote healthier eating habits and encourage sustainable food practices.

We will share our findings with policymakers, healthcare professionals, and the public through policy briefs, public seminars, social media and collaborations with health organisations and policy advocacy groups around junk food advertising.
"
