row_id,host_openalex_id
0,I78757542
1,I149704539
2,I165779595
3,I31746571
4,I56590836
5,I165143802
6,I99043593
7,I196829312
8,I118347636
9,I114017466
10,I118347636
11,I165779595
12,I165779595
13,I114017466
14,I99043593
15,I129604602
16,I118347636
17,I177877127
18,I56590836
19,I129604602
20,I82951845
21,I129604602
22,I129604602
23,I4405259444
24,I56590836
25,I31746571
26,I204824540
27,I82951845
28,I196829312
29,I165143802
30,I129604602
31,I165779595
32,I56590836
33,I11701301
34,I165143802
35,I118347636
36,I56590836
37,I56590836
38,I165143802
39,I165143802
40,I160993911
41,I56590836
42,I82951845
43,I4405259444
44,I204824540
45,I4405259444
46,I196829312
47,I165779595
48,I165779595
49,I99043593
50,I176790772
51,I129604602
52,I165779595
53,I196829312
54,I11701301
55,I99043593
56,I165779595
57,I63525965
58,I4405259444
59,I149704539
60,I196829312
61,I56590836
62,I56590836
63,I165143802
64,I31746571
65,I165779595
66,I4405259444
67,I165143802
68,I165143802
69,I31746571
70,I165143802
71,I165143802
72,I204824540
73,I78757542
74,I177877127
75,I165143802
76,I11701301
77,I205640436
78,I86467917
79,I56590836
80,I153230381
81,I165143802
82,I63525965
83,I205640436
84,I129604602
85,I56590836
86,I204824540
87,I165779595
88,I118347636
89,I31746571
90,I129604602
91,I99043593
92,I177877127
93,I129604602
94,I31746571
95,I4405259444
96,I204824540
97,I56590836
98,I118347636
99,I118347636
100,I118347636
101,I114017466
102,I185523456
103,I11701301
104,I165143802
105,I165143802
106,I31746571
107,I205640436
108,I165779595
109,I169541294
110,I118347636
111,I129604602
112,I129801699
113,I205640436
114,I56590836
115,I129604602
116,I165779595
117,I99043593
118,I114017466
119,I118347636
120,I31746571
121,I31746571
122,I118347636
123,I114017466
124,I4405259444
125,I118347636
126,I165143802
127,I11701301
128,I196829312
129,I11701301
130,I99043593
131,I118347636
132,I11701301
133,I5681781
134,I82951845
135,I165779595
136,I114017466
137,I165779595
138,I169541294
139,I99043593
140,I82951845
141,I11701301
142,I165143802
143,I11701301
144,I129604602
145,I118347636
146,I165143802
147,I31746571
148,I56590836
149,I31746571
150,I165143802
151,I129604602
152,I4405259444
153,I169541294
154,I63525965
155,I129801699
156,I129801699
157,I177877127
158,I56590836
159,I118347636
160,I56590836
161,I165779595
162,I56590836
163,I11701301
164,I129801699
165,I165143802
166,I118347636
167,I165779595
168,I169541294
169,I129604602
170,I31746571
171,I177877127
172,I165143802
173,I114017466
174,I31746571
175,I129604602
176,I11701301
177,I4405259444
178,I188329596
179,I129604602
180,I149672521
181,I86467917
182,I31746571
183,I129604602
184,I165143802
185,I31746571
186,I165143802
187,I196829312
188,I56590836
189,I56590836
190,I169541294
191,I165143802
192,I118347636
193,I56590836
194,I165143802
195,I74899385
196,I165143802
197,I165143802
198,I5681781
199,I169541294
200,I204824540
201,I31746571
202,I165143802
203,I56590836
204,I149704539
205,I57093077
206,I118347636
207,I118347636
208,I114017466
209,I82951845
210,I99043593
211,I11701301
212,I5681781
213,I114017466
214,I165143802
215,I118347636
216,I31746571
217,I99043593
218,I114017466
219,I165779595
220,I118347636
221,I82951845
222,I169541294
223,I4405259444
224,I165779595
225,I169541294
226,I56590836
227,I4405259444
228,I118347636
229,I4405259444
230,I99043593
231,I31746571
232,I177877127
233,I165779595
234,I57093077
235,I165143802
236,I129801699
237,I165779595
238,I118347636
239,I129604602
240,I160993911
241,I129604602
242,I165143802
243,I31746571
244,I149704539
245,I177877127
246,I165779595
247,I129801699
248,I185523456
249,I177877127
250,I177877127
251,I205640436
252,I165779595
253,I165143802
254,I31746571
255,I11701301
256,I129604602
257,I56590836
258,I86695891
259,I165143802
260,I31746571
261,I169541294
262,I165143802
263,I165143802
264,I82951845
265,I165779595
266,I99043593
267,I165779595
268,I129604602
269,I169541294
270,I31746571
271,I165143802
272,I185523456
273,I129604602
274,I5681781
275,I4405259444
276,I118347636
277,I31746571
278,I165143802
279,I129604602
280,I165779595
281,I160993911
282,I118347636
283,I56590836
284,I82951845
285,I56590836
286,I99043593
287,I4405259444
288,I118347636
289,I204824540
290,I4405259444
291,I177877127
292,I129604602
293,I56590836
294,I4405259444
295,I71270174
296,I165143802
297,I31746571
298,I99043593
299,I160993911
300,I31746571
301,I118347636
302,I63525965
303,I114017466
304,I196829312
305,I118347636
306,I204824540
307,I114017466
308,I169541294
309,I149704539
310,I165143802
311,I149704539
312,I129604602
313,I169541294
314,I165779595
315,I31746571
316,I31746571
317,I129801699
318,I31746571
319,I165143802
320,I160993911
321,I129604602
322,I99043593
323,I129604602
324,I165779595
325,I99043593
326,I31746571
327,I185523456
328,I31746571
329,I204824540
330,I169541294
331,I165143802
332,I160993911
333,I129801699
334,I165779595
335,I118347636
336,I56590836
337,I56590836
338,I129604602
339,I165779595
340,I78757542
341,I165779595
342,I165143802
343,I149704539
344,I129604602
345,I129604602
346,I31746571
347,I31746571
348,I57093077
349,I165779595
350,I99043593
351,I31746571
352,I31746571
353,I31746571
354,I165143802
355,I165143802
356,I165779595
357,I56590836
358,I56590836
359,I82951845
360,I99043593
361,I82951845
362,I78757542
363,I82951845
364,I114017466
365,I56590836
366,I205640436
367,I165143802
368,I31746571
369,I129604602
370,I114017466
371,I93396115
372,I56590836
373,I82951845
374,I165779595
375,I165779595
376,I129801699
377,I114017466
378,I165143802
379,I99043593
380,I118347636
381,I56590836
382,I129604602
383,I169541294
384,I31746571
385,I165143802
386,I129604602
387,I129604602
388,I165143802
389,I56590836
390,I149704539
391,I160993911
392,I31746571
393,I149704539
394,I118347636
395,I118347636
396,I57093077
397,I56590836
398,I57093077
399,I129604602
400,I31746571
401,I165779595
402,I205640436
403,I205640436
404,I165779595
405,I11701301
406,I57093077
407,I11701301
408,I114017466
409,I165779595
410,I5681781
411,I31746571
412,I31746571
413,I31746571
414,I31746571
415,I56590836
416,I31746571
417,I165779595
418,I129604602
419,I129604602
420,I129604602
421,I160993911
422,I74899385
423,I99043593
424,I160993911
425,I129604602
426,I165779595
427,I160993911
428,I160993911
429,I169541294
430,I165143802
431,I177877127
432,I196829312
433,I149704539
434,I82951845
435,I31746571
436,I99043593
437,I165143802
438,I99043593
439,I31746571
440,I129604602
441,I99043593
442,I31746571
443,I5681781
444,I118347636
445,I165779595
446,I129604602
447,I118347636
448,I169541294
449,I118347636
