row_id,code,scheme-name,funding-commencement-year,grant-status,lead-investigator,primary-field-of-research,current-admin-organisation,host_openalex_id,matched_name,method,relevance,ror,announcement-admin-organisation,announcement_host_openalex_id
0,FT250100003,ARC Future Fellowships,2025,Active,Prof Belinda Liddell,5205 - Social and Personality Psychology,The University of Newcastle,,,pending,,,The University of Newcastle,
1,FT250100023,ARC Future Fellowships,2025,Active,Prof Benjamin Isakhan,"4302 - Heritage, Archive and Museum Studies",Deakin University,,,pending,,,Deakin University,
2,FT250100040,ARC Future Fellowships,2025,Active,A/Prof Douglas Brumley,4901 - Applied Mathematics,The University of Melbourne,,,pending,,,The University of Melbourne,
3,FT250100051,ARC Future Fellowships,2025,Active,Dr Miriam Matamales,3109 - Zoology,The University of New South Wales,,,pending,,,The University of New South Wales,
4,FT250100055,ARC Future Fellowships,2025,Active,Dr Jathan Sadowski,4410 - Sociology,Monash University,,,pending,,,Monash University,
5,FT250100072,ARC Future Fellowships,2025,Active,Dr Aude Bernard,4403 - Demography,The University of Queensland,,,pending,,,The University of Queensland,
6,FT250100092,ARC Future Fellowships,2025,Active,Prof Lina Yao,4605 - Data Management and Data Science,Macquarie University,,,pending,,,Macquarie University,
7,FT250100095,ARC Future Fellowships,2025,Active,A/Prof Karen Hughes,"4501 - Aboriginal and Torres Strait Islander Culture, Language and History",La Trobe University,,,pending,,,La Trobe University,
8,FT250100099,ARC Future Fellowships,2025,Active,Dr Filip Slaveski,4303 - Historical Studies,The Australian National University,,,pending,,,The Australian National University,
9,FT250100107,ARC Future Fellowships,2025,Active,Dr Poppy Watson,5204 - Cognitive and Computational Psychology,University of Technology Sydney,,,pending,,,University of Technology Sydney,
10,FT250100113,ARC Future Fellowships,2025,Active,Dr Ben Scheele,4104 - Environmental Management,The Australian National University,,,pending,,,The Australian National University,
11,FT250100116,ARC Future Fellowships,2025,Active,Prof David Byrne,3801 - Applied Economics,The University of Melbourne,,,pending,,,The University of Melbourne,
12,FT250100128,ARC Future Fellowships,2025,Active,Prof Samuel Baron,5003 - Philosophy,The University of Melbourne,,,pending,,,The University of Melbourne,
13,FT250100132,ARC Future Fellowships,2025,Active,Prof Md Jahangir Hossain,4008 - Electrical Engineering,University of Technology Sydney,,,pending,,,University of Technology Sydney,
14,FT250100159,ARC Future Fellowships,2025,Active,Prof Jia Wu,4605 - Data Management and Data Science,Macquarie University,,,pending,,,Macquarie University,
15,FT250100160,ARC Future Fellowships,2025,Active,A/Prof Anne Thomas,4904 - Pure Mathematics,The University of Sydney,,,pending,,,The University of Sydney,
16,FT250100162,ARC Future Fellowships,2025,Active,Dr Edward Simpson,5106 - Nuclear and Plasma Physics,The Australian National University,,,pending,,,The Australian National University,
17,FT250100168,ARC Future Fellowships,2025,Active,Dr Maxim Goryachev,5108 - Quantum Physics,The University of Western Australia,,,pending,,,The University of Western Australia,
18,FT250100171,ARC Future Fellowships,2025,Active,Dr Cameron Bentley,3406 - Physical Chemistry,Monash University,,,pending,,,Monash University,
19,FT250100180,ARC Future Fellowships,2025,Active,Dr Shuying Wu,4016 - Materials Engineering,The University of Sydney,,,pending,,,The University of Sydney,
20,FT250100182,ARC Future Fellowships,2025,Active,Dr Rajeev Roychand,4005 - Civil Engineering,RMIT University,,,pending,,,RMIT University,
21,FT250100191,ARC Future Fellowships,2025,Active,A/Prof Maté Biro,3101 - Biochemistry and Cell Biology,The University of Sydney,,,pending,,,The University of Sydney,
22,FT250100199,ARC Future Fellowships,2025,Active,Dr Tiangang Cui,4903 - Numerical and Computational Mathematics,The University of Sydney,,,pending,,,The University of Sydney,
23,FT250100204,ARC Future Fellowships,2025,Active,Dr Wenjie Tian,4016 - Materials Engineering,Adelaide University,I4405259444,Adelaide University,exact,41.817158,https://ror.org/028g18b61,The University of Adelaide,
24,FT250100206,ARC Future Fellowships,2025,Active,A/Prof Sharna Jamadar,5202 - Biological Psychology,Monash University,,,pending,,,Monash University,
25,FT250100208,ARC Future Fellowships,2025,Active,A/Prof Alina Ostafe,4904 - Pure Mathematics,The University of New South Wales,,,pending,,,The University of New South Wales,
26,FT250100217,ARC Future Fellowships,2025,Active,A/Prof Michelle Voyer,4803 - International and Comparative Law,University of Wollongong,,,pending,,,University of Wollongong,
27,FT250100226,ARC Future Fellowships,2025,Active,Prof Dawei Su,4016 - Materials Engineering,RMIT University,,,pending,,,RMIT University,
28,FT250100237,ARC Future Fellowships,2025,Active,Dr Dugald Reid,3108 - Plant Biology,La Trobe University,,,pending,,,La Trobe University,
29,FT250100239,ARC Future Fellowships,2025,Active,A/Prof Ruirui Qiao,4016 - Materials Engineering,The University of Queensland,,,pending,,,The University of Queensland,
30,FT250100252,ARC Future Fellowships,2025,Active,A/Prof Pengyi Yang,3102 - Bioinformatics and Computational Biology,The University of Sydney,,,pending,,,The University of Sydney,
31,FT250100270,ARC Future Fellowships,2025,Active,A/Prof Bjørn Nansen,4701 - Communication and Media Studies,The University of Melbourne,,,pending,,,The University of Melbourne,
32,FT250100305,ARC Future Fellowships,2025,Active,Dr Suzy Killmister,5003 - Philosophy,Monash University,,,pending,,,Monash University,
33,FT250100311,ARC Future Fellowships,2025,Active,Prof Matthew Currell,3707 - Hydrology,Griffith University,,,pending,,,Griffith University,
34,FT250100313,ARC Future Fellowships,2025,Active,Dr Katarzyna Koltowska,3101 - Biochemistry and Cell Biology,The University of Queensland,,,pending,,,The University of Queensland,
35,FT250100327,ARC Future Fellowships,2025,Active,Dr Grace Shephard,3706 - Geophysics,The Australian National University,,,pending,,,The Australian National University,
36,FT250100334,ARC Future Fellowships,2025,Active,Dr Leon Smyth,3109 - Zoology,Monash University,,,pending,,,Monash University,
37,FT250100335,ARC Future Fellowships,2025,Active,A/Prof Liton Kamruzzaman,3304 - Urban and Regional Planning,Monash University,,,pending,,,Monash University,
38,FT250100337,ARC Future Fellowships,2025,Active,Prof Zuduo Zheng,"3509 - Transportation, Logistics and Supply Chains",The University of Queensland,,,pending,,,The University of Queensland,
39,FT250100341,ARC Future Fellowships,2025,Active,A/Prof Seth Cheetham,3106 - Industrial Biotechnology,The University of Queensland,,,pending,,,The University of Queensland,
