row_id,code,institution,host_openalex_id,matched_name
0,FT250100003,The University of Newcastle,I78757542,(manual)
1,FT250100023,Deakin University,I149704539,Deakin University
2,FT250100040,The University of Melbourne,I165779595,The University of Melbourne
3,FT250100051,The University of New South Wales,I31746571,(manual)
4,FT250100055,Monash University,I56590836,Monash University
5,FT250100072,The University of Queensland,I165143802,The University of Queensland
6,FT250100092,Macquarie University,I99043593,Macquarie University
7,FT250100095,La Trobe University,I196829312,La Trobe University
8,FT250100099,The Australian National University,I118347636,(manual)
9,FT250100107,University of Technology Sydney,I114017466,University of Technology Sydney
10,FT250100113,The Australian National University,I118347636,(manual)
11,FT250100116,The University of Melbourne,I165779595,The University of Melbourne
12,FT250100128,The University of Melbourne,I165779595,The University of Melbourne
13,FT250100132,University of Technology Sydney,I114017466,University of Technology Sydney
14,FT250100159,Macquarie University,I99043593,Macquarie University
15,FT250100160,The University of Sydney,I129604602,The University of Sydney
16,FT250100162,The Australian National University,I118347636,(manual)
17,FT250100168,The University of Western Australia,I177877127,The University of Western Australia
18,FT250100171,Monash University,I56590836,Monash University
19,FT250100180,The University of Sydney,I129604602,The University of Sydney
20,FT250100182,RMIT University,I82951845,RMIT University
21,FT250100191,The University of Sydney,I129604602,The University of Sydney
22,FT250100199,The University of Sydney,I129604602,The University of Sydney
23,FT250100204,Adelaide University,I4405259444,Adelaide University
24,FT250100206,Monash University,I56590836,Monash University
25,FT250100208,The University of New South Wales,I31746571,(manual)
26,FT250100217,University of Wollongong,I204824540,University of Wollongong
27,FT250100226,RMIT University,I82951845,RMIT University
28,FT250100237,La Trobe University,I196829312,La Trobe University
29,FT250100239,The University of Queensland,I165143802,The University of Queensland
30,FT250100252,The University of Sydney,I129604602,The University of Sydney
31,FT250100270,The University of Melbourne,I165779595,The University of Melbourne
32,FT250100305,Monash University,I56590836,Monash University
33,FT250100311,Griffith University,I11701301,Griffith University
34,FT250100313,The University of Queensland,I165143802,The University of Queensland
35,FT250100327,The Australian National University,I118347636,(manual)
36,FT250100334,Monash University,I56590836,Monash University
37,FT250100335,Monash University,I56590836,Monash University
38,FT250100337,The University of Queensland,I165143802,The University of Queensland
39,FT250100341,The University of Queensland,I165143802,The University of Queensland
40,FT250100360,Queensland University of Technology,I160993911,Queensland University of Technology
41,FT250100365,Monash University,I56590836,Monash University
42,FT250100371,RMIT University,I82951845,RMIT University
43,FT250100383,Adelaide University,I4405259444,Adelaide University
44,FT250100401,University of Wollongong,I204824540,University of Wollongong
45,FT250100412,Adelaide University,I4405259444,Adelaide University
46,FT250100413,La Trobe University,I196829312,La Trobe University
47,FT250100415,The University of Melbourne,I165779595,The University of Melbourne
48,FT250100438,The University of Melbourne,I165779595,The University of Melbourne
49,FT250100446,Macquarie University,I99043593,Macquarie University
50,FT250100448,Murdoch University,I176790772,Murdoch University
51,FT250100453,The University of Sydney,I129604602,The University of Sydney
52,FT250100459,The University of Melbourne,I165779595,The University of Melbourne
53,FT250100460,La Trobe University,I196829312,La Trobe University
54,FT250100495,Griffith University,I11701301,Griffith University
55,FT250100503,Macquarie University,I99043593,Macquarie University
56,FT250100508,The University of Melbourne,I165779595,The University of Melbourne
57,FT250100520,Western Sydney University,I63525965,Western Sydney University
58,FT250100521,Adelaide University,I4405259444,Adelaide University
59,FT250100529,Deakin University,I149704539,Deakin University
60,FT250100533,La Trobe University,I196829312,La Trobe University
61,FT250100563,Monash University,I56590836,Monash University
62,FT250100565,Monash University,I56590836,Monash University
63,FT250100569,The University of Queensland,I165143802,The University of Queensland
64,FT250100584,The University of New South Wales,I31746571,(manual)
65,FT250100595,The University of Melbourne,I165779595,The University of Melbourne
66,FT250100606,Adelaide University,I4405259444,Adelaide University
67,FT250100607,The University of Queensland,I165143802,The University of Queensland
68,FT250100610,The University of Queensland,I165143802,The University of Queensland
69,FT250100612,The University of New South Wales,I31746571,(manual)
70,FT250100621,The University of Queensland,I165143802,The University of Queensland
71,FT250100646,The University of Queensland,I165143802,The University of Queensland
72,FT250100652,University of Wollongong,I204824540,University of Wollongong
73,FT250100662,The University of Newcastle,I78757542,(manual)
74,FT250100670,The University of Western Australia,I177877127,The University of Western Australia
75,FT250100684,The University of Queensland,I165143802,The University of Queensland
76,FT250100699,Griffith University,I11701301,Griffith University
77,FT250100734,Curtin University,I205640436,Curtin University
78,FT250100737,James Cook University,I86467917,James Cook University
79,FT250100748,Monash University,I56590836,Monash University
80,FT250100757,Charles Sturt University,I153230381,Charles Sturt University
81,FT250100772,The University of Queensland,I165143802,The University of Queensland
82,FT250100777,Western Sydney University,I63525965,Western Sydney University
83,FT250100812,Curtin University,I205640436,Curtin University
84,FT250100813,The University of Sydney,I129604602,The University of Sydney
85,FT250100816,Monash University,I56590836,Monash University
86,FT250100821,University of Wollongong,I204824540,University of Wollongong
87,FT250100831,The University of Melbourne,I165779595,The University of Melbourne
88,FT250100834,The Australian National University,I118347636,(manual)
89,FT250100844,The University of New South Wales,I31746571,(manual)
90,FT250100852,The University of Sydney,I129604602,The University of Sydney
91,FT250100853,Macquarie University,I99043593,Macquarie University
92,FT250100854,The University of Western Australia,I177877127,The University of Western Australia
93,FT250100855,The University of Sydney,I129604602,The University of Sydney
94,FT250100875,The University of New South Wales,I31746571,(manual)
95,FT250100879,Adelaide University,I4405259444,Adelaide University
96,FT250100880,University of Wollongong,I204824540,University of Wollongong
97,FT250100881,Monash University,I56590836,Monash University
98,FT250100922,The Australian National University,I118347636,(manual)
99,FT250100951,The Australian National University,I118347636,(manual)
100,FT240100010,The Australian National University,I118347636,(manual)
101,FT240100011,University of Technology Sydney,I114017466,University of Technology Sydney
102,FT240100016,University of Southern Queensland,I185523456,University of Southern Queensland
103,FT240100020,Griffith University,I11701301,Griffith University
104,FT240100022,The University of Queensland,I165143802,The University of Queensland
105,FT240100030,The University of Queensland,I165143802,The University of Queensland
106,FT240100038,The University of New South Wales,I31746571,(manual)
107,FT240100041,Curtin University,I205640436,Curtin University
108,FT240100043,The University of Melbourne,I165779595,The University of Melbourne
109,FT240100067,Flinders University,I169541294,Flinders University
110,FT240100071,The Australian National University,I118347636,(manual)
111,FT240100089,The University of Sydney,I129604602,The University of Sydney
112,FT240100092,University of Tasmania,I129801699,University of Tasmania
113,FT240100140,Curtin University,I205640436,Curtin University
114,FT240100146,Monash University,I56590836,Monash University
115,FT240100162,The University of Sydney,I129604602,The University of Sydney
116,FT240100170,The University of Melbourne,I165779595,The University of Melbourne
117,FT240100181,Macquarie University,I99043593,Macquarie University
118,FT240100194,University of Technology Sydney,I114017466,University of Technology Sydney
119,FT240100198,The Australian National University,I118347636,(manual)
120,FT240100200,The University of New South Wales,I31746571,(manual)
121,FT240100203,The University of New South Wales,I31746571,(manual)
122,FT240100210,The Australian National University,I118347636,(manual)
123,FT240100222,University of Technology Sydney,I114017466,University of Technology Sydney
124,FT240100224,Adelaide University,I4405259444,Adelaide University
125,FT240100229,The Australian National University,I118347636,(manual)
126,FT240100230,The University of Queensland,I165143802,The University of Queensland
127,FT240100236,Griffith University,I11701301,Griffith University
128,FT240100256,La Trobe University,I196829312,La Trobe University
129,FT240100262,Griffith University,I11701301,Griffith University
130,FT240100269,Macquarie University,I99043593,Macquarie University
131,FT240100278,The Australian National University,I118347636,(manual)
132,FT240100280,Griffith University,I11701301,Griffith University
133,FT240100291,The University of Adelaide,I5681781,The University of Adelaide
134,FT240100301,RMIT University,I82951845,RMIT University
135,FT240100306,The University of Melbourne,I165779595,The University of Melbourne
136,FT240100307,University of Technology Sydney,I114017466,University of Technology Sydney
137,FT240100322,The University of Melbourne,I165779595,The University of Melbourne
138,FT240100330,Flinders University,I169541294,Flinders University
139,FT240100338,Macquarie University,I99043593,Macquarie University
140,FT240100348,RMIT University,I82951845,RMIT University
141,FT240100352,Griffith University,I11701301,Griffith University
142,FT240100361,The University of Queensland,I165143802,The University of Queensland
143,FT240100370,Griffith University,I11701301,Griffith University
144,FT240100376,The University of Sydney,I129604602,The University of Sydney
145,FT240100378,The Australian National University,I118347636,(manual)
146,FT240100383,The University of Queensland,I165143802,The University of Queensland
147,FT240100384,The University of New South Wales,I31746571,(manual)
148,FT240100396,Monash University,I56590836,Monash University
149,FT240100398,The University of New South Wales,I31746571,(manual)
150,FT240100405,The University of Queensland,I165143802,The University of Queensland
151,FT240100418,The University of Sydney,I129604602,The University of Sydney
152,FT240100420,Adelaide University,I4405259444,Adelaide University
153,FT240100422,Flinders University,I169541294,Flinders University
154,FT240100427,Western Sydney University,I63525965,Western Sydney University
155,FT240100466,University of Tasmania,I129801699,University of Tasmania
156,FT240100473,University of Tasmania,I129801699,University of Tasmania
157,FT240100475,The University of Western Australia,I177877127,The University of Western Australia
158,FT240100491,Monash University,I56590836,Monash University
159,FT240100498,The Australian National University,I118347636,(manual)
160,FT240100502,Monash University,I56590836,Monash University
161,FT240100506,The University of Melbourne,I165779595,The University of Melbourne
162,FT240100511,Monash University,I56590836,Monash University
163,FT240100514,Griffith University,I11701301,Griffith University
164,FT240100519,University of Tasmania,I129801699,University of Tasmania
165,FT240100520,The University of Queensland,I165143802,The University of Queensland
166,FT240100522,The Australian National University,I118347636,(manual)
167,FT240100555,The University of Melbourne,I165779595,The University of Melbourne
168,FT240100558,Flinders University,I169541294,Flinders University
169,FT240100578,The University of Sydney,I129604602,The University of Sydney
170,FT240100584,The University of New South Wales,I31746571,(manual)
171,FT240100587,The University of Western Australia,I177877127,The University of Western Australia
172,FT240100592,The University of Queensland,I165143802,The University of Queensland
173,FT240100596,University of Technology Sydney,I114017466,University of Technology Sydney
174,FT240100607,The University of New South Wales,I31746571,(manual)
175,FT240100614,The University of Sydney,I129604602,The University of Sydney
176,FT240100621,Griffith University,I11701301,Griffith University
177,FT240100641,Adelaide University,I4405259444,Adelaide University
178,FT240100653,University of Canberra,I188329596,University of Canberra
179,FT240100665,The University of Sydney,I129604602,The University of Sydney
180,FT240100673,Federation University Australia,I149672521,(manual)
181,FT240100685,James Cook University,I86467917,James Cook University
182,FT240100691,The University of New South Wales,I31746571,(manual)
183,FT240100693,The University of Sydney,I129604602,The University of Sydney
184,FT240100725,The University of Queensland,I165143802,The University of Queensland
185,FT240100731,The University of New South Wales,I31746571,(manual)
186,FT240100740,The University of Queensland,I165143802,The University of Queensland
187,FT240100767,La Trobe University,I196829312,La Trobe University
188,FT240100795,Monash University,I56590836,Monash University
189,FT240100798,Monash University,I56590836,Monash University
190,FT240100815,Flinders University,I169541294,Flinders University
191,FT240100816,The University of Queensland,I165143802,The University of Queensland
192,FT240100820,The Australian National University,I118347636,(manual)
193,FT240100821,Monash University,I56590836,Monash University
194,FT240100825,The University of Queensland,I165143802,The University of Queensland
195,FT240100831,Central Queensland University,I74899385,Central Queensland University
196,FT240100832,The University of Queensland,I165143802,The University of Queensland
197,FT240100854,The University of Queensland,I165143802,The University of Queensland
198,FT240100855,The University of Adelaide,I5681781,The University of Adelaide
199,FT240100856,Flinders University,I169541294,Flinders University
200,FT230100001,University of Wollongong,I204824540,University of Wollongong
201,FT230100002,The University of New South Wales,I31746571,(manual)
