rid,aus_name,authorid,match_type,host_id,source,n_papers
143,Fernando Martinez Coma,A5003565034,exact,,name_unique,1
388,Rowan Young,A5111436971,exact,,name_unique,1
1610,Vishwanathan Swaminathan,A5110446760,exact,,name_unique,1
1632,Anne-Marie Peters,A5022770067,exact,,name_unique,2
1914,Till Boecking,A5110838957,exact,,name_unique,9
1468,Christopher Vale,A5028729526,exact,,name_unique,11
53,Benjamin Gully,A5002798343,exact,,name_unique,12
45,Stefan Loehr,A5109404382,exact,,name_unique,17
673,Claudia Haake,A5004899940,exact,,name_unique,19
56,Pirooz Zareie,A5017749886,exact,,name_unique,23
930,Sebastiana Nervegna,A5010488331,exact,,name_unique,24
1942,Dennis Del Favero,A5026641165,exact,,name_unique,26
1985,Saliha Belmessous,A5067635738,exact,,name_unique,27
1993,Craig Westerland,A5021662516,exact,,name_unique,27
86,Sinead Keaveney,A5079471497,exact,,name_unique,28
1343,Ingrid Sykes,A5046102441,exact,,name_unique,28
395,Joanna Melonek,A5002187941,exact,,name_unique,29
463,Laura Bray,A5019987664,alias,,round3_semantic,1
505,Alexander Bissember,A5112395648,fuzzy,,round3_semantic,1
943,Frederick Osmond,A5010453028,fuzzy,,round3_semantic,1
1641,Jan Hemmi,A5035520115,alias,,round3_semantic,1
379,Christopher Reid,A5060337819,alias,,round3_semantic,2
542,Mark Moore,A5005035651,alias,,round3_semantic,2
867,Timothy Connallon,A5109008072,alias,,round3_semantic,2
995,Jocelyn (Lyn) Craig,A5078628822,fuzzy,,round3_semantic,2
1066,Alice Pébay AM,A5093223892,fuzzy,,round3_semantic,2
1870,Beate Escher,A5082868550,alias,,round3_semantic,2
2131,Martina Stenzel,A5103647701,alias,,round3_semantic,2
1475,Thomas Carlson,A5015929322,alias,,round3_semantic,3
24,Sharna Jamadar,A5113739211,alias,,round3_semantic,4
1523,Baijun (Ben) Gu,A5006599433,fuzzy,,round3_semantic,4
1490,Paul Dux,A5077286799,alias,,round3_semantic,5
1521,Timothy Carroll,A5067432619,alias,,round3_semantic,5
1873,Richard Clark,A5113993988,alias,,round3_semantic,6
1351,Spencer Williams,A5103038943,alias,,round3_semantic,7
58,Jun-Jie Zeng,A5055806350,alias,,round3_semantic,8
912,Peter Enticott,A5112030847,alias,,round3_semantic,12
1414,Andrew Berry,A5011023050,alias,,round3_semantic,12
1312,Mark Bellgrove,A5084689307,alias,,round3_semantic,14
1911,Murray Olsen,A5111583606,alias,,round3_semantic,16
398,Darren Croton,A5108584413,alias,,round3_semantic,21
1210,Paula Dawson,A5008007080,alias,,round3_semantic,23
1775,Ari Heinrich,A5112559540,alias,,round3_semantic,23
1198,Patricia O'Brien,A5045901554,alias,,round3_semantic,24
1038,Denisse Leyton,A5060258346,fuzzy,,round3_semantic,29
1302,Alexander Fornito,A5051838519,alias,,round3_semantic,29
1693,Michael Bremner,A5014892188,alias,,round3_semantic,29
1041,Katherine Selway,A5030030229,fuzzy,,round4_maxpapers,1
13,Md Jahangir Hossain,A5036044230,alias,,round4_semtie,2
697,Katia Alexander,A5113379741,alias,,round4_semtie,6
1146,Jan Engelstaedter,A5032271144,alias,,round4_semtie,7
1992,Benjamin Buchler,A5105834388,alias,,round4_semtie,9
120,Rachael Swain,A5012038171,exact,,round4_semtie,12
1388,Killugudi Swaminatha-Iyer,A5113884574,alias,,round4_semtie,12
789,Christopher Ritchie,A5032402500,exact,,round4_semtie,14
1197,Jeffrey Cooke,A5006570928,alias,,round4_semtie,16
1459,Jan Rueger,A5008500105,exact,,round4_semtie,16
174,S. Saman Razavi,A5101485362,fuzzy,,round4_semtie,21
335,Daniel Noble,A5066247790,exact,,round4_semtie,22
967,Jorge Fernandez Martinez,A5011218833,alias,,round4_semtie,23
1709,Clare Corbould,A5015349783,exact,,round4_semtie,27
384,Zhi Yi Ong,A5032195559,exact,,round4_semtie,28
