rid,aus_name,authorid,sci_name,match_type
419,Li Wei,A5103652287,Li Wei,exact
2204,Jie Zhang,A5081860763,Jie Zhang,exact
693,Jun Li,A5100361982,Jun Li,exact
123,Jun Li,A5100361982,Jun Li,exact
509,Jonathan Rhodes,A5060534192,Jonathan Rhodes,exact
494,Kim Scott,A5113573608,Kim Scott,exact
1600,Tong Lin,A5102559488,Tong Lin,exact
87,Gang Li,A5100326945,Gang Li,exact
240,Yang Liu,A5054670664,Yang Liu,exact
1753,Dan Li,A5100380671,Dan Li,exact
87,Gang Li,A5101146789,Gang Li,exact
231,Yi Liu,A5100330665,Yi Liu,exact
1154,Bo Li,A5040398475,Bo Li,exact
720,Dong Xu,A5034308314,Dong Xu,exact
1791,John Hammond,A5027840889,John Hammond,exact
958,Shahram Rahatlou,A5105587389,Shahram Rahatlou,exact
240,Yang Liu,A5100355738,Yang Liu,exact
279,Chang Xu,A5100740629,Chang Xu,exact
240,Yang Liu,A5101004322,Yang Liu,exact
2204,Jie Zhang,A5028060792,Jie Zhang,exact
103,Jun Zhang,A5100433197,Jun Zhang,exact
240,Yang Liu,A5061901904,Yang Liu,exact
693,Jun Li,A5111317463,Jun Li,exact
1484,Tao Liu,A5100338145,Tao Liu,exact
123,Jun Li,A5111317463,Jun Li,exact
366,Chris Clark,A5112030452,Chris Clark,exact
103,Jun Zhang,A5092311893,Jun Zhang,exact
1378,Sara Davies,A5062369681,Sara Davies,exact
327,Lei Ge,A5002360751,Lei Ge,exact
1769,Richard Collins,A5050483205,Richard Collins,exact
240,Yang Liu,A5100355893,Yang Liu,exact
1484,Tao Liu,A5100338127,Tao Liu,exact
1563,Michael Samuel,A5110461346,Michael Samuel,exact
363,Han Lin,A5102679588,Han Lin,exact
103,Jun Zhang,A5100617276,Jun Zhang,exact
728,Jian Yang,A5101797726,Jian Yang,exact
197,Xiaodan Huang,A5102773119,Xiaodan Huang,exact
2129,Ying Tan,A5000718189,Ying Tan,exact
189,Chen Li,A5100369862,Chen Li,exact
87,Gang Li,A5100438781,Gang Li,exact
2000,Jian Li,A5101676671,Jian Li,exact
240,Yang Liu,A5102574954,Yang Liu,exact
234,JIA WANG,A5029822317,Jia Wang,exact
2094,Birgit Hellwig,A5100263185,Birgit Hellwig,exact
1036,Agustin Schiffrin,A5060915367,Agustin Schiffrin,exact
573,Dan Liu,A5064809639,Dan Liu,exact
1545,Alexander Heger,A5114946878,Alexander Heger,exact
2000,Jian Li,A5072339069,Jian Li,exact
240,Yang Liu,A5100356116,Yang Liu,exact
260,Wenxian Li,A5100744440,Wenxian Li,exact
106,Georgios Konstantinou,A5069417209,Georgios Konstantinou,exact
419,Li Wei,A5038973736,Li Wei,exact
1496,Qing Li,A5113346170,Qing Li,exact
1924,Yun Liu,A5100657452,Yun Liu,exact
986,Evangelia Anagnostou-Laoutides,A5099333111,Evangelia Anagnostou-Laoutides,exact
87,Gang Li,A5100438744,Gang Li,exact
972,Kai He,A5100700364,Kai He,exact
492,Zhi Li,A5027469346,Zhi Li,exact
419,Li Wei,A5101011268,Li Wei,exact
831,Ying Zhang,A5100386186,Ying Zhang,exact
1484,Tao Liu,A5101658190,Tao Liu,exact
240,Yang Liu,A5034661410,Yang Liu,exact
2141,Andrew Martin,A5111824328,Andrew Martin,exact
621,Yang Song,A5103807038,YANG Song,exact
729,Michael Murphy,A5097959359,Michael Murphy,exact
720,Dong Xu,A5004136581,Dong Xu,exact
216,Jin Zhang,A5100405936,Jin Zhang,exact
87,Gang Li,A5041364475,Gang Li,exact
236,Alexander Fraser,A5061754269,Alexander Fraser,exact
1521,Timothy Carroll,A5101569105,Timothy Carroll,exact
102,Xu Huang,A5025713190,Xu Huang,exact
1593,Min Chen,A5106396951,Min Chen,exact
693,Jun Li,A5074802354,Jun Li,exact
123,Jun Li,A5074802354,Jun Li,exact
728,Jian Yang,A5063042333,Jian Yang,exact
2000,Jian Li,A5100694102,Jian Li,exact
72,Siqi Ma,A5080484775,Siqi Ma,exact
2204,Jie Zhang,A5100436891,Jie Zhang,exact
1892,Christopher Wright,A5008343934,Christopher Wright,exact
1973,Ross Bailie,A5006502424,Ross Bailie,exact
561,Sarah Phillips,A5082625906,Sarah Phillips,exact
189,Chen Li,A5093405139,Chen Li,exact
573,Dan Liu,A5061290454,Dan Liu,exact
240,Yang Liu,A5114672952,Yang Liu,exact
785,Eric May,A5022618948,Eric May,exact
450,Morten Andersen,A5003383445,Morten Andersen,exact
1100,Daniel Gomez,A5021553446,Daniel Gomez,exact
2069,David Wilson,A5101531605,David Wilson,exact
1154,Bo Li,A5048679568,Bo Li,exact
1044,Peter Keller,A5045443760,Péter Keller,exact
231,Yi Liu,A5100330563,Yi Liu,exact
1593,Min Chen,A5115088317,Min Chen,exact
1786,Daniel Macdonald,A5050631490,Daniel MacDonald,exact
1593,Min Chen,A5011521476,Min Chen,exact
1908,Adrian Hearn,A5094398261,Adrian Hearn,exact
1217,Cristina Rocha,A5032490395,CRISTINA ROCHA,exact
2204,Jie Zhang,A5100436907,Jie Zhang,exact
1368,Xiaolin Wang,A5087859372,Xiaolin Wang,exact
493,Romina Rader,A5068317097,Romina Rader,exact
438,Amanda Johnson,A5064096284,Amanda Johnson,exact
1676,Han Huang,A5094347897,Han Huang,exact
621,Yang Song,A5101783346,Yang Song,exact
240,Yang Liu,A5044077124,Yang Liu,exact
831,Ying Zhang,A5008672306,Ying Zhang,exact
218,Ling Chen,A5004283185,Ling Chen,exact
375,Jason Thompson,A5114224712,Jason Thompson,exact
402,Wensu Chen,A5004508839,Wensu Chen,exact
435,Wenjie Zhang,A5100385517,Wenjie Zhang,exact
207,Zongyou Yin,A5109177506,Zongyou Yin,exact
1496,Qing Li,A5100404043,Qing Li,exact
1647,Julie McLeod,A5101028300,Julie McLeod,exact
1777,Jennifer Deger,A5108790403,Jennifer Deger,exact
1828,Melanie Bahlo,A5061764650,Melanie Bahlo,exact
749,Qiang Fu,A5101373665,Qiang Fu,exact
240,Yang Liu,A5100355764,Yang Liu,exact
1575,Jennifer Hudson,A5109226818,Jennifer Hudson,exact
728,Jian Yang,A5100644819,Jian Yang,exact
1436,Hongxia Wang,A5100373274,Hongxia Wang,exact
1953,Ashish Sharma,A5085823007,Ashish Sharma,exact
87,Gang Li,A5100438784,Gang Li,exact
800,Hao Liu,A5100458844,Hao Liu,exact
2204,Jie Zhang,A5109982244,Jie Zhang,exact
693,Jun Li,A5100361814,Jun Li,exact
87,Gang Li,A5100438693,Gang Li,exact
123,Jun Li,A5100361814,Jun Li,exact
419,Li Wei,A5097730596,Li Wei,exact
786,Yi Du,A5101802947,Yi Du,exact
1601,Rui Zhang,A5101828022,Rui Zhang,exact
857,Andrew Marshall,A5024792749,Andrew Marshall,exact
800,Hao Liu,A5100458800,Hao Liu,exact
921,Yuan Chen,A5104171283,YUAN Chen,exact
1962,Neil Levy,A5110304496,Neil Levy,exact
693,Jun Li,A5100361653,Jun Li,exact
693,Jun Li,A5100674759,Jun Li,exact
123,Jun Li,A5100361653,Jun Li,exact
123,Jun Li,A5100674759,Jun Li,exact
240,Yang Liu,A5106669665,Yang Liu,exact
1753,Dan Li,A5027310544,Dan Li,exact
1601,Rui Zhang,A5100422101,Rui Zhang,exact
1351,Spencer Williams,A5063141468,Spencer Williams,exact
1242,David Wood,A5112973851,David Wood,exact
2000,Jian Li,A5100402626,Jian Li,exact
87,Gang Li,A5100438771,Gang Li,exact
1601,Rui Zhang,A5003813737,Rui Zhang,exact
240,Yang Liu,A5100355655,Yang Liu,exact
921,Yuan Chen,A5102009130,Yuan Chen,exact
236,Alexander Fraser,A5106547644,Alexander Fraser,exact
747,Thomas White,A5097627536,Thomas White,exact
231,Yi Liu,A5100330660,Yi Liu,exact
886,Michael McDonald,A5108408976,Michael McDonald,exact
1601,Rui Zhang,A5101744603,Rui Zhang,exact
351,Vincent Laurent,A5060748005,Vincent Laurent,exact
1758,Wayne Davies,A5081140682,Wayne Davies,exact
693,Jun Li,A5100674771,Jun Li,exact
240,Yang Liu,A5017460703,Yang Liu,exact
123,Jun Li,A5100674771,Jun Li,exact
2031,Alan Cooper,A5080562599,Alan Cooper,exact
231,Yi Liu,A5100730682,Yi Liu,exact
87,Gang Li,A5100438736,Gang Li,exact
1455,Thomas Haselhorst,A5027795204,Thomas Haselhorst,exact
103,Jun Zhang,A5100742009,Jun Zhang,exact
1029,Hui Feng,A5069844829,Hui Feng,exact
1821,David Dunstan,A5014729828,David Dunstan,exact
678,Yan Jiao,A5100527601,Yan Jiao,exact
899,Bernhard Müller,A5114324863,Bernhard Müller,exact
1594,Patrick Baker,A5056084962,Patrick Baker,exact
240,Yang Liu,A5101909228,Yang Liu,exact
729,Michael Murphy,A5097321570,Michael Murphy,exact
569,Yuting Zhang,A5068647089,Yuting Zhang,exact
194,Rodrigo Suarez,A5110731433,Rodrigo Suárez,exact
1484,Tao Liu,A5102810959,Tao Liu,exact
831,Ying Zhang,A5100386124,Ying Zhang,exact
693,Jun Li,A5100420940,Jun Li,exact
123,Jun Li,A5100420940,Jun Li,exact
240,Yang Liu,A5102881570,Yang Liu,exact
136,Min Xu,A5086461404,Min Xu,exact
945,David Harvey,A5113512252,David Harvey,exact
1425,Zheng Jiang,A5108469288,Zheng Jiang,exact
1953,Ashish Sharma,A5102290821,Ashish Sharma,exact
103,Jun Zhang,A5100433232,Jun Zhang,exact
1593,Min Chen,A5100667707,Min Chen,exact
2075,Zhong Tao,A5040581473,Zhong Tao,exact
180,Jiefeng Hu,A5018608098,Jiefeng Hu,exact
1853,Craig Smith,A5080753511,Craig Smith,exact
1984,James Murphy,A5014948853,James Murphy,exact
1277,Brendan Choat,A5078155588,Brendan Choat,exact
1753,Dan Li,A5100380707,Dan Li,exact
218,Ling Chen,A5100411154,Ling Chen,exact
1154,Bo Li,A5078658586,Bo Li,exact
277,Petr Sedlacek,A5101774010,Petr Sedláček,exact
693,Jun Li,A5027642792,Jun Li,exact
123,Jun Li,A5027642792,Jun Li,exact
135,Andrew King,A5101863883,Andrew King,exact
693,Jun Li,A5100361963,Jun Li,exact
1601,Rui Zhang,A5100422143,Rui Zhang,exact
123,Jun Li,A5100361963,Jun Li,exact
1154,Bo Li,A5055346027,Bo Li,exact
189,Chen Li,A5104309658,Chen Li,exact
570,Fleur Johns,A5112831834,Fleur Johns,exact
654,Shari Breen,A5060648472,Shari Breen,exact
2041,Axel Kallies,A5015395050,Axel Kallies,exact
240,Yang Liu,A5100355974,Yang Liu,exact
1195,Michael Shields,A5099749430,Michael Shields,exact
1390,Craig White,A5074590484,Craig White,exact
136,Min Xu,A5015090992,Min Xu,exact
324,Zhe Liu,A5100462334,Zhe Liu,exact
240,Yang Liu,A5100355941,Yang Liu,exact
103,Jun Zhang,A5100433133,Jun Zhang,exact
2204,Jie Zhang,A5046816026,Jie Zhang,exact
1289,Wen Lei,A5023311644,Wen Lei,exact
621,Yang Song,A5046053180,Yang Song,exact
1236,Leslie Yeo,A5094657136,Leslie Yeo,exact
595,Matthew McKay,A5064730225,Matthew Mckay,exact
363,Han Lin,A5010243349,Han Lin,exact
