rid,aus_name,authorid,match_type,host_id
1194,Phillip Urquijo,A5052038948,alias,I165779595
1963,Andrey Sukhorukov,A5027067212,alias,I118347636
1428,Amanda Barnier,A5003473190,alias,I99043593
1845,Christopher Maher,A5012328768,alias,I129604602
1356,Bram Slagmolen,A5091492769,alias,I118347636
1282,Kate Sanders,A5091288342,alias,I5681781
106,Georgios Konstantinou,A5069417209,exact,I31746571
749,Qiang Fu,A5088254630,exact,I114017466
1766,Peter Ireland,A5051850551,alias,I78757542
431,Ajmal Mian,A5089986388,exact,I177877127
1513,Andrew Hogg,A5046927861,alias,I118347636
1898,David Beattie,A5008865748,alias,I170239107
1421,Andy Herries,A5023726210,alias,I196829312
2080,Vincent Craig,A5012119324,alias,I118347636
845,Chuan Zhao,A5046268649,alias,I31746571
1426,Michael Piper,A5086214764,exact,I165143802
2133,Willy Susilo,A5054741725,alias,I204824540
1633,Lachlan Coin,A5056039026,alias,I165143802
1357,Allison Waters,A5003378965,alias,I11701301
1559,Yonghui Li,A5100448724,exact,I129604602
1952,Enzo Lombi,A5072201127,alias,I170239107
501,Jennifer Atchison,A5060171663,exact,I204824540
449,Natasha Fijn,A5042143317,exact,I118347636
1306,Zi Huang,A5078170935,exact,I165143802
994,Michelle Dunstone,A5008315680,alias,I56590836
1971,Kostya (Ken) Ostrikov,A5013359536,fuzzy,I1292875679
1707,Heath Ecroyd,A5083304343,exact,I204824540
1186,Jessica Grisham,A5015731803,alias,I31746571
1518,Nicolas Cherbuin,A5002065453,exact,I118347636
1812,Michelle Heupel,A5030500452,alias,I1328540965
1833,Anthony White,A5045915090,alias,I165779595
1385,Andrew Mitchell,A5071923410,alias,I165779595
2108,Kristy Sanderson,A5035840968,alias,I129801699
681,Susan Baker,A5068775358,alias,I129801699
1400,Sandra Jones,A5029349607,alias,I86695891
1158,Andrew Pask,A5021054750,alias,I165779595
2060,Vanessa Venturi,A5019891961,exact,I31746571
1504,Gregory Brown,A5055278950,alias,I129604602
1440,Stuart Bedford,A5058468175,exact,I118347636
1460,Dominic Ng,A5019766243,alias,I165143802
1132,Michael Sheng,A5080744092,alias,I99043593
1114,Joanne Devlin,A5043643448,alias,I165779595
1877,Mark Schembri,A5059456421,alias,I165143802
156,Joanne Whittaker,A5046072480,alias,I129801699
99,Katharine Turner,A5075245013,exact,I118347636
51,Barbara Barbosa Neves,A5043528816,alias,I129604602
1469,Melissa Call,A5045635110,exact,I196021976
1813,David Copland,A5066165958,alias,I165143802
784,Mark Hutchinson,A5037100405,alias,I5681781
284,Nicolas Menicucci,A5089178242,alias,I82951845
544,Steven Lade,A5066581729,alias,I118347636
2008,Zongping Shao,A5034744923,exact,I205640436
1407,Marcela Bilek,A5087087362,alias,I129604602
2103,Greig de Zubicaray,A5036061196,alias,I165143802
1656,Philip de Chazal,A5078054483,exact,I129604602
1938,Michelle Coote,A5083158068,alias,I118347636
2086,Boris Kuhlmey,A5062932961,alias,I129604602
451,Lisa Alexander,A5007565458,alias,I31746571
911,Katie Leach,A5075216835,alias,I56590836
518,Daniel Ortiz-Barrientos,A5005372623,exact,I165143802
183,Tanya Latty,A5051345411,alias,I129604602
1301,Andrew Bowie,A5009801587,alias,I129801699
1177,Mark Tanaka,A5075425530,alias,I31746571
1660,Stefan Williams,A5044131792,alias,I129604602
1854,Kristen Nowak,A5017114623,alias,I177877127
432,Yuning Hong,A5005359088,exact,I196829312
1663,Ben Saul,A5047825662,exact,I129604602
1556,Dan Svantesson,A5090072619,alias,I120125038
1358,Pradeep Tanwar,A5025474706,alias,I78757542
618,Ryan Shannon,A5016391781,alias,I57093077
1615,Boris Baer,A5058282030,exact,I177877127
489,Simon Haine,A5071441102,alias,I118347636
966,Mark Paskevicius,A5030050794,alias,I205640436
788,Laurie Menviel,A5049584223,alias,I31746571
1385,Andrew Mitchell,A5048557679,alias,I165779595
1500,Shauna Murray,A5077003877,alias,I114017466
1155,Oliver Nebel,A5073128359,alias,I56590836
109,Vi Khanh Truong,A5016100426,alias,I169541294
339,Joseph Berry,A5049518688,alias,I165779595
168,Emma Thomas,A5026866964,alias,I169541294
1910,Matthew Rimmer,A5020616444,alias,I118347636
1613,Sarah Holcombe,A5078923245,exact,I118347636
1713,Cordelia Fine,A5029372639,exact,I165779595
1269,Philip Stevenson,A5060955442,alias,I165143802
1332,Zhongfan Jia,A5014010460,exact,I165143802
951,Christopher Clarkson,A5083144378,alias,I165143802
1304,Dean Rickles,A5035908423,exact,I129604602
2049,Hong-Yuan Liu,A5107942136,exact,I129604602
2144,Yuesheng Li,A5107856253,alias,I217937681
924,Daniel Falster,A5087681406,alias,I31746571
1521,Timothy Carroll,A5019671194,alias,I165143802
1601,Rui Zhang,A5100422095,alias,I165779595
1994,Jhodie Duncan,A5083354584,alias,I242743682
787,Amelia Liu,A5030955063,alias,I56590836
854,Kristie Miller,A5070749405,exact,I129604602
1630,Angus Johnston,A5086995353,alias,I56590836
364,Bing Sun,A5019152038,exact,I114017466
1737,Jeffrey Babon,A5086602150,alias,I196021976
1022,Simon Butt,A5113460872,alias,I129604602
1792,Trent Woodruff,A5012726679,exact,I165143802
1349,Alexander Idnurm,A5070444328,alias,I165779595
2095,Linda Bennett,A5001351804,fuzzy,I165779595
1221,Katja Fischer,A5012644402,alias,I217937681
559,Sandy O'Sullivan,A5003869648,alias,I99043593
328,Wengui Li,A5027220120,alias,I31746571
810,Laura Shepherd,A5059583399,alias,I129604602
1997,Baolin Wang,A5100648294,exact,I63525965
1579,Ross Young,A5029492036,alias,I5681781
1926,Amy Jordan,A5001098137,alias,I165779595
1833,Anthony White,A5023096783,exact,I165779595
1743,Joshua Madin,A5007985600,alias,I99043593
817,Gene Tyson,A5050640033,alias,I160993911
1317,Tracey Banivanua-Mar,A5019824937,alias,I196829312
619,Guo Chen,A5055361870,alias,I31746571
1335,Valerie Harwood,A5025251959,alias,I129604602
1336,Melinda Hinkson,A5052020310,exact,I149704539
1162,Yanbo Wang,A5048133455,alias,I129604602
206,Daria Smirnova,A5056437881,alias,I118347636
2010,Aijun Du,A5082839443,exact,I165143802
1063,Paul Salmon,A5038786080,alias,I174025329
1586,Sergiy Shelyag,A5014154903,alias,I56590836
1753,Dan Li,A5100668171,exact,I56590836
972,Kai He,A5035180621,alias,I11701301
1378,Sara Davies,A5056995682,alias,I11701301
714,Anthony Licata,A5006388085,alias,I118347636
237,Natalia Egorova-Brumley,A5091903973,alias,I165779595
773,Caitlin Byrt,A5066070550,alias,I118347636
445,Jack Hall,A5060245178,exact,I165779595
1853,Craig Smith,A5082587372,alias,I4210150290
1595,Mark McLelland,A5063359269,exact,I204824540
1105,Andrea Rizzi,A5087154130,exact,I165779595
2005,Colin Butler,A5052433549,alias,I188329596
467,Lia Kent,A5054494329,alias,I118347636
86,Sinead Keaveney,A5042855471,fuzzy,I204824540
621,Yang Song,A5103084324,alias,I31746571
1089,Anna Clark,A5104089555,alias,I114017466
1263,Bim Graham,A5019095041,exact,I56590836
1745,Douglas Kahn,A5108670592,alias,I31746571
1128,David Lubans,A5112699641,fuzzy,I78757542
2069,David Wilson,A5071119117,exact,I31746571
393,Eben Kirksey,A5043959461,exact,I149704539
1510,Bayden Wood,A5104005749,alias,I56590836
1825,Elaine Wong,A5020446939,alias,I165779595
1189,Chun-Xia Zhao,A5101832764,alias,I165143802
599,Michael Wheeler,A5031528167,alias,I165779595
988,Nathan Lo,A5005903669,alias,I129604602
69,Tema Milstein,A5079321078,alias,I31746571
697,Katia Alexander,A5113379741,exact,I118347636
480,Saman Atapattu,A5088812297,alias,I82951845
1006,Sally Treloyn,A5012604252,exact,I165779595
2043,Karlheinz Peter,A5110137969,exact,I142471025
1227,Martin Hill,A5002889047,alias,I177877127
1162,Yanbo Wang,A5100605034,alias,I129604602
1165,Girish Nair,A5038197407,alias,I165779595
2000,Jian Li,A5100402477,alias,I56590836
512,Haiqing Yu,A5066632201,exact,I82951845
862,Pu Xiao,A5101775944,exact,I118347636
1835,Michael Bromley,A5047315896,alias,I165143802
11,David Byrne,A5109008290,alias,I165779595
419,Li Wei,A5100342627,alias,I129604602
720,Dong Xu,A5028040461,exact,I129604602
693,Jun Li,A5100361799,alias,I205640436
1903,Stephen Williams,A5111144790,exact,I165143802
1768,Michael Smith,A5101458786,exact,I165779595
189,Chen Li,A5100295224,fuzzy,I56590836
159,Craig Anderson,A5045005298,alias,I118347636
1845,Christopher Maher,A5006818962,exact,I129604602
1614,James Bailey,A5027006412,exact,I165779595
369,Jun Huang,A5111604384,alias,I129604602
419,Li Wei,A5110413237,alias,I129604602
419,Li Wei,A5100776646,alias,I129604602
934,Mark Holmes,A5040274096,alias,I165779595
2165,Christopher Hutchinson,A5058929711,alias,I56590836
2000,Jian Li,A5083878190,alias,I56590836
2000,Jian Li,A5100402517,alias,I56590836
1484,Tao Liu,A5100338147,exact,I31746571
2038,Martin Thomas,A5081329718,exact,I118347636
409,Christopher Hall,A5103046457,alias,I165779595
954,Wei Kong Pang,A5114186441,alias,I204824540
363,Han Lin,A5101153760,alias,I82951845
419,Li Wei,A5101533152,alias,I129604602
840,Jianhua Guo,A5062080737,alias,I165143802
513,Kathryn Allen,A5102248439,exact,I129801699
1577,Budiman Minasny,A5103745314,alias,I129604602
619,Guo Chen,A5091589438,alias,I31746571
2129,Ying Tan,A5113127469,exact,I165779595
435,Wenjie Zhang,A5100385514,alias,I31746571
1642,Brian Anderson,A5074363981,alias,I165143802
1151,Hua Xia,A5100960611,alias,I118347636
87,Gang Li,A5100438608,exact,I165779595
1604,Sheshanath Bhosale,A5112845496,fuzzy,I82951845
1386,Xiaodong Huang,A5024542237,exact,I57093077
540,David White,A5101806834,exact,I31746571
680,Zhenguo Huang,A5022888844,alias,I114017466
