rid,aus_name,authorid,match_type,host_id,passed,n_papers,source
4,Jathan Sadowski,A5101449907,exact,I56590836,True,34,round4_semtie
6,Lina Yao,A5052731721,exact,I99043593,True,573,round4_semtie
7,Karen Hughes,A5007066750,alias,,True,246,round4_semtie
8,Filip Slaveski,A5087780355,exact,,True,38,round4_semtie
11,David Byrne,A5053028903,alias,I165779595,True,189,round4_semtie
13,Md Jahangir Hossain,A5036044230,alias,,True,2,round4_semtie
14,Jia Wu,A5007475662,exact,I99043593,True,473,round4_semtie
15,Anne Thomas,A5060639360,alias,I129604602,True,386,round4_semtie
23,Wenjie Tian,A5057172831,alias,,True,115,round4_semtie
30,Pengyi Yang,A5114375167,alias,I129604602,True,168,round4_semtie
32,Suzy Killmister,A5089797067,alias,I56590836,True,35,round4_semtie
42,Peter Macreadie,A5020824771,alias,I82951845,True,280,round4_semtie
43,John Carty,A5054798053,exact,,True,63,round4_semtie
49,Charles Butcher,A5108702546,alias,,True,46,round4_semtie
50,Hamid Laga,A5002077138,exact,I176790772,True,194,round4_semtie
62,Haoran Ren,A5053189435,exact,I56590836,True,111,round4_semtie
72,Siqi Ma,A5016972157,alias,,True,207,round4_semtie
89,Xin Cao,A5100681901,exact,I31746571,True,169,round4_semtie
103,Jun Zhang,A5100433138,exact,I11701301,True,629,round4_semtie
106,Georgios Konstantinou,A5069417209,exact,I31746571,True,318,round4_semtie
110,Caillan Davenport,A5016565122,exact,,True,98,round4_semtie
111,Martijn Konings,A5053678026,alias,I129604602,True,89,round4_semtie
123,Jun Li,A5100362041,alias,I114017466,True,959,round4_semtie
129,Lisa Stafford,A5027156357,exact,,True,49,round4_semtie
135,Andrew King,A5033570737,alias,I165779595,True,447,round4_semtie
136,Min Xu,A5100413849,alias,I114017466,True,740,round4_semtie
157,Hongqi Sun,A5089558604,alias,I177877127,True,432,round4_semtie
160,Chris Greening,A5065449925,alias,I56590836,True,199,round4_semtie
164,Rebecca Carey,A5110787636,alias,I129801699,True,135,round4_semtie
167,Daniel Bennett,A5029927753,alias,I165779595,True,58,round4_semtie
169,Ben Colagiuri,A5044132185,alias,I129604602,True,137,round4_semtie
173,Nana Wang,A5100364748,alias,,True,188,round4_semtie
174,S. Saman Razavi,A5101485362,fuzzy,,True,21,round4_semtie
