host_id,display_name,alternatives,acronyms,ror,grid,country
I16609230,Hunan University,Hunan University|Húnán Dàxué|湖南大学,,05htk5m33,grid.67293.39,CN
I4210145278,Institute of Applied Physics and Computational Mathematics,Institute of Applied Physics and Computational Mathematics|北京应用物理与计算数学研究所,IAPCM,03sxpbt26,grid.418809.c,CN
I194450716,Jilin University,Jilin University|Jílín Dàxué|吉林大学,,00js3aw79,grid.64924.3d,CN
I24185976,Sichuan University,Sichuan University|Sìchuān Dàxué|四川大学,SCU,011ashp19,grid.13291.38,CN
I4210135349,Shanghai Institute of Optics and Fine Mechanics,Shanghai Institute of Optics and Fine Mechanics|中国科学院上海光学精密机械研究所,SIOM,03g897070,grid.458462.9,CN
I2802624667,Hefei Institutes of Physical Science,Hefei Institutes of Physical Science|合肥物质科学研究院,CASHIPS,046n57345,grid.454811.d,CN
I196699116,Wuhan University of Technology,Wuhan University of Technology|武汉理工大学,WHUT|WUT,03fe7t173,grid.162110.5,CN
I91656880,China Medical University,China Medical University|中国医科大学,CMU,032d4f246,grid.412449.e,CN
I189210763,Yunnan University,University of the Eastern Land|Yunnan University|云南大学,,0040axw97,grid.440773.3,CN
I83519826,Nanjing Medical University,Nanjing Medical College|Nanjing Medical University|National Jiangsu Medical College|南京医科大学,NMU,059gcgy73,grid.89957.3a,CN
I90090648,Shijiazhuang Tiedao University,Railway Engineering Institute of the People's Liberation Army|Shijiazhuang Railway Institute|Shijiazhuang Tiedao University|石家庄铁道大学,STDU,022e9e065,grid.440641.3,CN
I4210099069,Institute of Acoustics,Institute of Acoustics|中国科学院声学研究所,IOA,00v8rqv75,grid.458455.d,CN
I4210101301,Northeast Institute of Geography and Agroecology,Northeast Institute of Geography and Agroecology|中国科学院东北地理与农业生态研究所,IGA,01a9z1q73,grid.458493.7,CN
I12411659,Tianjin University of Traditional Chinese Medicine,Tianjin University of Traditional Chinese Medicine|天津中医药大学,TUTCM,05dfcz246,grid.410648.f,CN
I4405270881,Nuclear Power Institute of China,Nuclear Power Institute of China|中国核动力研究设计院,NPIC,01fz94q82,,CN
I129708740,Fujian Medical University,Fujian Medical University|福建医科大学,FJMU,050s6ns64,grid.256112.3,CN
I20231570,Peking University,Imperial University of Peking|Peking University|北京大学,PKU,02v51f717,grid.11135.37,CN
I157773358,Sun Yat-sen University,Sun Yat-sen University|中山大学,,0064kty71,grid.12981.33,CN
I4210126061,Institute of Geology and Geophysics,Institute of Geology and Geophysics|中国科学院地质与地球物理研究所,IGGCAS,030vmwa78,grid.458476.c,CN
I4210123885,Shanghai Institute of Applied Physics,Shanghai Institute of Applied Physics|Shanghai Institute of Nuclear Research|中国科学院上海应用物理研究所,SINAP,02w6gr951,grid.450275.1,CN
I4210112946,Shanghai Institute of Organic Chemistry,Shanghai Institute of Organic Chemistry|中国科学院上海有机化学研究所,SIOC,01y3hvq34,grid.422150.0,CN
I4210149494,Institute of Animal Sciences,Institute of Animal Husbandry|Institute of Animal Husbandry of CAAS|Institute of Animal Husbandry of Chinese Academy of Agricultural Sciences|Institute of Animal Sciences|Institute of Animal Sciences of CAAS|Institute of Animal Sciences of Chinese Academy of Agricultural Sciences|中国农业科学院北京畜牧兽医研究所,IAS|IAS CAAS,04tcthy91,grid.464332.4,CN
I4210133325,Institute of Process Engineering,"Institute of Chemical Metallurgy, Chinese Academy of Sciences|Institute of Process Engineering|中国科学院过程工程研究所",ICM-CAS|IPE-CAS,03j4x9j18,grid.458442.b,CN
I4210120320,Institute of Engineering Thermophysics,Institute of Engineering Thermophysics|中国科学院工程热物理研究所,IET,031zj0q48,grid.458465.e,CN
I21193070,Beijing Jiaotong University,Beijing Jiaotong University|Northern Jiaotong University|北京交通大学,BJTU,01yj56c84,grid.181531.f,CN
