rid,eu_name,authorid,sci_name,source,score
0,Timm Fiebig,A5026168008,T. Fiebig,initial,
0,Timm Fiebig,A5032329181,T.H. Fiebig,initial,
0,Timm Fiebig,A5079172960,Timm Fiebig,initial,
0,Timm Fiebig,A5081166719,T. Fiebig,initial,
2,Clemens Plaschka,A5006479386,Clemens Plaschka,initial,
2,Clemens Plaschka,A5112598398,Clemens Plaschka,initial,
3,Arjen Jakobi,A5079424099,Arjen J. Stam,ngram,0.5698729136410287
3,Arjen Jakobi,A5000207148,A. Jakob,ngram,0.4765090208284429
3,Arjen Jakobi,A5062305395,A. Jakob,ngram,0.4765090208284429
3,Arjen Jakobi,A5047662858,A. Jakobi,initial,
3,Arjen Jakobi,A5078577503,Arjen J. Jakobi,initial,
4,Ajasja Ljubetič,A5049578097,Ajasja Ljubetič,initial,
5,Danny Doncheva Nedialkova,A5018771824,Danny D. Nedialkova,initial,
5,Danny Doncheva Nedialkova,A5080615318,D. Doncheva,initial,
6,Nataliya Petryk,A5003584122,Nataliya Petryk,initial,
6,Nataliya Petryk,A5058064672,N. M. Petryk,initial,
6,Nataliya Petryk,A5082454473,N. M. Petryk,initial,
7,Dina Schneidman,A5020529918,Dina Schneidman‐Duhovny,initial,
8,Rina Rosenzweig,A5004870371,R. M. Rosenzweig,initial,
8,Rina Rosenzweig,A5009901277,Rina Rosenzweig,initial,
8,Rina Rosenzweig,A5035310909,R Rosenzweig,initial,
8,Rina Rosenzweig,A5079980963,R E Rosenzweig,initial,
8,Rina Rosenzweig,A5085645116,R.H. Rosenzweig,initial,
8,Rina Rosenzweig,A5096782223,R. Rosenzweig,initial,
9,Thomas Sharp,A5011353485,H. Thomas Sharp,ngram,0.9999999999999999
9,Thomas Sharp,A5000488411,T Sharp,initial,
9,Thomas Sharp,A5001042727,Thomas F. Sharp,initial,
9,Thomas Sharp,A5006538898,T. Sharp,initial,
9,Thomas Sharp,A5012954553,T. E. Sharp,initial,
9,Thomas Sharp,A5016757625,T. Sharp,initial,
9,Thomas Sharp,A5018647574,T. S. Sharp,initial,
9,Thomas Sharp,A5019485340,Thomas Ian Sharp,initial,
9,Thomas Sharp,A5026027317,T. E. Sharp,initial,
9,Thomas Sharp,A5026231565,T. Sharp,initial,
9,Thomas Sharp,A5028766433,Tom W. Sharp,initial,
9,Thomas Sharp,A5028825008,Thomas Sharp,initial,
9,Thomas Sharp,A5030957090,T. A. Sharp,initial,
9,Thomas Sharp,A5032446050,T. M. SHARP,initial,
9,Thomas Sharp,A5033040911,T. C. Sharp,initial,
9,Thomas Sharp,A5034131199,Thomas Marval Sharp,initial,
9,Thomas Sharp,A5038473482,THOMAS A. SHARP,initial,
9,Thomas Sharp,A5041586822,Thomas M. Sharp,initial,
9,Thomas Sharp,A5043125585,T. Sharp,initial,
9,Thomas Sharp,A5045213541,Thomas R. Sharp,initial,
9,Thomas Sharp,A5045663342,T. Sharp,initial,
9,Thomas Sharp,A5046399413,T. W. Sharp,initial,
9,Thomas Sharp,A5046920279,T. Sharp Blackburn,initial,
9,Thomas Sharp,A5048527654,Thomas Sharp,initial,
9,Thomas Sharp,A5054517249,T. Sharp,initial,
9,Thomas Sharp,A5056160847,Thomas Page Sharp,initial,
9,Thomas Sharp,A5056248616,Thomas Paul Sharp,initial,
9,Thomas Sharp,A5056272380,Tom Sharp,initial,
9,Thomas Sharp,A5056632286,T Sharp,initial,
9,Thomas Sharp,A5056854865,T Sharp,initial,
9,Thomas Sharp,A5062241388,T A Sharp,initial,
9,Thomas Sharp,A5063444648,T. E. Sharp,initial,
9,Thomas Sharp,A5063577733,T.P. Sharp,initial,
9,Thomas Sharp,A5063879928,Tom C. Sharp,initial,
9,Thomas Sharp,A5066921734,T. E. Sharp,initial,
9,Thomas Sharp,A5070912333,T E Sharp,initial,
9,Thomas Sharp,A5072736505,T. Sharp Dopler,initial,
9,Thomas Sharp,A5073713871,Tom Sharp,initial,
9,Thomas Sharp,A5074038509,T. Sharp,initial,
9,Thomas Sharp,A5074139964,Thomas D. Sharp,initial,
9,Thomas Sharp,A5075089152,T Sharp-Vincent,initial,
9,Thomas Sharp,A5075449965,Thomas E. Sharp,initial,
9,Thomas Sharp,A5076587942,T. E. Sharp,initial,
9,Thomas Sharp,A5081692317,T. G. Sharp,initial,
9,Thomas Sharp,A5082094040,Thomas Keith Sharp,initial,
9,Thomas Sharp,A5082780864,T. R. Sharp,initial,
9,Thomas Sharp,A5084019967,Thomas Wilfred Sharp,initial,
9,Thomas Sharp,A5085252177,T.H. Sharp,initial,
9,Thomas Sharp,A5085976588,Thomas H. Sharp,initial,
9,Thomas Sharp,A5087512246,T.R. Sharp,initial,
9,Thomas Sharp,A5088065023,Tom Sharp,initial,
9,Thomas Sharp,A5088750219,T. Sharp,initial,
9,Thomas Sharp,A5089498939,T. Sharp,initial,
9,Thomas Sharp,A5089946618,T. W. Sharp,initial,
9,Thomas Sharp,A5090989262,T. J. Sharp,initial,
9,Thomas Sharp,A5091737937,T.E. Sharp,initial,
9,Thomas Sharp,A5091786500,T Sharp,initial,
9,Thomas Sharp,A5092182327,Tom Sharp,initial,
9,Thomas Sharp,A5096722268,Thomas R. Sharp,initial,
9,Thomas Sharp,A5099632458,Tom Sharp,initial,
9,Thomas Sharp,A5103153138,T. G. Sharp,initial,
9,Thomas Sharp,A5103452801,T. E. Sharp,initial,
9,Thomas Sharp,A5103852234,Thomas G. Sharp,initial,
9,Thomas Sharp,A5105870158,Thomas Harry Sharp,initial,
