rid,eu_name,authorid,match_type,host_id,source,n_papers
28,T-Y Dora Tang,A5034957768,exact,,name_unique,1
69,Nicolas Reyes Garcia,A5084893116,exact,,name_unique,1
122,Christa Bücker,A5074386763,exact,,name_unique,1
337,Eduardo Moreno Lampaya,A5045348873,exact,,name_unique,1
344,Oscar Fernandez-Capetillo Ruiz,A5023478154,exact,,name_unique,1
346,Xavier Trepat Guixer,A5022108236,exact,,name_unique,1
414,Carmen Ruiz De Almodovar Egea,A5024531906,exact,,name_unique,1
464,Jacobus Emiel Van Rheenen,A5018236400,exact,,name_unique,1
469,João Pedro Taborda Barata,A5110964932,exact,,name_unique,1
470,Pablo Menendez Buján,A5005910580,exact,,name_unique,1
493,Robert Charles Swanton,A5001611021,exact,,name_unique,1
637,Teresa Giraldez Fernandez,A5058793525,exact,,name_unique,1
788,Oriol Mitjà Villar,A5052091850,exact,,name_unique,1
909,Nils Olov Andersson,A5018797912,exact,,name_unique,1
1596,Juan Pellico Saez,A5005397793,exact,,name_unique,1
1735,Alberto Amo Garcia,A5046733872,exact,,name_unique,1
1859,Shelly Conroy,A5114197664,exact,,name_unique,1
2040,Mariana Rossi Carvalho,A5004120070,exact,,name_unique,1
2115,David Ecija Fernandez,A5063113158,exact,,name_unique,1
2210,Kim Bonger,A5000191127,exact,,name_unique,1
2239,Pavlo Mykhailiuk,A5042360757,exact,,name_unique,1
2250,Mariola Tortosa Manzanares,A5079280977,exact,,name_unique,1
2301,Manuel Alcarazo Velasco,A5026352593,exact,,name_unique,1
2498,Miguel Angel Otaduy Tristan,A5082064878,exact,,name_unique,1
2638,Marti Duocastella Sola,A5085124177,exact,,name_unique,1
2780,Seda Keskin Avci,A5024121275,exact,,name_unique,1
2852,Gonzalo Prieto Gonzalez,A5060303863,exact,,name_unique,1
2886,Alexandra Margarida Pinto Marques,A5005584631,exact,,name_unique,1
2891,Roberto Rinaldi Sobrinho,A5087916378,exact,,name_unique,1
2912,Alberto Tarancón Rubio,A5026546961,exact,,name_unique,1
3014,Gabriele Ponti,A5102054000,exact,,name_unique,1
3017,Albert Rimola Gibert,A5008587391,exact,,name_unique,1
3149,Mar Reguant Rido,A5017948131,exact,,name_unique,1
3210,Sok Bae Lee,A5076578866,exact,,name_unique,1
3678,Emmanouil Tsakiris,A5055512942,exact,,name_unique,1
3810,Andrei Terian-Dan,A5099623215,exact,,name_unique,1
3839,Erik Van Gijn,A5040152802,exact,,name_unique,1
3984,Lino Camprubí Bueno,A5005339102,exact,,name_unique,1
4081,Catherine König,A5052363561,exact,,name_unique,1
4208,Oscar Fernandez-Capetillo Ruiz,A5023478154,exact,,name_unique,1
4220,Xavier Trepat Guixer,A5022108236,exact,,name_unique,1
4233,Eduardo Moreno Lampaya,A5045348873,exact,,name_unique,1
441,Danijela Matic,A5059505952,exact,,name_unique,2
500,Maite Solas Zubiaurre,A5040203598,exact,,name_unique,2
1115,Jose Maria Montoya Teran,A5079996977,exact,,name_unique,2
1124,Rafael Sanjuan Verdeguer,A5000700661,exact,,name_unique,2
1191,Marc Güell Cargol,A5053568867,exact,,name_unique,2
1254,Carolina Tafalla Pineiro,A5057873997,exact,,name_unique,2
1560,Eva Isabel Cacho Lascorz,A5078361408,exact,,name_unique,2
2058,Silvia Osuna Oliveras,A5038965707,exact,,name_unique,2
2147,Montserrat Calleja Gomez,A5046622124,exact,,name_unique,2
2179,Wilhelm Auwärter,A5061547657,exact,,name_unique,2
2268,Franziska Schönebeck,A5113452257,exact,,name_unique,2
2287,Marc Vendrell Escobar,A5016715745,exact,,name_unique,2
2345,Maria Jesus Vicent Docon,A5049066047,exact,,name_unique,2
2356,Daniel Maspoch Comamala,A5030689035,exact,,name_unique,2
2472,Alberto Ros Bardisa,A5089026393,exact,,name_unique,2
2874,Maria Manuela Estima Gomes,A5085593170,exact,,name_unique,2
3351,Andreas Duer,A5066000546,exact,,name_unique,2
3728,Maria Lasonen,A5015580352,exact,,name_unique,2
4194,Wilhelm Auwärter,A5061547657,exact,,name_unique,2
510,Alex Cayco Gajic,A5017881714,exact,,name_unique,3
734,David Sancho Madrid,A5003772177,exact,,name_unique,3
893,Yolanda Prezado Alonso,A5030253083,exact,,name_unique,3
901,Richard Harding-Swale,A5103789832,exact,,name_unique,3
1162,David Posada Gonzalez,A5027306462,exact,,name_unique,3
1303,Anselm Johannes Schmidt-Hieber,A5005367978,exact,,name_unique,3
2695,Ivana Gasulla Mestre,A5024582164,exact,,name_unique,3
3087,Nathan Bastian,A5103356339,exact,,name_unique,3
3370,Benjamin Crewe,A5060742517,exact,,name_unique,3
4212,David Posada Gonzalez,A5027306462,exact,,name_unique,3
1537,Vasileios Amoiridis,A5111038879,exact,,name_unique,4
1715,Silke Ospelkaus-Schwarzer,A5023176936,exact,,name_unique,4
2505,Srdan Capkun,A5021744792,exact,,name_unique,4
2941,Manuel Arruebo Gordo,A5000837150,exact,,name_unique,4
4199,Manuel Arruebo Gordo,A5000837150,exact,,name_unique,4
838,Peter Vandermeer,A5033193458,exact,,name_unique,6
1980,Christian Rueegg,A5055112787,exact,,name_unique,6
2580,Hector Sarnago Andia,A5072868395,exact,,name_unique,6
3975,Johann Buessow,A5049199035,exact,,name_unique,6
3166,Uta Schoenberg,A5013007062,exact,,name_unique,8
3208,Jose Luis Peydro Alcalde,A5079370524,exact,,name_unique,8
846,Maria Rosa Faner Canet,A5078693994,exact,,name_unique,9
864,Katharine Grieve,A5025962094,exact,,name_unique,9
3175,Natalia Fabra Portela,A5063268037,exact,,name_unique,9
1363,Shiri Artstein,A5045362897,exact,,name_unique,10
2497,Francisco Javier Cazorla Almeida,A5003496286,exact,,name_unique,12
2518,Diego Gutierrez Pérez,A5103592619,exact,,name_unique,14
2535,Maria Lapata,A5036055337,exact,,name_unique,14
4142,Nina Grønlykke Mollerup,A5041933261,exact,,name_unique,14
3898,Ulrich Timme Kragh,A5024441627,exact,,name_unique,15
4110,Jacopo Canello,A5087187110,exact,,name_unique,16
6,Nataliya Petryk,A5003584122,exact,,name_unique,17
3235,Nicola Leveringhaus,A5042123045,exact,,name_unique,17
3587,Gry Oftedal,A5021866481,exact,,name_unique,17
4001,Leif Scheuermann,A5074610771,exact,,name_unique,17
451,Karmit Levy,A5108501441,exact,,name_unique,18
495,Petr Znamenskiy,A5051460988,exact,,name_unique,18
3422,Vanessa Wijngaarden,A5030545036,exact,,name_unique,18
3980,András Fejérdy,A5081168106,exact,,name_unique,18
254,Jakub Sedzinski,A5056470087,exact,,name_unique,19
3567,Laura Grestenberger,A5016609151,exact,,name_unique,19
3838,Adina Preda,A5069135836,exact,,name_unique,20
3944,Denise Bezzina,A5057734473,exact,,name_unique,20
3451,Verónica Policarpo,A5034663534,exact,,name_unique,22
3922,Raul Carstocea,A5070859850,exact,,name_unique,22
0,Timm Fiebig,A5079172960,exact,,name_unique,23
1006,Antoine Molaro,A5003667004,exact,,name_unique,23
3915,Debora Gerstenberger,A5012883909,exact,,name_unique,23
1138,Fernando Tomás Maestre Gil,A5002158853,exact,,name_unique,24
1192,Beatriz Orosa,A5075099415,exact,,name_unique,24
3902,Phil Glauberman,A5079749199,exact,,name_unique,24
123,Aniek Janssen,A5006896191,exact,,name_unique,25
247,Barbara Pernaute,A5007552874,exact,,name_unique,25
498,Sarah Moyon,A5044847658,exact,,name_unique,25
3993,Stefania Gialdroni,A5010934405,exact,,name_unique,25
4158,Tom Birkett,A5014979515,exact,,name_unique,25
110,Ana Rita Brochado,A5045252165,exact,,name_unique,26
129,Fabien Duveau,A5068255509,exact,,name_unique,26
2453,Neel Krishnaswami,A5085047206,exact,,name_unique,26
3269,Roja Fazaeli,A5080620059,exact,,name_unique,26
3880,Ellen Harlizius-Klück,A5018163458,exact,,name_unique,26
3925,Grigor Boykov,A5001928270,exact,,name_unique,26
502,Flavio Donato,A5071843618,exact,,name_unique,27
3753,Erin La Cour,A5008289289,exact,,name_unique,27
20,Corentin Claeys Bouuaert,A5027811387,exact,,name_unique,28
2020,Jacobus Hendrikus Snoeijer,A5046945682,exact,,name_unique,28
3249,Tomas Dumbrovsky,A5054090695,exact,,name_unique,28
3425,Edyta Roszko,A5022180961,exact,,name_unique,28
4143,Jürgen Schaflechner,A5028522801,exact,,name_unique,28
237,Idoia Quintana-Urzainqui,A5041401898,exact,,name_unique,29
3401,Fredy Mora Gamez,A5007219677,exact,,name_unique,29
891,Borja Ibáñez Cabeza,A5018282925,exact,I2809107791,round2_inst,1
3747,Anna Grasskamp,A5115565730,alias,I184942183,round2_inst,1
3780,Banu Karaca,A5107650046,exact,I4392738182,round2_inst,1
534,Maximilian Albert Jösch,A5110943159,fuzzy,I157556583,round2_inst,2
