row_id,inst_name,cc,method,host_openalex_id,matched_name,ror
37,Superior School of Physics and Industrial Chemistry Paris (ESPCI),FR,api_top,I98910050,ESPCI Paris,https://ror.org/03zx86w41
45,Humboldt University of Berlin,DE,api_top,I39343248,Humboldt-Universität zu Berlin,https://ror.org/01hcx6992
83,Institute for Research in Biomedicine -  Bellinzona,CH,manual_override,I4387152247,Institute for Research in Biomedicine,https://ror.org/05gfswd81
91,Masaryk University Brno,CZ,api_top,I21449261,Masaryk University,https://ror.org/02j46qs45
131,Hasso Plattner Institute for Digital Engineering,DE,api_top,I143288331,Hasso Plattner Institute,https://ror.org/058rn5r42
158,University of Linkoeping,SE,api_top,I102134673,Linköping University,https://ror.org/05ynxx418
189,Foundation for Applied Medical Investigation - University of Navarra,ES,api_top,I4392738196,Centro de Investigación Médica Aplicada,https://ror.org/01qew8q20
222,Genome Research Limited,UK,api_top,I2802476451,Wellcome Sanger Institute,https://ror.org/05cy4wa09
249,Helmholtz Center Munich - German Research Center for Environmental Health,DE,api_top,I3018134672,Helmholtz Munich,https://ror.org/00cfam450
282,San Raffaele Hospital,IT,api_top,I4210133214,IRCCS Ospedale San Raffaele,https://ror.org/039zxt351
328,Ruder Boskovic Institute,HR,api_top,I4210123216,Ruđer Bošković Institute,https://ror.org/02mw21745
351,University Hospital Munich \Klinikum rechts der Isar\,DE,api_top,I2802619606,TUM Klinikum,https://ror.org/04jc43x05
361,Research and Higher-Education Pole University of Bordeaux,FR,manual_override,I15057530,Université de Bordeaux,https://ror.org/057qpr032
362,Princess Maxima Centre for Pediatric Oncology,NL,manual_override,I4210127118,Princess Máxima Center,https://ror.org/02aj7yc53
377,Princess Maxima Centre for Pediatric Oncology,NL,manual_override,I4210127118,Princess Máxima Center,https://ror.org/02aj7yc53
382,University of Tromso,NO,api_top,I78037679,UiT The Arctic University of Norway,https://ror.org/00wge5k78
383,Leibniz Institute for Age Research - Fritz Lipmann Institute (FLI),DE,api_top,I4210127789,Leibniz Institute on Aging - Fritz Lipmann Institute (FLI),https://ror.org/039a53269
392,Charite - University Hospital Berlin,DE,api_top,I7877124,Charité - Universitätsmedizin Berlin,https://ror.org/001w7jn25
394,Free University Medical Center Amsterdam (VUmc),NL,manual_override,I911458345,Amsterdam UMC Location Vrije Universiteit Amsterdam,https://ror.org/00q6h8f30
