row_id,host_openalex_id,matched_name,method
0,I34809795,Medizinische Hochschule Hannover,exact
1,I4210094062,University Medical Center of the Johannes Gutenberg University Mainz,fuzzy
2,I195525897,Research Institute of Molecular Pathology,fuzzy
3,I98358874,Delft University of Technology,exact
4,I4210152560,National Institute of Chemistry,exact
5,I150540706,University of Veterinary Medicine Vienna,fuzzy
6,I1294671590,Centre National de la Recherche Scientifique,fuzzy
7,I197251160,Hebrew University of Jerusalem,exact
8,I53964585,Weizmann Institute of Science,fuzzy
9,I36234482,University of Bristol,exact
10,I21250087,Charles University,fuzzy
11,I1294671590,Centre National de la Recherche Scientifique,fuzzy
12,I255234318,Universidad de Zaragoza,exact
13,I4210153543,European Molecular Biology Laboratory,fuzzy
14,I4210153543,European Molecular Biology Laboratory,fuzzy
15,I114090438,Goethe University Frankfurt,fuzzy
16,I1294671590,Centre National de la Recherche Scientifique,fuzzy
17,I62916508,Technical University of Munich,exact
18,,,
19,I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,fuzzy
20,I95674353,UCLouvain,fuzzy
21,I54108979,Norwegian University of Life Sciences,exact
22,,,
23,I124055696,University of Copenhagen,exact
24,I2800006345,Leiden University Medical Center,exact
25,,,
26,,,
27,I193662353,Utrecht University,exact
28,I91712215,Saarland University,exact
29,I28166907,Karolinska Institutet,exact
30,I39804081,Sorbonne Université,exact
31,I159176309,Universität Hamburg,exact
32,,,
33,I193662353,Utrecht University,exact
34,I157556583,Institute of Science and Technology Austria,exact
35,I2800006345,Leiden University Medical Center,exact
36,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact
37,,,
38,I129774422,University of Vienna,exact
39,I55143463,University of Turin,exact
40,I204337017,Aarhus University,exact
41,,,
42,I177639307,University of Dundee,exact
43,I126596746,Jagiellonian University,exact
44,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact
45,,,
46,I47508984,Imperial College London,fuzzy
47,,,
48,I183935753,King's College London,exact
49,I114457229,University of Geneva,exact
50,I91712215,Saarland University,exact
51,I169381384,University of Groningen,exact
52,I129774422,University of Vienna,exact
53,I4210121365,Leibniz Institute for Analytical Sciences - ISAS,fuzzy
54,I4210115812,Human Technopole,exact
55,I202697423,University of Zurich,exact
56,I2801081054,The Francis Crick Institute,fuzzy
57,I161593684,Stockholm University,exact
58,I114457229,University of Geneva,exact
59,I98358874,Delft University of Technology,exact
60,I1294671590,Centre National de la Recherche Scientifique,fuzzy
61,I2801240073,University Medical Center Freiburg,exact
62,I53964585,Weizmann Institute of Science,fuzzy
63,I124055696,University of Copenhagen,exact
64,I202697423,University of Zurich,exact
65,I200763008,Justus-Liebig-Universität Gießen,exact
66,I202697423,University of Zurich,exact
67,I150540706,University of Veterinary Medicine Vienna,fuzzy
68,I4432739,University of Bergen,exact
69,I1294671590,Centre National de la Recherche Scientifique,fuzzy
70,I193662353,Utrecht University,exact
71,I97565354,University of Lausanne,exact
72,I149899117,Max Planck Society,exact
73,I124055696,University of Copenhagen,exact
74,,,
75,,,
76,,,
77,I1294671590,Centre National de la Recherche Scientifique,fuzzy
78,,,
79,I102335020,Karlsruhe Institute of Technology,exact
80,I25974101,University of Würzburg,exact
81,I881427289,University of Gothenburg,exact
82,I118564535,University of Bern,exact
83,,,
84,I7882870,University of Glasgow,exact
85,I60668342,University of Regensburg,exact
86,I4210114103,IFOM,exact
87,,,
88,I133731052,University of Helsinki,exact
89,I1294671590,Centre National de la Recherche Scientifique,fuzzy
90,I40120149,University of Oxford,exact
91,,,
92,I1294671590,Centre National de la Recherche Scientifique,fuzzy
93,,,
94,I2801240073,University Medical Center Freiburg,exact
95,I53964585,Weizmann Institute of Science,fuzzy
96,I56085075,University of Tartu,exact
97,I54009628,University of Bayreuth,exact
98,I4210143228,Cancer Research UK Scotland Institute,fuzzy
99,I149899117,Max Planck Society,exact
100,I124055696,University of Copenhagen,exact
101,I189158943,University of Milan,exact
102,,,
103,I205582932,Max Delbrück Center,exact
104,I60668342,University of Regensburg,exact
105,I53964585,Weizmann Institute of Science,fuzzy
106,I202697423,University of Zurich,exact
107,I114457229,University of Geneva,exact
108,I45129253,University College London,exact
109,I40120149,University of Oxford,exact
110,I8087733,University of Tübingen,exact
111,I16391192,Tel Aviv University,exact
112,I1850255,University of Basel,exact
113,I1294671590,Centre National de la Recherche Scientifique,fuzzy
114,I190082696,Durham University,exact
115,I241749,University of Cambridge,exact
116,I4387155398,Vall d'Hebron Institute of Oncology,exact
117,I1294671590,Centre National de la Recherche Scientifique,fuzzy
118,I2801952686,Erasmus MC,exact
119,I4210153543,European Molecular Biology Laboratory,fuzzy
120,I2898336195,The Netherlands Cancer Institute,exact
121,I1294671590,Centre National de la Recherche Scientifique,fuzzy
122,I129774422,University of Vienna,exact
123,I3018483916,University Medical Center Utrecht,exact
124,I1294671590,Centre National de la Recherche Scientifique,fuzzy
125,I138689650,University of Padua,exact
126,,,
127,I4210115812,Human Technopole,exact
128,I4210115812,Human Technopole,exact
129,I1294671590,Centre National de la Recherche Scientifique,fuzzy
130,I53964585,Weizmann Institute of Science,fuzzy
131,,,
132,I3018483916,University Medical Center Utrecht,exact
133,I4210147769,Institute for Bioengineering of Catalonia,exact
134,I157556583,Institute of Science and Technology Austria,exact
135,I32597200,Ghent University,exact
136,I169381384,University of Groningen,exact
137,I175532246,University of Eastern Finland,exact
138,I4210153543,European Molecular Biology Laboratory,fuzzy
139,,,
140,I204337017,Aarhus University,exact
141,I157536573,Institut Pasteur,exact
142,I184942183,University of Oslo,exact
143,I4210153543,European Molecular Biology Laboratory,fuzzy
144,I4210115812,Human Technopole,exact
145,I135140700,University of Bonn,exact
146,I124055696,University of Copenhagen,exact
147,I53964585,Weizmann Institute of Science,fuzzy
148,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy
149,I25974101,University of Würzburg,exact
150,I53964585,Weizmann Institute of Science,fuzzy
151,I86987016,KTH Royal Institute of Technology,fuzzy
152,I4210153543,European Molecular Biology Laboratory,fuzzy
153,I2799391451,University Hospital Bonn,exact
154,I53964585,Weizmann Institute of Science,fuzzy
155,I205582932,Max Delbrück Center,exact
156,I53964585,Weizmann Institute of Science,fuzzy
157,,,
158,,,
159,I53964585,Weizmann Institute of Science,fuzzy
160,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact
161,I4210137962,Centre for Genomic Regulation,exact
162,I100930933,University College Dublin,fuzzy
163,I98677209,University of Edinburgh,exact
164,I157536573,Institut Pasteur,exact
165,I98677209,University of Edinburgh,exact
166,I7882870,University of Glasgow,exact
167,I170486558,Universitat Pompeu Fabra,exact
168,I193662353,Utrecht University,exact
169,I186903577,University of Luxembourg,exact
170,I2898336195,The Netherlands Cancer Institute,exact
171,I53964585,Weizmann Institute of Science,fuzzy
172,I13134134,Universidad de Cantabria,exact
173,I202697423,University of Zurich,exact
174,I35440088,ETH Zurich,fuzzy
175,I53964585,Weizmann Institute of Science,fuzzy
176,I1294671590,Centre National de la Recherche Scientifique,fuzzy
177,I17937529,German Cancer Research Center,exact
178,I16391192,Tel Aviv University,exact
179,I149899117,Max Planck Society,exact
180,I25974101,University of Würzburg,exact
181,I16391192,Tel Aviv University,exact
182,I4210153543,European Molecular Biology Laboratory,fuzzy
183,I157556583,Institute of Science and Technology Austria,exact
184,I2898336195,The Netherlands Cancer Institute,exact
185,I53964585,Weizmann Institute of Science,fuzzy
186,I53964585,Weizmann Institute of Science,fuzzy
187,I4210153543,European Molecular Biology Laboratory,fuzzy
188,I4210153543,European Molecular Biology Laboratory,fuzzy
189,,,
190,I157536573,Institut Pasteur,exact
