row_id,host_openalex_id,matched_name,method,relevance,ror
0,I34809795,Medizinische Hochschule Hannover,exact,40587.992,https://ror.org/00f2yqf98
1,I4210094062,University Medical Center of the Johannes Gutenberg University Mainz,fuzzy,43536.97,https://ror.org/00q1fsf04
2,I195525897,Research Institute of Molecular Pathology,fuzzy,123675.9,https://ror.org/02c5jsm26
3,I98358874,Delft University of Technology,exact,336248.8,https://ror.org/02e2c7k09
4,I4210152560,National Institute of Chemistry,exact,59842.81,https://ror.org/050mac570
5,I150540706,University of Veterinary Medicine Vienna,fuzzy,31846.99,https://ror.org/01w6qp003
6,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
7,I197251160,Hebrew University of Jerusalem,exact,375981.75,https://ror.org/03qxff017
8,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
9,I36234482,University of Bristol,exact,336861.22,https://ror.org/0524sp257
10,I21250087,Charles University,fuzzy,15146.773,https://ror.org/024d6js02
11,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
12,I255234318,Universidad de Zaragoza,exact,22358.32,https://ror.org/012a91z28
13,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
14,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
15,I5237613,Frankfurt University of Applied Sciences,weak,9938.851,https://ror.org/02r625m11
16,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
17,I62916508,Technical University of Munich,exact,424323.34,https://ror.org/02kkvpp62
18,I8204097,Ludwig-Maximilians-Universität München,weak,31190.25,https://ror.org/05591te55
19,,,none,,
20,I95674353,UCLouvain,fuzzy,33728.004,https://ror.org/02495e989
21,I54108979,Norwegian University of Life Sciences,exact,141107.08,https://ror.org/04a1mvv97
22,I197323543,Johannes Gutenberg University Mainz,weak,41263.29,https://ror.org/023b0x485
23,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
24,I2800006345,Leiden University Medical Center,exact,358705.56,https://ror.org/05xvt9f17
25,I4210116730,Universitätsmedizin Göttingen,weak,20243.906,https://ror.org/021ft0n22
26,I2801876189,Deutsches Elektronen-Synchrotron DESY,weak,205909.84,https://ror.org/01js2sh04
27,I193662353,Utrecht University,exact,376452.06,https://ror.org/04pp8hn57
28,I91712215,Saarland University,exact,182555.69,https://ror.org/01jdpyv68
29,I28166907,Karolinska Institutet,exact,61562.074,https://ror.org/056d84691
30,I39804081,Sorbonne Université,exact,73100.87,https://ror.org/02en5vm52
31,I159176309,Universität Hamburg,exact,52580.78,https://ror.org/00g30e956
32,,,none,,
33,I193662353,Utrecht University,exact,376452.06,https://ror.org/04pp8hn57
34,I157556583,Institute of Science and Technology Austria,exact,61168.43,https://ror.org/03gnh5541
35,I2800006345,Leiden University Medical Center,exact,358705.56,https://ror.org/05xvt9f17
36,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact,117144.875,https://ror.org/043c0p156
37,,,none,,
38,I129774422,University of Vienna,exact,231053.86,https://ror.org/03prydq77
39,I55143463,University of Turin,exact,288075.34,https://ror.org/048tbm396
40,I204337017,Aarhus University,exact,286607.8,https://ror.org/01aj84f44
41,I8204097,Ludwig-Maximilians-Universität München,weak,31190.25,https://ror.org/05591te55
42,I177639307,University of Dundee,exact,212539.11,https://ror.org/03h2bxq36
43,I126596746,Jagiellonian University,exact,201192.7,https://ror.org/03bqmcz70
44,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact,117144.875,https://ror.org/043c0p156
