rid,eu_name,authorid,sci_name,match_type
1414,Balazs Szegedy,A5112443030,Balázs Szegedy,exact
919,Björn Högberg,A5002289127,Björn Högberg,exact
2807,Andreas Fischer,A5105937546,Andreas Fischer,exact
2859,Martí Gich,A5081565629,Martí Gich,exact
1634,Matthew Baker,A5102169920,Matthew Baker,exact
1350,Xin Li,A5100660750,Xin Li,exact
3152,Eduardo Perez,A5069109185,Eduardo Pérez,exact
3448,Erica Weiss,A5076899110,Erica Weiss,exact
134,Xiaoqi Feng,A5112943671,Xiaoqi Feng,exact
190,Romain Koszul,A5093567095,Romain Koszul,exact
1350,Xin Li,A5100353900,Xin Li,exact
1350,Xin Li,A5097058079,Xin Li,exact
1168,Li Tang,A5074411617,Li Tang,exact
18,Julian Stingele,A5019471057,Julian Stingele,exact
2673,Oren Cohen,A5103499910,Oren Cohen,exact
993,Cecilia Nilsson,A5019024079,Cecilia Nilsson,exact
1294,Christian Webb,A5059014160,Christian Webb,exact
482,Peter Friedl,A5026527299,Peter Friedl,exact
2791,Shervin Bagheri,A5014297647,Shervin Bagheri,exact
1350,Xin Li,A5007712763,Xin Li,exact
479,Susana Gonzalez,A5103948674,Susana González,exact
2435,Madeline Balaam,A5078308184,Madeline Balaam,exact
1350,Xin Li,A5017781285,Xin Li,exact
4091,Isaac Sasson,A5010445649,Isaac Sasson,exact
1286,Bozhidar Velichkov,A5112819117,Bozhidar Velichkov,exact
418,Matthew Campbell,A5112402449,Matthew Campbell,exact
2202,Ruth Pérez Fernández,A5090594183,Ruth Pérez Fernández,exact
1452,Jia Chen,A5066961345,Jia Chen,exact
1637,Christian Müller,A5097647444,Christian Müller,exact
986,Charlotte Grossiord,A5075690626,Charlotte Grossiord,exact
431,Ravid Straussman,A5025259421,Ravid Straussman,exact
3237,Lisa Dellmuth,A5029516089,LISA DELLMUTH,exact
2272,Nuno Silva,A5001260196,Nuno Silva,exact
45,Marc Erhardt,A5084242666,Marc Erhardt,exact
1506,Corrado Cimarelli,A5032009322,Corrado Cimarelli,exact
3312,Francesco Ragazzi,A5041985142,Francesco Ragazzi,exact
1171,Zaida Álvarez,A5078839838,Zaida Álvarez,exact
1476,Marie Spohn,A5112758469,Marie Spohn,exact
2998,Akira Endo,A5029659497,Akira Endo,exact
3127,Andrew Rhodes,A5034506734,Andrew Rhodes,exact
2029,Jian Cui,A5009180435,Jian Cui,exact
2061,David Alsteens,A5071387345,David Alsteens,exact
3638,Stefan Van Der Stigchel,A5099524256,Stefan van der Stigchel,exact
