rid,eu_name,authorid,match_type,host_id
3357,Rachel Mary Brooks,A5054393041,fuzzy,I28290843
1738,Matthias Schott,A5107891762,alias,I197323543
2362,Magnus Rueping,A5071153001,alias,I887968799
1722,Akitaka Ariga,A5102802867,alias,I118564535
483,Tobias Georg Bruno Maria Huber,A5076632645,fuzzy,I4210108711
2854,Christoph Rüdiger Müller,A5024347042,alias,I35440088
591,Karin Shmueli,A5006887531,alias,I45129253
2292,Syuzanna Harutyunyan,A5012293576,alias,I169381384
2917,Elena Martínez Fraiz,A5063850102,alias,I4210147769
1064,Yossi Yovel,A5091110520,alias,I16391192
1004,Henrik Salje,A5086547092,alias,I241749
1331,Kathrin Bringmann,A5089032048,exact,I180923762
2699,Esther Rodriguez-Villegas,A5026574215,exact,I47508984
1829,Shuang Zhang,A5100321581,exact,I79619799
2360,Jeroen Johannes Lambertus Maria Cornelissen,A5048407450,alias,I94624287
3447,Martijn Koster,A5063676883,exact,I913481162
1097,Martin Kaltenpoth,A5059004438,exact,I149899117
2166,Guido Pintacuda,A5061859662,exact,I1294671590
699,Stan Johan Jozef Brouns,A5051219873,alias,I98358874
2709,Coskun Kocabas,A5027504594,exact,I28407311
2605,Massimo Sartori,A5083381101,exact,I94624287
3648,Michel Thiebaut De Schotten,A5024787899,alias,I1294671590
3698,Jonas Ferdinand Obleser,A5071259609,fuzzy,I9341345
1688,Ido Kaminer,A5013737776,exact,I174306211
2943,Alberto Guardone,A5028685995,exact,I93860229
3604,Kamilla Miskowiak,A5044746918,alias,I124055696
995,Susan Johnston,A5083372249,alias,I98677209
2506,Lior Wolf,A5078102229,alias,I16391192
4017,Felix Riede,A5065442345,exact,I204337017
4067,Monika Krisztina Baar,A5051277148,fuzzy,I121797337
521,Alessandro Gozzi,A5072821940,exact,I30771326
481,Jan Cools,A5060184481,alias,I2802017950
1789,Yury Litvinov,A5020045922,alias,I169556180
1118,Lee Hsiang Liow,A5039139093,alias,I184942183
523,Sylvain Rheims,A5018669927,exact,I100532134
2828,Andrea Toma,A5078864453,alias,I30771326
927,Charlotte Anita Ling,A5046960589,fuzzy,I187531555
3065,Andrew James Levan,A5025740124,alias,I145872427
2601,Jan Hasenauer,A5063254041,alias,I135140700
2416,Nicolas Padoy,A5071976104,alias,I68947357
2532,Nir Yosef Ailon,A5033770678,fuzzy,I174306211
321,Mohamed Lamkanfi,A5014558436,alias,I32597200
3070,Herve Bouy,A5014011880,alias,I15057530
1969,Luca De' Medici,A5067762434,alias,I98910050
2120,Stefan Muellegger,A5059816302,alias,I121883995
392,Peter Kühnen,A5022408562,alias,I7877124
1830,Dario Polli,A5039440957,alias,I93860229
2086,Gareth Parkinson,A5041603922,alias,I145847075
3768,Susana Viegas,A5017077513,exact,I83558840
853,Peter Boor,A5049305761,exact,I4210120689
865,Timo Johannes Laaksonen,A5004833492,alias,I133731052
222,Sarah Amalia Polonius-Teichmann,A5028596003,fuzzy,I2802476451
2921,Dongsheng Wen,A5070857673,alias,I130828816
2764,Mustafa Onses,A5073160454,alias,I87673952
3651,John Robert Gareth Williams,A5002313174,alias,I130828816
2589,David Phillips,A5040378209,fuzzy,I23923803
2527,Ely Porat,A5049614530,alias,I13955877
1533,Riikka Tiivi Mariisa Rinnan,A5046186806,fuzzy,I124055696
2428,Frank Hutter,A5031002895,exact,I161046081
2616,Nir Bar-Gill,A5026599520,alias,I197251160
1144,Andreas Helmut Hejnol,A5017859842,fuzzy,I4432739
1800,Gary Alexander Steele,A5042843637,alias,I98358874
2847,Kirsi Mikkonen,A5090505827,alias,I133731052
1371,Francis Clément Sais Brown,A5057969937,fuzzy,I40120149
2165,Joachim Dzubiella,A5070790975,alias,I161046081
1861,Michael Knap,A5020137286,alias,I62916508
3056,Avishay Gal-Yam,A5053406766,alias,I53964585
2690,Petros Elia,A5015066458,alias,I1902872
3030,Peter Hilding Johansson,A5032012858,alias,I133731052
1719,Frank Tackmann,A5070951603,alias,I2801876189
912,Julien Jean-Charles Nicolas,A5001640643,fuzzy,I1294671590
3873,Jari Pekka Kaukua,A5027509173,fuzzy,I94722563
2817,Jose Adam,A5043970680,alias,I60053951
1953,Ivan Guilhem Daniel Favero,A5105890259,fuzzy,I1294671590
2084,Koen Vandewal,A5009368260,alias,I878454856
1762,Pasquale Calabrese,A5076249507,exact,I138549579
200,Amos Tanay,A5083312685,alias,I53964585
73,Anja Groth,A5076432360,alias,I124055696
163,Joseph Marsh,A5002238592,alias,I98677209
2768,Michele Conti,A5069653622,alias,I25217355
1298,Jack Thorne,A5050562069,alias,I241749
1359,Mikko Salo,A5078087086,alias,I94722563
930,Unnur Valdimarsdóttir,A5010145550,exact,I165368041
2243,Mark Crimmin,A5034836508,alias,I47508984
4121,Willem Boterman,A5034751621,alias,I887064364
1532,Appy Sluijs,A5039737037,exact,I193662353
4138,Daniela Cristina Antelmi Pigosso,A5000390576,alias,I96673099
564,Susanne Schreiber,A5067638731,exact,I39343248
3683,Bence Gyorgy Nanay,A5013703767,fuzzy,I149213910
3324,Carsten Jensen,A5065496081,alias,I204337017
2558,Vladimir Kolmogorov,A5021390142,alias,I157556583
89,Irina Gutsche,A5067733403,exact,I1294671590
428,George Vassiliou,A5024724352,alias,I241749
2094,Artem Mishchenko,A5081648095,exact,I28407311
1840,Fatih Ömer İlday,A5070012075,alias,I168864056
3623,Alejandrina Cristia,A5106034314,exact,I1294671590
3996,Philipp Stockhammer,A5065087354,alias,I8204097
2875,Marc Pera Titus,A5070971453,exact,I79510175
863,Lena Maier-Hein,A5023493127,exact,I17937529
997,Emily Mitchell,A5114105900,alias,I241749
1013,Tamir Klein,A5050473052,alias,I53964585
3155,Vasco Miguel Pereira Marques De Carvalho,A5037879038,fuzzy,I241749
2730,Ozgur B. Akan,A5042130660,alias,I241749
1409,Martin Burger,A5069220813,exact,I181369854
1753,Mustapha Laatiaoui,A5104470432,alias,I197323543
1714,Magdalena Kowalska,A5102959889,alias,I67311998
1234,Fernando López Gallego,A5033368136,exact,I4210087187
2377,Marco Guarnieri,A5069694679,exact,I4210162154
3709,Robert Klassen,A5071058104,alias,I52099693
260,Jean-Léon Maître,A5032567633,exact,I1294671590
885,Niccolo Bolli,A5051626849,alias,I189158943
2578,Mehul Malik,A5016870304,exact,I32062511
2315,Christian Adam Olsen,A5041984050,alias,I124055696
2127,Ville-Veikko Telkki,A5005498732,alias,I98381234
1890,Péter Makk,A5008130947,alias,I29770179
2902,Guillaume Loïc Haiat,A5103909616,fuzzy,I1294671590
1249,Christine Ruth Faulkner,A5018025372,fuzzy,I100288624
2289,Ismael Díez Pérez,A5066871664,exact,I183935753
1653,Savvas Zafeiropoulos,A5015748226,alias,I1294671590
1903,Pablo Alonso Gonzalez,A5078591848,alias,I165339363
41,Ralf Jungmann,A5052548866,exact,I8204097
3034,Alexis Rouillard,A5019228628,alias,I1294671590
1373,Colin Alfred Guillarmou,A5058506941,fuzzy,I1294671590
3218,Yann Bramoullé,A5015186076,alias,I21491767
3802,Anna Papaeti,A5031110912,alias,I4210127711
3746,Eva Von Contzen,A5001710677,alias,I161046081
3659,Judit Gervain,A5065300194,alias,I138689650
2871,Dennis Michael Kochmann,A5083881460,fuzzy,I35440088
3676,Christian Fritz Andreas Doeller,A5041330412,fuzzy,I204778367
9,Thomas Sharp,A5085976588,alias,I36234482
547,Benjamin Judkewitz,A5070498168,alias,I7877124
216,Alexander Stark,A5052020232,exact,I195525897
3290,Marcus Collier,A5041902167,alias,I205274468
4078,Cristina Dondi,A5019052700,alias,I40120149
4025,M'Hamed Oualdi,A5043934762,alias,I205092303
3484,Irena Kogan,A5082684875,exact,I177802217
2534,Krzysztof Zbigniew Pietrzak,A5103200276,fuzzy,I157556583
638,Rosa Cossart,A5030120520,alias,I154526488
3612,Joshua Tybur,A5066329079,alias,I865915315
411,Jacob Fog Bentzon,A5001564519,alias,I204337017
1046,Petr Keil,A5104087926,alias,I205984670
875,Hugo Aerts,A5001452511,alias,I34352273
554,Sonja Vernes,A5085492585,alias,I16835326
76,Rouslan Efremov,A5032702918,alias,I2802017950
828,Eleni Tomazou,A5072020303,alias,I4388891777
668,Christoph Schneider,A5076104710,alias,I202697423
3760,Matteo Pasquinelli,A5085389494,alias,I149461666
1142,Jonathan Paul Bollback,A5049997602,fuzzy,I146655781
3988,Cristiano Nicosia,A5091135125,alias,I138689650
3834,Markus Messling,A5028233749,alias,I91712215
2954,Philip Bull,A5019247098,exact,I28407311
1185,Guillaume Lobet,A5023803941,alias,I95674353
1937,Wiebke Drenckhan-Andreatta,A5058252309,alias,I1294671590
2486,Damien Woods,A5029275026,alias,I157286207
556,Luca Bonini,A5040229416,alias,I124601658
1027,Aaron Vogan,A5008616285,alias,I123387679
3462,Ana Cristina Santos,A5064304942,exact,I4392738281
2907,Guillermo Jose Rein,A5108532508,fuzzy,I47508984
3941,Wei Chu,A5101906116,alias,I121797337
4125,Aida Cuni Sanchez,A5024498161,alias,I54108979
3280,Andrea Herrmann,A5022652001,alias,I145872427
1171,Zaida Álvarez,A5057679210,exact,I4210147769
959,Hugo Wilhelmus Antonius Maria De Jong,A5111531142,fuzzy,I3018483916
1563,Bas Johannes Henricus Van De Wiel,A5051497306,fuzzy,I98358874
146,Fran Supek,A5025364437,alias,I124055696
3824,Gascia Ouzounian,A5077721733,alias,I40120149
297,Pedro Nuno Chaves Simoes De Carvalho,A5077706232,fuzzy,I40120149
405,Jorge Alegre-Cebollada,A5032009344,alias,I2809107791
2719,Sebastian Sager,A5046168027,alias,I95793202
2620,Carlos Alonso Ramos,A5100674807,fuzzy,I1294671590
2419,Anthony Lin,A5034129725,alias,I153267046
3386,Vinh-Kim Nguyen,A5108899191,exact,I951315
3733,Michael Stuart,A5059040782,alias,I52099693
2224,Thomas Hermans,A5091560495,alias,I2802543619
3318,Eoin Carolan,A5022887881,exact,I100930933
2266,Sander Izaak Van Kasteren,A5110196902,fuzzy,I121797337
2943,Alberto Guardone,A5108153962,exact,I93860229
4130,Eva Kassens-Noor,A5002371660,alias,I31512782
1894,David Zwicker,A5065588007,alias,I149899117
3942,Yair Furstenberg,A5071496026,exact,I197251160
3069,Sarah Louise Bridle,A5104455209,fuzzy,I28407311
4046,Maria Fusaro,A5102471918,alias,I23923803
3368,Phillip Hellwege,A5034364757,alias,I179225836
817,Wessel Ganzevoort,A5005195003,alias,I911458345
2601,Jan Hasenauer,A5016124637,exact,I135140700
192,Stein Luc Aerts,A5002137087,fuzzy,I2802017950
2029,Jian Cui,A5009180435,exact,I3018134672
2164,Jianting Ye,A5055829039,exact,I169381384
3784,Juliane Noth,A5019752030,alias,I75951250
3039,Hans Kristian Eriksen,A5105096654,alias,I184942183
3024,Ingunn Kathrine Wehus,A5024157471,fuzzy,I184942183
1651,Bruno Bertini,A5053950593,alias,I79619799
2444,Robert Wille,A5049470087,alias,I62916508
955,Vincent Wilfred Vishal-Kapoor Jaddoe,A5103392234,fuzzy,I2801952686
137,Minna Kaikkonen-Määttä,A5015361259,alias,I175532246
2283,Maksym Kovalenko,A5111295188,fuzzy,I35440088
1841,Silvia Pascoli,A5083437341,exact,I190082696
3780,Banu Karaca,A5107650046,exact,I4392738182
967,Craig Morgan,A5104050016,fuzzy,I183935753
3214,Per Einar Pettersson Lidbom,A5009152026,fuzzy,I161593684
2245,Joseph Moran,A5090399192,alias,I4210143995
2351,Sebastien Perrier,A5105457154,alias,I39555362
2114,Hans Jakob Wörner,A5102685236,exact,I35440088
200,Amos Tanay,A5098855457,alias,I53964585
526,Tomohisa Toda,A5103264007,exact,I181369854
2088,Oren Tal,A5009968641,alias,I53964585
4064,Caroline An H Waerzeggers,A5003075197,fuzzy,I121797337
1479,Matti Rissanen,A5108265186,alias,I166825849
827,Ritse Mann,A5039912064,fuzzy,I2802934949
705,Noam Stern-Ginossar,A5112538893,alias,I53964585
3891,Gesine Ulrike Müller,A5093527843,fuzzy,I180923762
768,Federico Mingozzi,A5112323088,exact,I4210127167
1239,Cecilia Maria Sahlgren,A5071993102,fuzzy,I130217899
3884,Christophe Florian Erismann,A5020439388,fuzzy,I129774422
1634,Matthew Baker,A5051405385,alias,I34352273
4027,Giulia Giannini,A5106513059,exact,I189158943
2994,Christian Moestl,A5110645754,alias,I4387154425
2140,Jerome Wenger,A5107861039,exact,I1294671590
2267,Elena Goun,A5103258316,exact,I4392738145
3386,Vinh-Kim Nguyen,A5111263485,alias,I951315
388,Ruth Scherz-Shouval,A5084893718,alias,I53964585
4055,Stefano Benazzi,A5018599146,alias,I9360294
3386,Vinh-Kim Nguyen,A5112727221,alias,I951315
1722,Akitaka Ariga,A5020028119,alias,I118564535
1999,Andrew James Ferguson,A5023302612,fuzzy,I241749
740,Marc Schmidt-Supprian,A5018917875,alias,I2802619606
3802,Anna Papaeti,A5051209881,alias,I4210127711
2362,Magnus Rueping,A5071153001,exact,I887968799
4218,Tobias Georg Bruno Maria Huber,A5076632645,fuzzy,I4210108711
591,Karin Shmueli,A5006887531,exact,I45129253
1004,Henrik Salje,A5086547092,exact,I241749
1331,Kathrin Bringmann,A5089032048,alias,I180923762
2699,Esther Rodriguez-Villegas,A5026574215,alias,I47508984
1829,Shuang Zhang,A5100321581,alias,I79619799
1097,Martin Kaltenpoth,A5059004438,alias,I149899117
2166,Guido Pintacuda,A5061859662,alias,I1294671590
2709,Coskun Kocabas,A5027504594,alias,I28407311
2605,Massimo Sartori,A5083381101,alias,I94624287
3648,Michel Thiebaut De Schotten,A5024787899,exact,I1294671590
1688,Ido Kaminer,A5013737776,alias,I174306211
2943,Alberto Guardone,A5028685995,alias,I93860229
2506,Lior Wolf,A5078102229,exact,I16391192
4017,Felix Riede,A5065442345,alias,I204337017
521,Alessandro Gozzi,A5072821940,alias,I30771326
481,Jan Cools,A5060184481,exact,I2802017950
1118,Lee Hsiang Liow,A5039139093,exact,I184942183
523,Sylvain Rheims,A5018669927,alias,I100532134
2828,Andrea Toma,A5078864453,exact,I30771326
2601,Jan Hasenauer,A5063254041,exact,I135140700
2416,Nicolas Padoy,A5071976104,exact,I68947357
321,Mohamed Lamkanfi,A5014558436,exact,I32597200
392,Peter Kühnen,A5022408562,exact,I7877124
1830,Dario Polli,A5039440957,exact,I93860229
3768,Susana Viegas,A5017077513,alias,I83558840
853,Peter Boor,A5049305761,alias,I4210120689
2921,Dongsheng Wen,A5070857673,exact,I130828816
2527,Ely Porat,A5049614530,exact,I13955877
2428,Frank Hutter,A5031002895,alias,I161046081
2616,Nir Bar-Gill,A5026599520,exact,I197251160
2165,Joachim Dzubiella,A5070790975,exact,I161046081
1861,Michael Knap,A5020137286,exact,I62916508
2690,Petros Elia,A5015066458,exact,I1902872
2084,Koen Vandewal,A5009368260,exact,I878454856
1762,Pasquale Calabrese,A5076249507,alias,I138549579
200,Amos Tanay,A5083312685,exact,I53964585
73,Anja Groth,A5076432360,exact,I124055696
2768,Michele Conti,A5069653622,exact,I25217355
1359,Mikko Salo,A5078087086,exact,I94722563
930,Unnur Valdimarsdóttir,A5010145550,alias,I165368041
4121,Willem Boterman,A5034751621,exact,I887064364
1532,Appy Sluijs,A5039737037,alias,I193662353
564,Susanne Schreiber,A5067638731,alias,I39343248
3324,Carsten Jensen,A5065496081,exact,I204337017
2558,Vladimir Kolmogorov,A5021390142,exact,I157556583
89,Irina Gutsche,A5067733403,alias,I1294671590
2094,Artem Mishchenko,A5081648095,alias,I28407311
3623,Alejandrina Cristia,A5106034314,alias,I1294671590
2875,Marc Pera Titus,A5070971453,alias,I79510175
863,Lena Maier-Hein,A5023493127,alias,I17937529
997,Emily Mitchell,A5114105900,exact,I241749
1013,Tamir Klein,A5050473052,exact,I53964585
2730,Ozgur B. Akan,A5042130660,exact,I241749
1409,Martin Burger,A5069220813,alias,I181369854
1234,Fernando López Gallego,A5033368136,alias,I4210087187
2377,Marco Guarnieri,A5069694679,alias,I4210162154
260,Jean-Léon Maître,A5032567633,alias,I1294671590
885,Niccolo Bolli,A5051626849,exact,I189158943
2578,Mehul Malik,A5016870304,alias,I32062511
2127,Ville-Veikko Telkki,A5005498732,exact,I98381234
1890,Péter Makk,A5008130947,exact,I29770179
2289,Ismael Díez Pérez,A5066871664,alias,I183935753
1653,Savvas Zafeiropoulos,A5015748226,exact,I1294671590
1903,Pablo Alonso Gonzalez,A5078591848,exact,I165339363
41,Ralf Jungmann,A5052548866,alias,I8204097
4169,Yann Bramoullé,A5015186076,alias,I21491767
3802,Anna Papaeti,A5031110912,exact,I4210127711
3746,Eva Von Contzen,A5001710677,exact,I161046081
3659,Judit Gervain,A5065300194,exact,I138689650
547,Benjamin Judkewitz,A5070498168,exact,I7877124
216,Alexander Stark,A5052020232,alias,I195525897
3290,Marcus Collier,A5041902167,exact,I205274468
4078,Cristina Dondi,A5019052700,exact,I40120149
3484,Irena Kogan,A5082684875,alias,I177802217
638,Rosa Cossart,A5030120520,exact,I154526488
668,Christoph Schneider,A5076104710,exact,I202697423
3760,Matteo Pasquinelli,A5085389494,exact,I149461666
3988,Cristiano Nicosia,A5091135125,exact,I138689650
2954,Philip Bull,A5019247098,alias,I28407311
1185,Guillaume Lobet,A5023803941,exact,I95674353
2486,Damien Woods,A5029275026,exact,I157286207
556,Luca Bonini,A5040229416,exact,I124601658
3462,Ana Cristina Santos,A5064304942,alias,I4392738281
3941,Wei Chu,A5101906116,exact,I121797337
4125,Aida Cuni Sanchez,A5024498161,exact,I54108979
3280,Andrea Herrmann,A5022652001,exact,I145872427
1171,Zaida Álvarez,A5057679210,alias,I4210147769
146,Fran Supek,A5025364437,exact,I124055696
3824,Gascia Ouzounian,A5077721733,exact,I40120149
3386,Vinh-Kim Nguyen,A5108899191,alias,I951315
3318,Eoin Carolan,A5022887881,alias,I100930933
2943,Alberto Guardone,A5108153962,alias,I93860229
1894,David Zwicker,A5065588007,exact,I149899117
3942,Yair Furstenberg,A5071496026,alias,I197251160
4046,Maria Fusaro,A5102471918,exact,I23923803
3368,Phillip Hellwege,A5034364757,exact,I179225836
817,Wessel Ganzevoort,A5005195003,exact,I911458345
2601,Jan Hasenauer,A5016124637,alias,I135140700
2029,Jian Cui,A5009180435,alias,I3018134672
2164,Jianting Ye,A5055829039,alias,I169381384
3784,Juliane Noth,A5019752030,exact,I75951250
1651,Bruno Bertini,A5053950593,exact,I79619799
137,Minna Kaikkonen-Määttä,A5015361259,exact,I175532246
1841,Silvia Pascoli,A5083437341,alias,I190082696
3780,Banu Karaca,A5107650046,alias,I4392738182
4168,Per Einar Pettersson Lidbom,A5009152026,fuzzy,I161593684
2245,Joseph Moran,A5090399192,exact,I4210143995
2114,Hans Jakob Wörner,A5102685236,alias,I35440088
200,Amos Tanay,A5098855457,exact,I53964585
526,Tomohisa Toda,A5103264007,alias,I181369854
670,Noam Stern-Ginossar,A5112538893,exact,I53964585
768,Federico Mingozzi,A5112323088,alias,I4210127167
4027,Giulia Giannini,A5106513059,alias,I189158943
