rid,eu_name,authorid,match_type,host_id,passed,n_papers,source
1,Andreas Bock,A5065250034,exact,,True,125,round4_semtie
2,Clemens Plaschka,A5006479386,exact,I195525897,True,24,round4_semtie
9,Thomas Sharp,A5085976588,alias,I36234482,False,80,round4_maxpapers
14,Eva Kowalinski,A5049088846,exact,,True,29,round4_semtie
15,Christian Münch,A5012478165,exact,,True,145,round4_semtie
30,Elodie Laine,A5076453514,alias,I39804081,True,100,round4_semtie
50,Robert Ernst,A5043813423,alias,I91712215,True,380,round4_semtie
55,Martin Jinek,A5000173541,exact,I202697423,True,155,round4_semtie
59,Chirlmin Joo,A5088856493,exact,I98358874,True,142,round4_semtie
67,Alwin Köhler,A5051857909,alias,,True,35,round4_semtie
68,Thomas Arnesen,A5032682346,alias,I4432739,True,136,round4_semtie
71,Stephan Gruber,A5007805763,alias,I97565354,True,102,round4_semtie
78,David Komander,A5086480636,exact,,True,158,round4_semtie
83,Petr Cejka,A5056096904,alias,,True,128,round4_semtie
84,Helen Walden,A5055937619,alias,I7882870,True,72,round4_semtie
89,Irina Gutsche,A5039571597,exact,I1294671590,True,104,round4_semtie
94,Nils Wiedemann,A5068752218,alias,,True,104,round4_semtie
96,Mart Loog,A5090178938,exact,I56085075,True,79,round4_semtie
101,Vincenzo Costanzo,A5056633333,exact,I189158943,True,112,round4_semtie
118,Miao-Ping Chien,A5076454824,alias,I2801952686,True,55,round4_semtie
132,Jeroen De Ridder,A5071483953,exact,I3018483916,True,168,round4_semtie
147,Nir Yosef,A5026299103,exact,I53964585,True,277,round4_semtie
148,Darío Jesús Lupiáñez García,A5009382919,alias,,False,1,round4_maxpapers
163,Joseph Marsh,A5002238592,alias,I98677209,True,167,round4_semtie
166,Alfredo Castello Palomares,A5097923988,alias,,False,1,round4_maxpapers
174,Paola Picotti,A5084914720,alias,I35440088,True,158,round4_semtie
179,Nicola Iovino,A5024510416,exact,,True,41,round4_semtie
187,Theodore Alexandrov,A5023802736,exact,I4210138560,True,270,round4_semtie
195,Ido Amit,A5048280875,alias,I53964585,True,378,round4_semtie
198,Anders Peter Brodersen,A5045230635,fuzzy,,False,5,round4_maxpapers
200,Amos Tanay,A5083312685,exact,I53964585,True,188,round4_semtie
204,Nuria Lopez Bigas,A5057300983,alias,I4210122345,True,328,round4_semtie
205,Rotem Sorek,A5024718393,exact,I53964585,True,161,round4_semtie
213,Petr Svoboda,A5063809380,exact,I4210138103,True,212,round4_semtie
219,Ron Milo,A5024451873,alias,I53964585,True,189,round4_semtie
229,Jonathan Lawrence Marchini,A5051043751,fuzzy,I40120149,True,216,round4_semtie
242,Edouard Hannezo,A5027982101,exact,I157556583,True,114,round4_semtie
246,Marie-Cécile Caillaud,A5017462808,alias,I1294671590,True,50,round4_semtie
253,Shotaro Otsuka,A5082422826,alias,,True,35,round4_semtie
261,Vincenzo Calvanese,A5038217290,alias,,True,64,round4_semtie
266,Ulrika Marklund,A5087519517,alias,I28166907,True,27,round4_semtie
276,Miki Matsuda,A5113732636,alias,,False,8,round4_maxpapers
287,Cesar Nombela,A5089356341,exact,,True,250,round4_semtie
288,Jérôme Gros,A5089103667,exact,I157536573,True,64,round4_semtie
290,Ana Garcia Saez,A5041672678,alias,I180923762,True,170,round4_semtie
293,Julien Dumont,A5002172208,alias,I1294671590,True,70,round4_semtie
294,Ari Pekka Mähönen,A5076653362,exact,I133731052,True,77,round4_semtie
306,Ana Martin-Villalba,A5003387515,exact,I17937529,True,110,round4_semtie
313,Simon Alberti,A5008277442,alias,,True,159,round4_semtie
321,Mohamed Lamkanfi,A5014558436,alias,I32597200,True,132,round4_semtie
330,Thomas Greb,A5005431192,exact,,True,83,round4_semtie
347,Francesco Paneni,A5050799541,alias,I202697423,True,312,round4_semtie
351,Ihsan Ekin Demir,A5088890575,alias,I2802619606,True,321,round4_semtie
358,Direna Alonso-Curbelo,A5010025130,alias,I4210122345,True,83,round4_semtie
360,Benoit Chassaing,A5018718565,alias,I154526488,True,273,round4_semtie
370,José Pedro Friedmann Angeli,A5065710911,alias,,True,100,round4_semtie
373,Pedro Sousa-Victor,A5075912749,exact,,True,35,round4_semtie
386,Elmar Wolf,A5081972858,exact,,True,146,round4_semtie
387,Carmine Settembre,A5056795266,exact,I71267560,True,86,round4_semtie
388,Ruth Scherz-Shouval,A5006544087,exact,I53964585,True,106,round4_semtie
397,Timo Mueller,A5113212927,alias,,False,187,round4_maxpapers
404,Guillaume Canaud,A5042298336,exact,I204730241,True,101,round4_semtie
405,Jorge Alegre-Cebollada,A5005585216,exact,I2809107791,True,99,round4_semtie
409,Manuel Valiente,A5070418898,exact,I4210089594,True,258,round4_semtie
415,Simon Holst Bekker-Jensen,A5063029794,alias,I124055696,False,103,round4_maxpapers
418,Matthew Campbell,A5008861348,alias,I205274468,True,309,round4_semtie
419,Ruben Van Boxtel,A5019020568,alias,I4210127118,True,173,round4_semtie
429,Yuval Rinkevich,A5027977934,alias,I3018134672,True,62,round4_semtie
430,Nadia Mercader Huber,A5014798491,alias,I118564535,True,96,round4_semtie
442,Ana Dias Neto Domingos Jansen,A5085473640,fuzzy,,False,196,round4_maxpapers
445,Marc Claret Carles,A5029410280,fuzzy,,False,6,round4_maxpapers
455,Triantafyllos Chavakis,A5086672334,exact,,True,372,round4_semtie
466,Lars Zender,A5052075637,exact,I8087733,True,326,round4_semtie
472,Thomas Thum,A5020543934,alias,I34809795,True,605,round4_semtie
477,Massimo Santoro,A5048243012,alias,I138689650,True,366,round4_semtie
480,Eleanor Elizabeth Patton,A5046316908,fuzzy,,False,2,round4_maxpapers
484,Paolo Salomoni,A5051777812,alias,,True,148,round4_semtie
509,Sabine Krabbe,A5079856012,alias,,True,20,round4_semtie
522,Susanne Wegmann,A5008475864,exact,,True,88,round4_semtie
529,Ayal Ben-Zvi,A5066671374,exact,I197251160,True,43,round4_semtie
535,Hiroshi Ito,A5044544721,alias,,True,1826,round4_semtie
537,Miriam Melis,A5045189209,alias,I172446870,True,158,round4_semtie
539,Julien Bouvier,A5010173240,alias,I1294671590,True,49,round4_semtie
548,Tarja Malm,A5000776705,alias,I175532246,True,188,round4_semtie
549,Frederic Gambino,A5021903452,alias,I1294671590,True,32,round4_semtie
552,Gaia Novarino,A5049497512,alias,I157556583,True,60,round4_semtie
557,Claire Wyart,A5030843888,alias,I154526488,True,112,round4_semtie
559,Ilaria Testa,A5077962429,alias,I86987016,True,104,round4_semtie
565,Georg Keller,A5036840680,alias,I860889466,False,96,round4_maxpapers
570,Martin Fuhrmann,A5082020011,exact,,True,94,round4_semtie
572,Pascale Bomont,A5074532965,exact,I154526488,True,105,round4_semtie
574,Camilla Bellone,A5002276509,exact,I114457229,True,74,round4_semtie
594,Ragnhildur Thora Karadottir,A5044032139,exact,I241749,True,71,round4_semtie
597,Amir Amedi,A5034713252,alias,I138898306,True,168,round4_semtie
599,Susana Lima,A5063057508,fuzzy,I113358080,False,29,round4_maxpapers
605,Simon Hippenmeyer,A5080499335,alias,I157556583,True,107,round4_semtie
616,Nathalie Rouach,A5033299269,alias,,True,164,round4_semtie
618,Petra Ritter,A5059814273,alias,I7877124,True,8,round4_semtie
622,Nachum Ulanovsky,A5086304017,exact,I53964585,True,59,round4_semtie
627,Sebastian Kadener,A5038140921,exact,I197251160,True,88,round4_semtie
631,André Fischer,A5040773420,exact,,True,354,round4_semtie
632,Christoph Kayser,A5010335917,exact,,True,273,round4_semtie
635,Aldo Genovesio,A5005245127,exact,I861853513,True,93,round4_semtie
650,Richard Roland Benton,A5078310984,fuzzy,I97565354,True,184,round4_semtie
668,Christoph Schneider,A5033849275,exact,I202697423,True,241,round4_semtie
669,Daniela Latorre,A5075565802,exact,,True,34,round4_semtie
670,Noam Stern-Ginossar,A5082856046,alias,I53964585,True,107,round4_semtie
671,Matthieu Mahevas,A5031127153,alias,I197681013,True,141,round4_semtie
678,Leïla Perié,A5055849177,alias,,True,94,round4_semtie
680,Thomas Marichal,A5076651905,alias,I157674565,True,127,round4_semtie
683,Liliana Mancio Silva,A5028637796,exact,I154526488,True,46,round4_semtie
687,Neta Regev-Rudzki,A5087526855,exact,I53964585,True,69,round4_semtie
696,Moritz Treeck,A5003714113,exact,,True,85,round4_semtie
702,Ziv Shulman Ben-Avraham,A5034305916,fuzzy,,False,1,round4_maxpapers
705,Noam Stern-Ginossar,A5082856046,exact,I53964585,True,107,round4_semtie
708,Doron Merkler,A5074794983,exact,I114457229,True,219,round4_semtie
718,Wolfgang Kastenmüller,A5037220835,exact,,True,127,round4_semtie
722,Serge Mostowy,A5000285007,alias,I4210089966,True,199,round4_semtie
725,Jan-Willem Veening,A5021934828,alias,I97565354,True,182,round4_semtie
727,Dietmar Zehn,A5016497210,exact,I62916508,True,135,round4_semtie
738,Matthias Marti,A5004504354,alias,I7882870,True,154,round4_semtie
