rid,eu_name,authorid,match_type,host_id,source,n_papers
74,Cristobal Axel Innis,A5053935606,fuzzy,I154526488,rescue_host_unique,42
201,Evanthia Soutoglou,A5064332537,fuzzy,I162608824,rescue_host_unique,67
234,Patricio Aloy Calaf,A5015088787,fuzzy,I4210122345,rescue_maxpapers,213
336,Mari Johanna Ivaska,A5051981975,fuzzy,I155660961,rescue_maxpapers,229
447,"Laurent, Arnaud, Philippe Yvan-Charvet",A5042081614,fuzzy,I154526488,rescue_maxpapers,111
454,Esther Lutgens Leiner,A5069173292,fuzzy,I8204097,rescue_maxpapers,318
487,Gert Fredrik Bäckhed,A5047963662,fuzzy,I881427289,rescue_host_unique,315
541,Mariana Astiz Cadenas,A5043808093,fuzzy,I4210100306,rescue_host_unique,52
587,Amihai Citri,A5048298854,fuzzy,I197251160,rescue_host_unique,59
714,Ahmet Kaan Boztug,A5048616194,fuzzy,I4388891777,rescue_host_unique,229
770,Maria Carla Saleh Bottegoni,A5082764484,fuzzy,I157536573,rescue_maxpapers,83
854,"Nicolas, Clement Rivron",A5085037923,fuzzy,I125523173,rescue_maxpapers,57
882,Jan Teun Bousema,A5036396443,fuzzy,I2802934949,rescue_maxpapers,480
921,Joseph Petrus Gerardus Sluijter,A5005834517,fuzzy,I3018483916,rescue_host_unique,328
931,Jeroen Rouwkema Lieten,A5061443036,fuzzy,I94624287,rescue_host_unique,140
961,Renate Bonin-Geb.Schnabel,A5090270823,fuzzy,I4210108711,rescue_maxpapers,536
1076,Simone Immler Maklakov,A5054861051,fuzzy,I1118541,rescue_host_unique,104
1396,Harald Andres Helfgott Seier,A5027885087,fuzzy,I74656192,rescue_host_unique,106
1406,"Emmanuel, François, Jean Breuillard",A5024332688,fuzzy,I241749,rescue_host_unique,115
1484,Clare Juliet Biggs,A5083240181,fuzzy,I36234482,rescue_maxpapers,342
1511,"Florent, Billy Brenguier",A5011470586,fuzzy,I899635006,rescue_host_unique,232
1587,Andrew John Ridgwell,A5074849392,fuzzy,I36234482,rescue_semantic,485
1617,Amaia Cipitria Sagardia,A5072719653,fuzzy,I4210100188,rescue_host_unique,69
1743,Mikael Anton Vesterinen,A5062951688,fuzzy,I39555362,rescue_maxpapers,867
1765,Alexander Retzker Menes,A5053617356,fuzzy,I197251160,rescue_semantic,160
1839,Jens Peter Hommelhoff,A5026575046,fuzzy,I181369854,rescue_host_unique,515
1940,"Christophe, Marcel, Georges Galland",A5044090780,fuzzy,I5124864,rescue_host_unique,119
1962,"Francesco, Ascanio Mario Marcello Zamponi",A5022080437,fuzzy,I1294671590,rescue_host_unique,310
1968,Rembertus Abraham Duine,A5045225582,fuzzy,I193662353,rescue_maxpapers,268
1970,"Neven, Zitomir Barisic",A5064040199,fuzzy,I145847075,rescue_host_unique,182
1989,Mark Robertus Buitelaar,A5078461700,fuzzy,I45129253,rescue_host_unique,35
2096,Gemma Clare Solomon Larsen,A5018410685,fuzzy,I124055696,rescue_host_unique,169
2117,"Danielle, Anna Laurencin",A5054438179,fuzzy,I1294671590,rescue_host_unique,222
2209,Katalin Barta Weissert,A5004765483,fuzzy,I15766117,rescue_host_unique,120
2219,Bernhard Christian Bayer-Skoff,A5061851293,fuzzy,I145847075,rescue_semantic,105
2332,Edit Yehudit Tshuva Goldberg,A5066437006,fuzzy,I197251160,rescue_host_unique,228
2373,Eve Hoggan Christensen,A5002561749,fuzzy,I204337017,rescue_semantic,65
2426,Christopher John Wojtan,A5008127734,fuzzy,I157556583,rescue_host_unique,72
2458,Samuel Staton,A5068183682,fuzzy,I40120149,rescue_host_unique,105
2501,"David, Francois Pichardie",A5046752375,fuzzy,I4210146044,rescue_host_unique,111
2511,"Gabriel, Louis, Jean Peyré",A5058651667,fuzzy,I1294671590,rescue_semantic,371
2514,"Francis, René, Julien Bach",A5001483226,fuzzy,I1326498283,rescue_maxpapers,367
2533,Ewa Asa Carolina Wahlby,A5028372092,fuzzy,I123387679,rescue_host_unique,229
2538,Albert Atserias Peri,A5003671114,fuzzy,I9617848,rescue_maxpapers,151
2642,Nikolay Akopian,A5088128757,fuzzy,I96673099,rescue_host_unique,85
2687,Christian Gunter Koos,A5026468546,fuzzy,I102335020,rescue_host_unique,579
2693,"Fabrice, Denis Raineri",A5012507338,fuzzy,I1294671590,rescue_semantic,260
2932,"Sylvie, Jeanine Lejeune Ép Lorthois",A5075453232,fuzzy,I1294671590,rescue_maxpapers,77
2934,"Philippe, Guy, Marie Marmottant",A5023549418,fuzzy,I1294671590,rescue_semantic,153
2942,Johannes Tiemen Padding,A5057833615,fuzzy,I98358874,rescue_host_unique,269
