rid,eu_name,authorid,oa_display_name,match_type,source,n_papers,orcid,openalex_url,host_raw
74,Cristobal Axel Innis,A5053935606,C. Axel Innis,fuzzy,rescue_host_unique,42,https://orcid.org/0000-0003-3153-9490,https://openalex.org/A5053935606,"National Institute of Health and Medical Research (INSERM) [999997833,FR]"
201,Evanthia Soutoglou,A5064332537,Evi Soutoglou,fuzzy,rescue_host_unique,67,https://orcid.org/0000-0002-3724-5613,https://openalex.org/A5064332537,"University of Sussex [999852721,UK]"
234,Patricio Aloy Calaf,A5015088787,Patrick Aloy,fuzzy,rescue_maxpapers,213,https://orcid.org/0000-0002-3557-0236,https://openalex.org/A5015088787,"Institute for Research in Biomedicine Barcelona [999541836,ES]"
336,Mari Johanna Ivaska,A5051981975,Johanna Ivaska,fuzzy,rescue_maxpapers,229,https://orcid.org/0000-0002-6295-6556,https://openalex.org/A5051981975,"University of Turku [999903064,FI]"
447,"Laurent, Arnaud, Philippe Yvan-Charvet",A5042081614,Laurent Yvan‐Charvet,fuzzy,rescue_maxpapers,111,https://orcid.org/0000-0002-7748-4942,https://openalex.org/A5042081614,"National Institute of Health and Medical Research (INSERM) [999997833,FR]"
454,Esther Lutgens Leiner,A5069173292,Esther Lutgens,fuzzy,rescue_maxpapers,318,https://orcid.org/0000-0002-2609-5744,https://openalex.org/A5069173292,"University of Munich (LMU) [999978433,DE]"
487,Gert Fredrik Bäckhed,A5047963662,Fredrik Bäckhed,fuzzy,rescue_host_unique,315,https://orcid.org/0000-0002-4871-8818,https://openalex.org/A5047963662,"University of Gothenburg [999981925,SE]"
541,Mariana Astiz Cadenas,A5043808093,Mariana Astiz,fuzzy,rescue_host_unique,52,https://orcid.org/0000-0001-9912-1686,https://openalex.org/A5043808093,"Achucarro Basque Center for Neuroscience [952920144,ES]"
587,Amihai Citri,A5048298854,Ami Citri,fuzzy,rescue_host_unique,59,https://orcid.org/0000-0002-9914-0278,https://openalex.org/A5048298854,"Hebrew University of Jerusalem [999975038,IL]"
714,Ahmet Kaan Boztug,A5048616194,Kaan Boztuğ,fuzzy,rescue_host_unique,229,https://orcid.org/0000-0001-8387-9185,https://openalex.org/A5048616194,"Children's Cancer Research Institute [891384896,AT]"
770,Maria Carla Saleh Bottegoni,A5082764484,Maria‐Carla Saleh,fuzzy,rescue_maxpapers,83,https://orcid.org/0000-0001-8593-4117,https://openalex.org/A5082764484,"Pasteur Institute [999993080,FR]"
854,"Nicolas, Clement Rivron",A5085037923,Nicolas Rivron,fuzzy,rescue_maxpapers,57,https://orcid.org/0000-0003-1590-5964,https://openalex.org/A5085037923,"Institute of Molecular Biotechnology (IMBA) [999919263,AT]"
882,Jan Teun Bousema,A5036396443,Teun Bousema,fuzzy,rescue_maxpapers,480,https://orcid.org/0000-0003-2666-094X,https://openalex.org/A5036396443,"Radboud University Medical Center [892057785,NL]"
921,Joseph Petrus Gerardus Sluijter,A5005834517,Joost P. G. Sluijter,fuzzy,rescue_host_unique,328,https://orcid.org/0000-0003-2088-9102,https://openalex.org/A5005834517,"University Medical Center Utrecht [999915189,NL]"
931,Jeroen Rouwkema Lieten,A5061443036,Jeroen Rouwkema,fuzzy,rescue_host_unique,140,https://orcid.org/0000-0001-9666-9064,https://openalex.org/A5061443036,"University of Twente [999900833,NL]"
961,Renate Bonin-Geb.Schnabel,A5090270823,Renate B. Schnabel,fuzzy,rescue_maxpapers,536,https://orcid.org/0000-0001-7170-9509,https://openalex.org/A5090270823,"University Medical Center Hamburg-Eppendorf [999857474,DE]"
1076,Simone Immler Maklakov,A5054861051,Simone Immler,fuzzy,rescue_host_unique,104,https://orcid.org/0000-0003-1234-935X,https://openalex.org/A5054861051,"University of East Anglia [999985611,UK]"
1396,Harald Andres Helfgott Seier,A5027885087,H. A. Helfgott,fuzzy,rescue_host_unique,106,https://orcid.org/0000-0002-5686-804X,https://openalex.org/A5027885087,"University of Goettingen [999845640,DE]"
1406,"Emmanuel, François, Jean Breuillard",A5024332688,Emmanuel Breuillard,fuzzy,rescue_host_unique,115,,https://openalex.org/A5024332688,"University of Cambridge [999977172,UK]"
1484,Clare Juliet Biggs,A5083240181,Juliet Biggs,fuzzy,rescue_maxpapers,342,https://orcid.org/0000-0002-4855-039X,https://openalex.org/A5083240181,"University of Bristol [999974262,UK]"
1511,"Florent, Billy Brenguier",A5011470586,Florent Brenguier,fuzzy,rescue_host_unique,232,https://orcid.org/0000-0001-8684-7613,https://openalex.org/A5011470586,"University Grenoble Alpes [897379108,FR]"
1587,Andrew John Ridgwell,A5074849392,Andy Ridgwell,fuzzy,rescue_semantic,485,https://orcid.org/0000-0003-2333-0128,https://openalex.org/A5074849392,"University of Bristol [999974262,UK]"
1617,Amaia Cipitria Sagardia,A5072719653,Amaia Cipitria,fuzzy,rescue_host_unique,69,https://orcid.org/0000-0002-9918-1512,https://openalex.org/A5072719653,"Biogipuzkoa Health Research Institute [972652078,ES]"
1743,Mikael Anton Vesterinen,A5062951688,M. Vesterinen,fuzzy,rescue_maxpapers,867,https://orcid.org/0000-0001-7717-2765,https://openalex.org/A5062951688,"University of Warwick [999976784,UK]"
1765,Alexander Retzker Menes,A5053617356,Alex Retzker,fuzzy,rescue_semantic,160,https://orcid.org/0000-0002-7291-7120,https://openalex.org/A5053617356,"Hebrew University of Jerusalem [999975038,IL]"
1839,Jens Peter Hommelhoff,A5026575046,Peter Hommelhoff,fuzzy,rescue_host_unique,515,https://orcid.org/0000-0003-4757-5410,https://openalex.org/A5026575046,"University of Erlangen-Nuremberg [999995408,DE]"
1940,"Christophe, Marcel, Georges Galland",A5044090780,Christophe Galland,fuzzy,rescue_host_unique,119,https://orcid.org/0000-0001-5627-0796,https://openalex.org/A5044090780,"Swiss Federal Institute of Technology Lausanne (EPFL) [999973971,CH]"
1962,"Francesco, Ascanio Mario Marcello Zamponi",A5022080437,Francesco Zamponi,fuzzy,rescue_host_unique,310,https://orcid.org/0000-0001-9260-1951,https://openalex.org/A5022080437,"National Centre for Scientific Research (CNRS) [999997930,FR]"
1968,Rembertus Abraham Duine,A5045225582,R. A. Duine,fuzzy,rescue_maxpapers,268,https://orcid.org/0000-0001-6663-5111,https://openalex.org/A5045225582,"Utrecht University [999985805,NL]"
1970,"Neven, Zitomir Barisic",A5064040199,N. Barišić,fuzzy,rescue_host_unique,182,https://orcid.org/0000-0003-4637-0544,https://openalex.org/A5064040199,"Vienna University of Technology [999979888,AT]"
1989,Mark Robertus Buitelaar,A5078461700,M. R. Buitelaar,fuzzy,rescue_host_unique,35,https://orcid.org/0000-0002-2119-8891,https://openalex.org/A5078461700,"University College London [999975620,UK]"
2096,Gemma Clare Solomon Larsen,A5018410685,Gemma C. Solomon,fuzzy,rescue_host_unique,169,https://orcid.org/0000-0002-2018-1529,https://openalex.org/A5018410685,"University of Copenhagen [999991043,DK]"
2117,"Danielle, Anna Laurencin",A5054438179,Danielle Laurencin,fuzzy,rescue_host_unique,222,https://orcid.org/0000-0002-7445-0528,https://openalex.org/A5054438179,"National Centre for Scientific Research (CNRS) [999997930,FR]"
2209,Katalin Barta Weissert,A5004765483,Katalin Barta,fuzzy,rescue_host_unique,120,https://orcid.org/0000-0002-8046-4248,https://openalex.org/A5004765483,"University of Graz [999873188,AT]"
2219,Bernhard Christian Bayer-Skoff,A5061851293,Bernhard C. Bayer,fuzzy,rescue_semantic,105,https://orcid.org/0000-0002-4829-3207,https://openalex.org/A5061851293,"Vienna University of Technology [999979888,AT]"
2332,Edit Yehudit Tshuva Goldberg,A5066437006,Edit Y. Tshuva,fuzzy,rescue_host_unique,228,https://orcid.org/0000-0001-7452-3611,https://openalex.org/A5066437006,"Hebrew University of Jerusalem [999975038,IL]"
2373,Eve Hoggan Christensen,A5002561749,Eve Hoggan,fuzzy,rescue_semantic,65,https://orcid.org/0000-0002-2563-4320,https://openalex.org/A5002561749,"Aarhus University [999997736,DK]"
2426,Christopher John Wojtan,A5008127734,Chris Wojtan,fuzzy,rescue_host_unique,72,https://orcid.org/0000-0001-6646-5546,https://openalex.org/A5008127734,"Institute of Science and Technology Austria [996479740,AT]"
2458,Samuel Staton,A5068183682,Sam Staton,fuzzy,rescue_host_unique,105,,https://openalex.org/A5068183682,"University of Oxford [999984350,UK]"
2501,"David, Francois Pichardie",A5046752375,David Pichardie,fuzzy,rescue_host_unique,111,https://orcid.org/0000-0002-2504-1760,https://openalex.org/A5046752375,"Normal Superior School of Rennes [944762056,FR]"
2511,"Gabriel, Louis, Jean Peyré",A5058651667,Gabriel Peyré,fuzzy,rescue_semantic,371,https://orcid.org/0000-0002-4477-0387,https://openalex.org/A5058651667,"National Centre for Scientific Research (CNRS) [999997930,FR]"
2514,"Francis, René, Julien Bach",A5001483226,Francis Bach,fuzzy,rescue_maxpapers,367,https://orcid.org/0000-0001-8644-1058,https://openalex.org/A5001483226,"National Institute for Research in Computer Science and Automatic Control (INRIA) [999547074,FR]"
2533,Ewa Asa Carolina Wahlby,A5028372092,Carolina Wählby,fuzzy,rescue_host_unique,229,https://orcid.org/0000-0002-4139-7003,https://openalex.org/A5028372092,"Uppsala University [999985029,SE]"
2538,Albert Atserias Peri,A5003671114,Albert Atserias,fuzzy,rescue_maxpapers,151,https://orcid.org/0000-0002-3732-1989,https://openalex.org/A5003671114,"Technical University of Catalonia [999976202,ES]"
2642,Nikolay Akopian,A5088128757,N. Akopian,fuzzy,rescue_host_unique,85,https://orcid.org/0000-0002-0588-7646,https://openalex.org/A5088128757,"Technical University of Denmark [999990655,DK]"
2687,Christian Gunter Koos,A5026468546,C. Koos,fuzzy,rescue_host_unique,579,https://orcid.org/0000-0003-2690-0691,https://openalex.org/A5026468546,"Karlsruhe Institute of Technology [990797674,DE]"
2693,"Fabrice, Denis Raineri",A5012507338,Fabrice Raineri,fuzzy,rescue_semantic,260,https://orcid.org/0000-0001-9878-3434,https://openalex.org/A5012507338,"National Centre for Scientific Research (CNRS) [999997930,FR]"
2932,"Sylvie, Jeanine Lejeune Ép Lorthois",A5075453232,Sylvie Lorthois,fuzzy,rescue_maxpapers,77,https://orcid.org/0000-0002-0711-3695,https://openalex.org/A5075453232,"National Centre for Scientific Research (CNRS) [999997930,FR]"
