rid,eu_name,authorid,oa_display_name,match_type,source,n_papers,host_raw,openalex_url,orcid,yes_or_no
4197,"Sylvie, Jeanine Lejeune Ép Lorthois",A5075453232,Sylvie Lorthois,fuzzy,rescue_duplicate,77,"National Centre for Scientific Research (CNRS) [999997930,FR]",https://openalex.org/A5075453232,https://orcid.org/0000-0002-0711-3695,
4200,"Philippe, Guy, Marie Marmottant",A5023549418,Philippe Marmottant,fuzzy,rescue_duplicate,153,"National Centre for Scientific Research (CNRS) [999997930,FR]",https://openalex.org/A5023549418,https://orcid.org/0000-0001-6828-6656,
74,Cristobal Axel Innis,A5053935606,C. Axel Innis,fuzzy,rescue_host_unique,42,"National Institute of Health and Medical Research (INSERM) [999997833,FR]",https://openalex.org/A5053935606,https://orcid.org/0000-0003-3153-9490,
487,Gert Fredrik Bäckhed,A5047963662,Fredrik Bäckhed,fuzzy,rescue_host_unique,315,"University of Gothenburg [999981925,SE]",https://openalex.org/A5047963662,https://orcid.org/0000-0002-4871-8818,
587,Amihai Citri,A5048298854,Ami Citri,fuzzy,rescue_host_unique,59,"Hebrew University of Jerusalem [999975038,IL]",https://openalex.org/A5048298854,https://orcid.org/0000-0002-9914-0278,
921,Joseph Petrus Gerardus Sluijter,A5005834517,Joost P. G. Sluijter,fuzzy,rescue_host_unique,328,"University Medical Center Utrecht [999915189,NL]",https://openalex.org/A5005834517,https://orcid.org/0000-0003-2088-9102,
1076,Simone Immler Maklakov,A5054861051,Simone Immler,fuzzy,rescue_host_unique,104,"University of East Anglia [999985611,UK]",https://openalex.org/A5054861051,https://orcid.org/0000-0003-1234-935X,
1406,"Emmanuel, François, Jean Breuillard",A5024332688,Emmanuel Breuillard,fuzzy,rescue_host_unique,115,"University of Cambridge [999977172,UK]",https://openalex.org/A5024332688,,
1617,Amaia Cipitria Sagardia,A5072719653,Amaia Cipitria,fuzzy,rescue_host_unique,69,"Biogipuzkoa Health Research Institute [972652078,ES]",https://openalex.org/A5072719653,https://orcid.org/0000-0002-9918-1512,
1940,"Christophe, Marcel, Georges Galland",A5044090780,Christophe Galland,fuzzy,rescue_host_unique,119,"Swiss Federal Institute of Technology Lausanne (EPFL) [999973971,CH]",https://openalex.org/A5044090780,https://orcid.org/0000-0001-5627-0796,
1970,"Neven, Zitomir Barisic",A5064040199,N. Barišić,fuzzy,rescue_host_unique,182,"Vienna University of Technology [999979888,AT]",https://openalex.org/A5064040199,https://orcid.org/0000-0003-4637-0544,
2096,Gemma Clare Solomon Larsen,A5018410685,Gemma C. Solomon,fuzzy,rescue_host_unique,169,"University of Copenhagen [999991043,DK]",https://openalex.org/A5018410685,https://orcid.org/0000-0002-2018-1529,
2209,Katalin Barta Weissert,A5004765483,Katalin Barta,fuzzy,rescue_host_unique,120,"University of Graz [999873188,AT]",https://openalex.org/A5004765483,https://orcid.org/0000-0002-8046-4248,
2426,Christopher John Wojtan,A5008127734,Chris Wojtan,fuzzy,rescue_host_unique,72,"Institute of Science and Technology Austria [996479740,AT]",https://openalex.org/A5008127734,https://orcid.org/0000-0001-6646-5546,
2501,"David, Francois Pichardie",A5046752375,David Pichardie,fuzzy,rescue_host_unique,111,"Normal Superior School of Rennes [944762056,FR]",https://openalex.org/A5046752375,https://orcid.org/0000-0002-2504-1760,
2642,Nikolay Akopian,A5088128757,N. Akopian,fuzzy,rescue_host_unique,85,"Technical University of Denmark [999990655,DK]",https://openalex.org/A5088128757,https://orcid.org/0000-0002-0588-7646,
2942,Johannes Tiemen Padding,A5057833615,Johan T. Padding,fuzzy,rescue_host_unique,269,"Delft University of Technology [999977366,NL]",https://openalex.org/A5057833615,https://orcid.org/0000-0003-4161-0748,
3079,Ine Marie J Ineke De Moortel,A5085867085,I. De Moortel,fuzzy,rescue_host_unique,168,"University of St. Andrews [999984253,UK]",https://openalex.org/A5085867085,https://orcid.org/0000-0002-1452-9330,
