rid,eu_name,authorid,match_type,host_id,source,n_papers,host,yes_or_no
15,Christian Münch,A5012478165,exact,,round4_semtie,145,"* University of Frankfurt [999978724,DE]",yes
59,Chirlmin Joo,A5088856493,exact,I98358874,round4_semtie,142,Delft University of Technology,yes
78,David Komander,A5086480636,exact,,round4_semtie,158,"* United Kingdom Research and Innovation [906446474,UK]",yes
195,Ido Amit,A5048280875,alias,I53964585,round4_semtie,378,Weizmann Institute of Science,yes
219,Ron Milo,A5024451873,alias,I53964585,round4_semtie,189,Weizmann Institute of Science,yes
229,Jonathan Lawrence Marchini,A5051043751,fuzzy,I40120149,round4_semtie,216,University of Oxford, yes
242,Edouard Hannezo,A5027982101,exact,I157556583,round4_semtie,114,Institute of Science and Technology Austria,yes
294,Ari Pekka Mähönen,A5076653362,exact,I133731052,round4_semtie,77,University of Helsinki,yes
313,Simon Alberti,A5008277442,alias,,round4_semtie,159,"* Technical University of Dresden [999897729,DE]",yes
373,Pedro Sousa-Victor,A5075912749,exact,,round4_semtie,35,"* Gulbenkian Institute for Molecular Medicine (GIMM) [877027732,PT]",yes
405,Jorge Alegre-Cebollada,A5005585216,exact,I2809107791,round4_semtie,99,Spanish National Centre for Cardiovascular Research,yes
409,Manuel Valiente,A5070418898,exact,I4210089594,round4_semtie,258,Spanish National Cancer Research Centre,yes
429,Yuval Rinkevich,A5027977934,alias,I3018134672,round4_semtie,62,Helmholtz Zentrum München,yes
535,Hiroshi Ito,A5044544721,alias,,round4_semtie,1826,"* Max Planck Society [999990267,DE]",
557,Claire Wyart,A5030843888,alias,I154526488,round4_semtie,112,Inserm,yes
559,Ilaria Testa,A5077962429,alias,I86987016,round4_semtie,104,KTH Royal Institute of Technology,yes
565,Georg Keller,A5036840680,alias,I860889466,round4_maxpapers,96,Friedrich Miescher Institute, yes
594,Ragnhildur Thora Karadottir,A5044032139,exact,I241749,round4_semtie,71,University of Cambridge,yes
622,Nachum Ulanovsky,A5086304017,exact,I53964585,round4_semtie,59,Weizmann Institute of Science,yes
635,Aldo Genovesio,A5005245127,exact,I861853513,round4_semtie,93,Sapienza University of Rome,yes
705,Noam Stern-Ginossar,A5082856046,exact,I53964585,round4_semtie,107,Weizmann Institute of Science,yes
765,Ron Dzikowski,A5023420108,exact,I197251160,round4_semtie,62,Hebrew University of Jerusalem,yes
768,Federico Mingozzi,A5049298836,exact,I4210127167,round4_semtie,195,Genethon (France),yes
819,Wolfgang Bogner,A5023652216,exact,,round4_semtie,305,"* University of Medicine Vienna [999989976,AT]",yes
903,Jan Herman Veldink,A5069816083,alias,I3018483916,round4_maxpapers,488,University Medical Center Utrecht, yes
904,Matthias Meier,A5053507788,alias,I3018134672,round4_semtie,182,Helmholtz Zentrum München,yes
917,Andrea Bertotti,A5031287599,exact,I55143463,round4_semtie,403,University of Turin,yes
949,Lorraine Brennan,A5003874766,exact,I100930933,round4_semtie,419,University College Dublin,yes
954,Raphaël Rodriguez,A5004676065,alias,I80043,round4_semtie,208,Institut Curie,yes
983,Ronit Satchi-Fainaro,A5061202040,alias,I16391192,round4_semtie,249,Tel Aviv University,yes
1000,Anton Potapov,A5014102183,exact,,round4_semtie,113,"* Senckenberg Society for Nature Research [997836285,DE]",yes
1059,Tal Dagan,A5004587704,exact,,round4_semtie,149,"* University of Kiel [999839529,DE]",yes
1064,Yossi Yovel,A5016325693,alias,I16391192,round4_semtie,210,Tel Aviv University,yes
1079,Rita Covas,A5008198078,alias,,round4_semtie,83,"* BIOPOLIS (Portugal) [892844164,PT]",yes
1252,Thomas Reinier Maxim Barends,A5041806853,fuzzy,I149899117,round4_maxpapers,81,Max Planck Society, yes
1313,Benjamin Gess,A5091000281,exact,I4577782,round4_semtie,147,Technische Universität Berlin,yes
1320,Hendrik Weber,A5001883810,alias,I22465464,round4_semtie,86,University of Münster,yes
1378,Alessandro Giuliani,A5013428460,exact,I861853513,round4_semtie,626,Sapienza University of Rome,yes
1465,Jan-Hendrik Hehemann,A5062026003,alias,I180437899,round4_semtie,102,University of Bremen,yes
1485,Frederic Moynier,A5036994564,alias,I148261361,round4_semtie,523,Institut de physique du globe de Paris,yes
1505,Angela Gallego-Sala,A5011579501,alias,I23923803,round4_semtie,129,University of Exeter,yes
1507,Stijn De Schepper,A5002139453,exact,I4210107808,round4_semtie,150,NORCE Research AS,yes
1523,Carlos Perez Garcia-Pando,A5040545550,alias,I2799803557,round4_semtie,462,Barcelona Supercomputing Center,yes
1538,Christoph Karl Thomas,A5074981980,alias,I54009628,round4_maxpapers,344,University of Bayreuth, yes
1586,Giulio Di Toro,A5058567673,exact,I138689650,round4_semtie,477,University of Padua,yes
1591,Yu Ogawa,A5062856177,exact,,round4_semtie,138,"* Max Planck Society [999990267,DE]",yes
1717,Lorenzo Bianchini,A5013310906,alias,I108290504,round4_semtie,567,University of Pisa,yes
1750,Elisabetta Baracchini,A5114378273,alias,I4210150763,round4_semtie,388,Gran Sasso Science Institute,yes
1757,Reinhild Fatima Yvonne Peters,A5107448738,fuzzy,I28407311,round4_semtie,31,University of Manchester, repeated
1807,Alessandro Bacchetta,A5025191314,exact,I25217355,round4_semtie,205,University of Pavia,yes
1831,Jens Limpert,A5003592165,alias,,round4_semtie,1053,"* University of Jena [999868726,DE]",yes
1903,Pablo Alonso Gonzalez,A5078591848,exact,I165339363,round4_semtie,119,Universidad de Oviedo,yes
1972,Ralf Seidel,A5074416216,alias,,round4_semtie,160,"* University of Leipzig [999854564,DE]",yes
2009,Francesco Giazotto,A5059450888,alias,,round4_semtie,307,"* National Research Council (CNR) - Italy [999979500,IT]",yes
2039,Sergii Pud,A5065581707,alias,,round4_semtie,41,"* University of Twente [999900833,NL]",yes
2106,Laura Fumagalli,A5067243546,alias,I28407311,round4_semtie,164,University of Manchester,yes
2236,Philipp Heretsch,A5045730028,exact,,round4_semtie,92,"* University of Hannover [999981828,DE]",yes
2246,Kasper Moth-Poulsen,A5012584282,alias,I9617848,round4_semtie,248,Universitat Politècnica de Catalunya,yes
2396,Gerhard Neumann,A5088394978,alias,I102335020,round4_semtie,209,Karlsruhe Institute of Technology,
2466,Stefan Roth,A5056098625,exact,I31512782,round4_semtie,281,Technische Universität Darmstadt,yes
2479,Rainer Andreas Krause,A5109325233,fuzzy,,round4_maxpapers,92,"* Swiss Federal Institute of Technology Zurich (ETH Zurich) [999979015,CH]", no
2506,Lior Wolf,A5078102229,alias,I16391192,round4_semtie,619,Tel Aviv University,yes
2520,Manuel Bodirsky,A5058729018,exact,,round4_semtie,296,"* Technical University of Dresden [999897729,DE]",yes
2529,Derek Dreyer,A5050585539,alias,I149899117,round4_semtie,133,Max Planck Society,yes
2545,Leonardo Mariani,A5036120394,alias,I189158943,round4_semtie,276,University of Milan,yes
2558,Vladimir Kolmogorov,A5021390142,exact,I157556583,round4_semtie,129,Institute of Science and Technology Austria,yes
2570,Anastasia Ailamaki,A5070907021,alias,I5124864,round4_semtie,276,École Polytechnique Fédérale de Lausanne,yes
2592,Birgit Stiller,A5065896036,alias,,round4_semtie,173,"* University of Hannover [999981828,DE]",yes
2766,Nils Goseberg,A5004995298,exact,I94509681,round4_semtie,180,Technische Universität Braunschweig,yes
2768,Michele Conti,A5069653622,alias,I25217355,round4_semtie,223,University of Pavia,yes
2856,Marco Deluca,A5026281346,alias,I4210135925,round4_semtie,124,Materials Center Leoben (Austria),yes
2919,Mariano Campoy Quiles,A5029700996,alias,,round4_semtie,206,"* Spanish National Research Council (CSIC) [999991722,ES]",yes
3042,Kevin Heng,A5019327228,exact,I118564535,round4_semtie,365,University of Bern,yes
3050,Pierre Beck,A5082819947,alias,I899635006,round4_semtie,420,Université Grenoble Alpes,yes
3138,Tobias Berg,A5110237508,alias,,round4_semtie,225,"* University of Frankfurt [999978724,DE]",
3213,Barbara Rossi,A5101804566,alias,I170486558,round4_semtie,197,Universitat Pompeu Fabra,yes
3268,Aoife Daly,A5086530124,exact,,round4_semtie,62,"* National University of Ireland - University College Cork [999975717,IE]",yes
3278,Maria Malksoo,A5029193606,exact,I124055696,round4_semtie,94,University of Copenhagen,yes
3346,Staffan I. Lindberg,A5082109923,alias,I881427289,round4_semtie,515,University of Gothenburg,yes
3486,Sonja Zmerli,A5046470069,alias,I899635006,round4_semtie,114,Université Grenoble Alpes,yes
3534,Inga Dora Sigfusdottir,A5067846824,exact,I123185442,round4_semtie,136,Reykjavík University,yes
3538,Anna Ray Davies,A5017955133,alias,I205274468,round4_maxpapers,179,Trinity College Dublin, yes
3547,Lars Meyer,A5068448582,alias,I149899117,round4_semtie,194,Max Planck Society,yes
3584,Sigal Zilcha-Mano,A5087376272,alias,I91203450,round4_semtie,209,University of Haifa,yes
3609,Gesa Hartwigsen,A5021157610,exact,,round4_semtie,338,"* University of Leipzig [999854564,DE]",yes
3755,Silke Felber,A5075534535,exact,,round4_maxpapers,71,"* University of Arts Linz [998777282,AT]", yes
3776,Nicola Carpentieri,A5074924669,alias,I138689650,round4_semtie,93,University of Padua,yes
3868,Christian Robert Lange,A5101436003,fuzzy,I193662353,round4_maxpapers,138,Utrecht University, no
3887,Sandra Ponzanesi,A5063365715,alias,I193662353,round4_semtie,117,Utrecht University,yes
3924,Zachary Chitwood,A5055449732,exact,,round4_semtie,41,"* University of Munich (LMU) [999978433,DE]", yes
3954,Ere Nokkala,A5019109542,exact,,round4_semtie,31,"* University of Jyvaskyla [999842245,FI]",yes
3955,Stefanie Gänger,A5074677620,exact,,round4_semtie,64,"* University of Heidelberg [999987648,DE]",yes
3965,Martin Biersack,A5089542934,exact,,round4_semtie,53,"* University of Granada [999882015,ES]",yes
3992,Anastasia Tatiana Theodoropoulou,A5043727279,fuzzy,,round4_maxpapers,42,"* National Centre for Scientific Research (CNRS) [999997930,FR]", yes
4034,Leyla Dakhli,A5026388312,alias,I1294671590,round4_semtie,135,Centre National de la Recherche Scientifique,yes
4060,Corinna Rossi,A5072210157,exact,I93860229,round4_semtie,97,Politecnico di Milano,yes
4144,Iselin Åsedotter Strønen,A5019303974,alias,I4432739,round4_semtie,35,University of Bergen,yes
4145,Deborah Nadal,A5050316572,alias,,round4_semtie,30,"* University of Padua [999995602,IT]", no
4207,Charles Agyemang,A5067202010,alias,I2802928900,round4_maxpapers,471,Amsterdam UMC Location University of Amsterdam,yes
4214,Jonathan Lawrence Marchini,A5051043751,fuzzy,I40120149,round4_semtie,216,University of Oxford, yes
