Programme,Acronym,Project Title,Abstract,Researcher(s),Host Institution(s),Country,Region,Project Number,Call,Grant Type,Domain,Panel,Call Year,Start Date,End Date,EU contribution,CORDIS Link
Horizon 2020,NascenTomiX,Ribosome inhibition by nascent or antimicrobial peptides,"During the translation of genetic information into protein by the ribosome, nascent peptides occasionally inhibit their own synthesis by interacting with the exit tunnel of the large ribosomal subunit. Known as nascent chain-mediated translational arrest, this process depends primarily upon the amino acid sequence of the arrest peptide. However, it can also rely upon the sensing of a low molecular weight ligand by the ribosome nascent chain complex, explaining its use for metabolite-dependent gene regulation in both bacteria and eukaryotes. Biochemical and structural studies of arrest peptides have yielded key insights into their mode of action, but their ability to sense different types of small molecules, their impact as regulators of gene expression in nature and the precise molecular details behind the arrest process are still largely unexplored.
The groundbreaking aim of this ERC Consolidator research program is to decipher the arrest code governing nascent chain-mediated translational arrest in bacteria. My approach will be based on a technique recently developed in my group, referred to here as inverse toeprinting, which precisely maps the position of an arrested ribosome nascent chain complex on the mRNA while retaining the entire peptide-coding region up to the point of stalling.

The overall aim will be achieved through four complementary objectives: (i) to assess the extent to which arrest peptides can act as small molecule sensors; (ii) to identify naturally occurring arrest peptides in bacteria; (iii) to develop trans-inhibitory peptides that target the ribosome; and (iv) to perform the structural characterization of new ribosome inhibitory peptides.

By addressing the natural diversity and molecular bases of the arrest process, this project will be the key to understanding a unique form of gene regulation and a fundamental aspect of ribosome function. It will also provide a handle for designing next-generation antibiotics.

",Cristobal Axel Innis,"National Institute of Health and Medical Research (INSERM) [999997833,FR]",France,Ile-de-France (FR1),724040,ERC-2016-COG,Consolidator Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2016,2017-06-01 00:00:00,2023-05-31 00:00:00,1999125,https://cordis.europa.eu/project/id/724040
Horizon 2020,CRISPRsition,Developing CRISPR adaptation platforms for basic and applied research,"The CRISPR-Cas system has been extensively studied for its ability to cleave DNA. In contrast, studies of the ability of the system to acquire and integrate new DNA from invaders as a form of prokaryotic adaptive immunity, have lagged behind. This delay reflects the extreme enthusiasm surrounding the potential of using the system’s cleavage capabilities as a genome editing tool. However, the enormous potential of the adaptation process can and should arouse a similar degree of enthusiasm. My lab has pioneered studies on the CRISPR adaptation process by establishing new methodologies, and applying them to demonstrate the essential role of the proteins and DNA elements, as well as the molecular mechanisms, operating in this process. In this project, I will establish novel platforms for studying adaptation and develop them into biotechnological applications and research tools. These tools will allow me to identify the first natural and synthetic inhibitors of the adaptation process. This, in turn, will provide genetic tools to control adaptation, as well as advance the understanding of the arms race between bacteria and their invaders. I will also harness the adaptation process as a platform for diversifying genetic elements for phage display, and for extending phage recognition of a wide range of hosts. Lastly, I will provide the first evidence for an association between the CRISPR adaptation system and gene repression. This linkage will form the basis of a molecular scanner and recorder platform that I will develop and that can be used to identify crucial genetic elements in phage genomes as well as novel regulatory circuits in the bacterial genome. Together, my findings will represent a considerable leap in the understanding of CRISPR adaptation with respect to the process, potential applications, and the intriguing evolutionary significance.",Ehud Itzhak Qimron,"Tel Aviv University [999901609,IL]",Israel,-,818878,ERC-2018-COG,Consolidator Grants,Life Sciences (LS),LS2 - Integrative Biology: From Genes & Genomes to Systems,2018,2019-12-01 00:00:00,2026-11-30 00:00:00,2000000,https://cordis.europa.eu/project/id/818878
Horizon 2020,3D-REPAIR,Spatial organization of DNA repair within the nucleus,"Faithful repair of double stranded DNA breaks (DSBs) is essential, as they are at the origin of genome instability, chromosomal translocations and cancer. Cells repair DSBs through different pathways, which can be faithful or mutagenic, and the balance between them at a given locus must be tightly regulated to preserve genome integrity. Although, much is known about DSB repair factors, how the choice between pathways is controlled within the nuclear environment is not understood. We have shown that nuclear architecture and non-random genome organization determine the frequency of chromosomal translocations and that pathway choice is dictated by the spatial organization of DNA in the nucleus. Nevertheless, what determines which pathway is activated in response to DSBs at specific genomic locations is not understood. Furthermore, the impact of 3D-genome folding on the kinetics and efficiency of DSB repair is completely unknown.
Here we aim to understand how nuclear compartmentalization, chromatin structure and genome organization impact on the efficiency of detection, signaling and repair of DSBs. We will unravel what determines the DNA repair specificity within distinct nuclear compartments using protein tethering, promiscuous biotinylation and quantitative proteomics. We will determine how DNA repair is orchestrated at different heterochromatin structures using a CRISPR/Cas9-based system that allows, for the first time robust induction of DSBs at specific heterochromatin compartments. Finally, we will investigate the role of 3D-genome folding in the kinetics of DNA repair and pathway choice using single nucleotide resolution DSB-mapping coupled to 3D-topological maps.
This proposal has significant implications for understanding the mechanisms controlling DNA repair within the nuclear environment and will reveal the regions of the genome that are susceptible to genomic instability and help us understand why certain mutations and translocations are recurrent in cancer",Evanthia Soutoglou,"University of Sussex [999852721,UK]",United Kingdom,-,682939,ERC-2015-COG,Consolidator Grants,Life Sciences (LS),LS2 - Integrative Biology: From Genes & Genomes to Systems,2015,2017-03-01 00:00:00,2022-04-30 00:00:00,1999750,https://cordis.europa.eu/project/id/682939
Horizon 2020,IdrSeq,Discovery and characterization of functional disordered regions and the genes involved in their regulation through next generation sequencing,"A large fraction of any eukaryotic genome (>40%) encodes protein segments that do not adopt a defined tertiary structure. These proteins or regions are called intrinsically disordered proteins/regions (IDPs/IDRs). IDRs are enriched in critical functions such as transcription and signaling, and have been linked with numerous diseases including neurodegeneration and cancer. In contrast to structured regions, the molecular principles behind the sequence-function relationship of IDRs remain poorly understood.

We propose to identify functional IDRs and discover genes that regulate their function using yeast as a cellular model. We will develop and apply a targeted, high-throughput approach called IdrSeq. This technology exploits next generation sequencing to simultaneously assay vast libraries of sequences (~millions) that code for IDRs by coupling IDR sequence (genotype) to a selectable function (phenotype) and identifying functional variants through a selection experiment. 

Specifically, using IdrSeq, we aim to identify and characterize IDRs in a cellular context that can
(Aim 1) activate transcription, and discover genes that regulate IDR mediated transcription 
(Aim 2) influence protein stability, and discover genes that regulate IDR mediated half-life
(Aim 3) form higher-order assemblies and discover genes that regulate assembly formation 

The unique feature of this proposal is its integrative vision of synthetic & systems biology, structural biology, cell biology, genetics, experiments and computation to establish a discovery platform to study IDRs in a cellular context. Since IdrSeq is modular and scalable, it can be readily extended to investigate a broad range of IDR functions, and adapted to other organisms. Elucidating the principles of sequence-function-gene relationship of IDRs holds enormous potential for synthetic biology. The discovery of genes that regulate IDR function has direct implications for human health by revealing novel therapeutic targets.",Madanbabu Mohan,"United Kingdom Research and Innovation [906446474,UK]",United Kingdom,-,682414,ERC-2015-COG,Consolidator Grants,Life Sciences (LS),LS2 - Integrative Biology: From Genes & Genomes to Systems,2015,2016-05-01 00:00:00,2021-04-30 00:00:00,1998126,https://cordis.europa.eu/project/id/682414
Horizon 2020,Allelic Regulation,"Revealing Allele-level Regulation and Dynamics using Single-cell Gene Expression Analyses
","As diploid organisms inherit one gene copy from each parent, a gene can be expressed from both alleles (biallelic) or from only one allele (monoallelic). Although transcription from both alleles is detected for most genes in cell population experiments, little is known about allele-specific expression in single cells and its phenotypic consequences. To answer fundamental questions about allelic transcription heterogeneity in single cells, this research program will focus on single-cell transcriptome analyses with allelic-origin resolution. To this end, we will investigate both clonally stable and dynamic random monoallelic expression across a large number of cell types, including cells from embryonic and adult stages. This research program will be accomplished with the novel single-cell RNA-seq method developed within my lab to obtain quantitative, genome-wide gene expression measurement. To distinguish between mitotically stable and dynamic patterns of allelic expression, we will analyze large numbers a clonally related cells per cell type, from both primary cultures (in vitro) and using transgenic models to obtain clonally related cells in vivo._x000D__x000D_The biological significance of the research program is first an understanding of allelic transcription, including the nature and extent of random monoallelic expression across in vivo tissues and cell types. These novel insights into allelic transcription will be important for an improved understanding of how variable phenotypes (e.g. incomplete penetrance and variable expressivity) can arise in genetically identical individuals. Additionally, the single-cell transcriptome analyses of clonally related cells in vivo will provide unique insights into the clonality of gene expression per se.",Thore Rickard Hakan Sandberg,"Karolinska Institute [999978530,SE]",Sweden,Östra Sverige (SE1),648842,ERC-2014-COG,Consolidator Grants,Life Sciences (LS),LS2 - Integrative Biology: From Genes & Genomes to Systems,2014,2015-07-01 00:00:00,2020-12-31 00:00:00,1923060,https://cordis.europa.eu/project/id/648842
FP7,SysPharmAD,A systems pharmacology approach to the discovery of novel therapeutics in Alzheimer´s disease,"Alzheimer´s disease (AD) is the most common form of dementia, with over 35 million people suffering from it worldwide, and it constitutes a personal and societal tragedy of immense proportions. Fifty years of intense research have revealed many key elements of the biology of this neurodegenerative disorder. However, our understanding of the molecular bases of the disease is still very limited, and the available medical treatments for AD are purely symptomatic and hardly effective. It is now clear that the modulation of a single target is unlikely to yield the desired outcome, and we should move from gene-centric to network-centric therapeutic strategies. In addition, we should focus on early (asymptomatic) phases of AD, before the brain damage is irreversible, and the identification of molecular biomarkers to monitor the response of patients is paramount._x000D__x000D_Accordingly, the main objective of our proposal is the identification of novel biomarkers in AD to monitor the onset and progression of the pathology from very early stages, and to discover combinations of drug targets and chemical compounds able to modify the biology of the disease. We will first run proteomics and transcriptomics experiments, in AD mouse models, to reveal the organization of proteins and genes that are up- or down-regulated at different ages and AD stages, and their potential translocation into/out of mitochondria. We will then construct the AD-associated network, incorporating clinical data, which we will use as a framework for the integration and analyses of the –omics data collected. We will transform the static data snapshots, corresponding to the different AD stages, into a dynamic model able to explain the progression of the disease, providing hints as to the best strategies to monitor and modulate AD evolution. We will finally design and validate a systems pharmacology strategy, based on concerted multi-target perturbations with small molecules, to modify the biology of the disease.",Patricio Aloy Calaf,"Institute for Research in Biomedicine Barcelona [999541836,ES]",Spain,Este (ES5),614944,ERC-2013-COG,Consolidator Grants,Life Sciences (LS),LS2 - Integrative Biology: From Genes & Genomes to Systems,2013,2014-04-01 00:00:00,2019-09-30 00:00:00,1296000,https://cordis.europa.eu/project/id/614944
Horizon Europe,MECHANOJAS,Unravelling biophysical signals governing phytohormone production and plant acclimation,"Both animals and plants produce potently active mediators in response to tissue injury. These oxygenated lipid derivatives include leukotrienes and prostaglandins in animals, and jasmonates (JAs) in plants with JA-Ile serving as the bioactive phytohormone in angiosperms. JAs are synthesized from poly unsaturated fatty acids residing in plant-specific plastidial membranes, and are essential to protect plants against numerous biotic and abiotic challenges including insect herbivory and temperature extremes. Despite the vital roles of JAs in sustaining plant fitness and although JA-Ile biosynthesis and signalling are well characterized, it is still unknown how are damage signals transmitted to plastids to initiate phytohormone production and what is the nature of the transmitted signal(s). Our previous work in Arabidopsis uncovered that osmotically-induced turgor pressure changes elicit JA-Ile biosynthesis. We hence hypothesise that JA-Ile biosynthesis initiation may result from the transmission of mechanical signals through tissues and cell compartments leading to biophysical changes of plastidial membranes granting substrate accessibility to JA biosynthesis enzymes. To address these central questions in plant biology we aim to:

1. Quantify the mechanical forces and osmotic pressure changes required to induce JA biosynthesis
2. Characterize cellular events that transduce mechanical and osmotic stress signals to plastids for JA-Ile precursor production 
3. Alter plastidial biophysical parameters and study the consequences on JA-Ile precursor production 
4. Identify genetic components involved in sensing and decoding biophysical stimuli for JA-Ile production

This proposal thus intends to fill a critical gap in knowledge on stress phytohormone biology regulating plant acclimation and, concomitantly, expand our understanding on fundamental aspects of plant mechano- and osmo-sensing.
",Dr. Debora Gasperini,"Leibniz Institute of Plant Biochemistry [997593688,DE]",Germany,Sachsen-Anhalt (DEE),101088876,ERC-2022-COG,Consolidator Grants,Life Sciences (LS),"LS3 - Cellular, Developmental & Regenerative Biology",2022,2023-07-01 00:00:00,2028-06-30 00:00:00,1984565,https://cordis.europa.eu/project/id/101088876
Horizon Europe,REG_ORGatSCALE,Mechanisms of liver regeneration and disease across scales; from molecules to cells and tissue,"Despite recent advances, the principles that regulate liver regeneration and how their deregulation leads to disease remain largely unknown. The main goal of this application is to uncover molecular and cellular principles that govern liver regeneration and disease and exploit this knowledge to develop more complex multicellular organoid systems capable of reconstructing liver tissue in a dish. We will adopt a multi-scale (from molecule to tissue), and multidisciplinary approach, addressing the interplay between cell-intrinsic and cell-extrinsic mechanisms in damage paradigms that result in repair vs disease.

In Aim 1 we will identify the genomic loci (e.g. Transcription factors, signalling pathways or epigenetic regulators) involved in regeneration and disease, to gain a systems-level understanding of the gene regulatory mechanisms driving liver regeneration and disease. 

In Aim 2 we will investigate the biochemical signals mediated through cell-cell interactions between ductal cells and mesenchymal, to gain mechanistic understanding on how epithelial – mesenchymal cellular interactions regulate regeneration and their role in disease, particularly fibrosis.

In Aim 3 we will build complex multicellular organoids to reconstruct the liver lobule cellular interactions and architecture.

An in-depth understanding of the molecular and cellular mechanisms driving tissue regeneration and their deregulation in disease holds the potential to uncover new principles of liver biology. The generation of complex multicellular organoids that recapitulate liver cellular interactions and architecture will provide valuable tools for future mechanistic studies aiming at investigating molecular and cellular principles of tissue maintenance, repair and disease. Transferring these to human tissues will facilitate future studies addressing the long-standing question as to which principles of repair are conserved in humans and which are human specific.
",Meritxell Huch Ortega,"Max Planck Society [999990267,DE]",Germany,Bayern (DE2),101088869,ERC-2022-COG,Consolidator Grants,Life Sciences (LS),"LS3 - Cellular, Developmental & Regenerative Biology",2022,2023-05-01 00:00:00,2028-04-30 00:00:00,1999980,https://cordis.europa.eu/project/id/101088869
Horizon 2020,GPSorganoids,Generation of Position Specific organoids to study human neuromuscular system development and disease,"Locomotion results from the interaction between muscles and the nervous system. Dysfunction of such cells results in deadly diseases such as spinal muscular atrophy (SMA) and amyotrophic lateral sclerosis (ALS). These diseases often show regional selectivity but the underlying reasons remain obscure due to the lack of a suitable model system.  In previous work of my laboratory, we established a 3D neuromuscular organoid (NMO) model that allows the simultaneous generation of spinal cord neurons and skeletal muscle cells from human pluripotent stem cells (hPSCs) through a bipotent neuromesodermal progenitor (NMP). NMPs, located in the posterior part of the embryo, are driving axial elongation and coordinated growth of the trunk neuromuscular system. We coaxed hPSC derived NMPs to develop into neuromuscular organoids that form functional neuromuscular junctions supported by the presence of terminal Schwann cells and central pattern generator-like circuits. Thus, we are in the unique position to study in an organoid model the regulatory mechanisms involved in the formation and maintenance of the human neuromuscular system, and the disruption of these mechanisms in diseases. We will (i) identify the molecular requirements for the Generation of Position Specific (GPS) organoids representing distinct spinal cord segments, (ii) use NMOs to model and study ALS and SMA including the establishment of a drug screening platform and (iii) assemble hPSC-derived cerebral organoids and NMOs to include in the model human corticospinal tracts. In the long term, the information gained will have important implications for understanding and eventually treating neuromuscular diseases.",Asimina Gkouti,"Max Delbrueck Center for Molecular Medicine [999990461,DE]",Germany,Berlin (DE3),101002689,ERC-2020-COG,Consolidator Grants,Life Sciences (LS),"LS3 - Cellular, Developmental & Regenerative Biology",2020,2022-01-01 00:00:00,2026-12-31 00:00:00,2799375,https://cordis.europa.eu/project/id/101002689
Horizon 2020,CELLFUSION,Molecular dissection of the mechanisms of cell-cell fusion in the fission yeast,"Cell fusion is critical for fertilization and development, for instance underlying muscle or bone formation. Cell fusion may also play important roles in regeneration and cancer. A conceptual understanding is emerging that cell fusion requires cell-cell communication, polarization of the cells towards each other, and assembly of a fusion machinery, in which an actin-based structure promotes membrane juxtaposition and fusogenic factors drive membrane fusion. However, in no single system have the molecular nature of all these parts been described, and thus the molecular basis of cell fusion remains poorly understood. 

This proposal aims to depict the complete fusion process in a single organism, using the simple yeast model Schizosaccharomyces pombe, which has a long track record of discoveries in fundamental cellular processes. These haploid cells, which fuse to generate a diploid zygote, use highly conserved mechanisms of cell-cell communication (through pheromones and GPCR signaling), cell polarization (centred around the small GTPase Cdc42) and fusion. Indeed, we recently showed that these cells assemble an actin-based fusion structure, dubbed the actin fusion focus. Our five aims probe the molecular nature of, and the links between, signaling, polarization and the fusion machinery from initiation to termination of the process. These are:

1: To define the roles and feedback regulation of Cdc42 during cell fusion
2: To understand the molecular mechanisms of actin fusion focus formation
3: To identify the fusogen(s) promoting membrane fusion
4: To probe the GPCR signal for fusion initiation
5: To define the mechanism of fusion termination

By combining genetic, optogenetic, biochemical, live-imaging, synthetic and modeling approaches, this project will bring a molecular and conceptual understanding of cell fusion. This work will have far-ranging relevance for cell polarization, cytoskeletal organization, cell signalling and communication, and cell fate regulation.",Sophie Geneviève Elisabeth Martin Benton,"University of Lausanne [999841469,CH]",Switzerland,-,681505,ERC-2015-COG,Consolidator Grants,Life Sciences (LS),"LS3 - Cellular, Developmental & Regenerative Biology",2015,2016-10-01 00:00:00,2022-03-31 00:00:00,1999955.99,https://cordis.europa.eu/project/id/681505
