rid,eu_name,authorid,match_type,host_id,source,host,yes_or_no
73,Anja Groth,A5076432360,exact,I124055696,round2_inst,University of Copenhagen,
134,Xiaoqi Feng,A5081176696,exact,I157556583,round2_inst,Institute of Science and Technology Austria,
157,Tim Nicolai Siegel,A5011945733,alias,I8204097,round2_inst,Ludwig-Maximilians-Universität München,
197,Jerome Dejardin,A5017662368,exact,I154526488,round2_inst,Inserm,
216,Alexander Stark,A5052020232,exact,I195525897,round2_inst,Research Institute of Molecular Pathology,
340,Cedric Blanpain,A5079923302,exact,I132053463,round2_inst,Université Libre de Bruxelles,
724,Petr Broz,A5034864461,exact,I97565354,round2_inst,University of Lausanne,
767,Robin Charles May,A5058738414,alias,I79619799,round2_inst,University of Birmingham,
903,Jan Herman Veldink,A5069816083,alias,I3018483916,round2_inst,University Medical Center Utrecht,
919,Björn Högberg,A5069122955,exact,I28166907,round2_inst,Karolinska Institutet,
1043,Alvaro San Millan,A5000337643,exact,I134820265,round2_inst,Consejo Superior de Investigaciones Científicas,
1046,Petr Keil,A5055421718,exact,I205984670,round2_inst,Czech University of Life Sciences Prague,
1113,James Rolfe Guest,A5034389737,fuzzy,I84884186,round2_inst,Newcastle University,
1142,Jonathan Paul Bollback,A5049997602,fuzzy,I146655781,round2_inst,University of Liverpool,
1446,Wim Thiery,A5049409942,exact,I13469542,round2_inst,Vrije Universiteit Brussel,
1651,Bruno Bertini,A5053950593,exact,I79619799,round2_inst,University of Birmingham,
1658,Tim Langen,A5006507974,exact,I145847075,round2_inst,TU Wien,
1708,Miguel Fernandes Paulos,A5025389654,alias,I1294671590,round2_inst,Centre National de la Recherche Scientifique,
1737,Pierre Brun,A5104062094,exact,I2738703131,round2_inst,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,
1791,Andrea Longhin,A5101932677,alias,I138689650,round2_inst,University of Padua,
1806,Leonardo Fallani,A5013710925,alias,I45084792,round2_inst,University of Florence,
1945,Suchitra Sebastian,A5025591471,alias,I241749,round2_inst,University of Cambridge,
1973,Christian Reinhard Ast,A5027387996,alias,I149899117,round2_inst,Max Planck Society,
2032,Thomas Jagau,A5045088990,alias,I99464096,round2_inst,KU Leuven,
2202,Ruth Pérez Fernández,A5027704086,exact,I134820265,round2_inst,Consejo Superior de Investigaciones Científicas,
2599,Ziwei Ouyang,A5036591063,exact,I96673099,round2_inst,Technical University of Denmark,
2680,Fabien Robert Jocelyn Alibart,A5091510784,fuzzy,I1294671590,round2_inst,Centre National de la Recherche Scientifique,
2728,Marco Liserre,A5053880143,exact,I3133086891,round2_inst,Hochschule für Angewandte Wissenschaften Kiel,
2827,Tanja Tarvainen,A5025562527,exact,I175532246,round2_inst,University of Eastern Finland,
2859,Martí Gich,A5081565629,exact,I134820265,round2_inst,Consejo Superior de Investigaciones Científicas,
2884,Samuel Charles Georges Marre,A5014365722,fuzzy,I1294671590,round2_inst,Centre National de la Recherche Scientifique,
2922,Jan Peter Felix Lagerwall,A5029474859,alias,I186903577,round2_inst,University of Luxembourg,
2980,Dedong Wang,A5037547489,exact,I4210152878,round2_inst,GFZ Helmholtz Centre for Geosciences,
3020,Benoit Cerutti,A5041456096,exact,I1294671590,round2_inst,Centre National de la Recherche Scientifique,
3105,Jan Stuhler,A5071390181,exact,I50357001,round2_inst,Universidad Carlos III de Madrid,
3115,Gal Oestreicher-Singer,A5079624858,exact,I16391192,round2_inst,Tel Aviv University,
3140,Janne Tukiainen,A5057106966,exact,I155660961,round2_inst,University of Turku,
3237,Lisa Dellmuth,A5080647482,exact,I161593684,round2_inst,Stockholm University,
3320,James Woodcock,A5036593639,exact,I241749,round2_inst,University of Cambridge,
3323,Detlef Van Vuuren,A5082748474,alias,I193662353,round2_inst,Utrecht University,
3347,Stefan Giljum,A5036854135,exact,I102248843,round2_inst,Vienna University of Economics and Business,
3390,Moniek Adrienne Buijzen,A5035909713,fuzzy,I145872427,round2_inst,Radboud University Nijmegen,
3391,Aouatef Amade M'Charek,A5044269922,alias,I887064364,round2_inst,University of Amsterdam,
3672,Anders Martin Fjell,A5023405914,alias,I184942183,round2_inst,University of Oslo,
3785,Inge Hinterwaldner,A5047963768,exact,I102335020,round2_inst,Karlsruhe Institute of Technology,
4052,Julien Loiseau,A5078680462,exact,I21491767,round2_inst,Aix-Marseille Université,
4082,Pekka Johannes Hämäläinen,A5043568952,fuzzy,I40120149,round2_inst,University of Oxford,
4088,Marco Di Nunzio,A5074841364,exact,I79619799,round2_inst,University of Birmingham,
4147,Aike Peter Rots,A5022249335,alias,I184942183,round2_inst,University of Oslo,
4218,Tobias Georg Bruno Maria Huber,A5076632645,fuzzy,I4210108711,round2_inst,University Medical Center Hamburg-Eppendorf,
