rid,eu_name,authorid,match_type,host_id,source,n_papers,host,yes_or_no
2,Clemens Plaschka,A5006479386,exact,I195525897,round4_semtie,24,Research Institute of Molecular Pathology,
179,Nicola Iovino,A5024510416,exact,,round4_semtie,41,"* Max Planck Society [999990267,DE]",
219,Ron Milo,A5024451873,exact,I53964585,round4_semtie,189,Weizmann Institute of Science,
229,Jonathan Lawrence Marchini,A5051043751,fuzzy,I40120149,round4_semtie,216,University of Oxford,
276,Miki Matsuda,A5112236475,exact,,round4_semtie,6,"* Technical University of Dresden [999897729,DE]",
358,Direna Alonso-Curbelo,A5010025130,exact,I4210122345,round4_semtie,83,Institute for Research in Biomedicine,
388,Ruth Scherz-Shouval,A5006544087,exact,I53964585,round4_semtie,106,Weizmann Institute of Science,
397,Timo Mueller,A5078186579,exact,,round4_maxpapers,11,"* Helmholtz Center Munich - German Research Center for Environmental Health [999994729,DE]",
435,Bart Leo Loeys,A5042051309,fuzzy,I149213910,round4_semtie,416,University of Antwerp,
442,Ana Dias Neto Domingos Jansen,A5085473640,fuzzy,,round4_semtie,196,"* University of Oxford [999984350,UK]",
471,Luis Filipe Ferreira Moita,A5054255908,fuzzy,,round4_semtie,124,"* Calouste Gulbenkian Foundation [999455894,PT]",
529,Ayal Ben-Zvi,A5066671374,exact,I197251160,round4_semtie,43,Hebrew University of Jerusalem,
581,David Keays,A5062455516,alias,I8204097,round4_semtie,55,Ludwig-Maximilians-Universität München,
618,Petra Ritter,A5067145255,exact,,round4_semtie,226,"* Charite - University Hospital Berlin [999992692,DE]",
671,Matthieu Mahevas,A5031127153,exact,,round4_semtie,141,"* Paris-East Creteil University (UPEC) [999484606,FR]",
677,Florian Schmidt,A5020537034,exact,,round4_semtie,151,"* University Hospital Bonn [999867465,DE]",
702,Ziv Shulman Ben-Avraham,A5034305916,fuzzy,,round4_maxpapers,1,"* Weizmann Institute [999979306,IL]",
763,Karina Elizabeth De Visser,A5012101402,fuzzy,,round4_maxpapers,1,"* Netherlands Cancer Institute [999984738,NL]",
836,Rachela Popovtzer,A5039004884,exact,I13955877,round4_semtie,117,Bar-Ilan University,
847,Daniel Aili,A5033045367,exact,,round4_maxpapers,121,"* University of Linkoeping [999852236,SE]",
848,Waldo Nogueira Vazquez,A5077493283,fuzzy,,round4_maxpapers,1,"* Hannover Medical School [999878426,DE]",
859,Vered Karavani,A5049437339,fuzzy,I16391192,round4_semtie,84,Tel Aviv University,
861,Matthijs Brouwer,A5068023068,exact,,round4_maxpapers,30,"* Academic Medical Center of the University of Amsterdam [998732274,NL]",
863,Lena Maier-Hein,A5023493127,exact,I17937529,round4_semtie,369,German Cancer Research Center,
869,Mathilde Touvier,A5106788643,exact,I154526488,round4_semtie,847,Inserm,
874,Ali Ertürk,A5050828185,exact,,round4_semtie,95,"* Helmholtz Center Munich - German Research Center for Environmental Health [999994729,DE]",
902,Davide Rossi,A5015790909,exact,,round4_semtie,890,"* Foundation for the Research and Cure of Lymphoma in Ticino [933168325,CH]",
