rid,us_name,authorid,match_type,host_id,source,n_papers
3,Rui Hu,A5101675122,alias,,round3_semantic,10
4,Jiaxin Huang,A5058212759,alias,,round3_semantic,12
25,Leah Spangler,A5039738985,alias,I184840846,round2_inst,19
41,Shuang Zhang,A5100321545,exact,I91045830,round3_semantic,13
53,Selyna P Beverly,A5034831372,fuzzy,I138216421,round3_semantic,2
69,Gediminas Bertasius,A5008205639,exact,,name_unique,2
70,Sai Swaminathan,A5103060030,alias,,round3_semantic,4
72,Emily D Sanders,A5063732592,fuzzy,I130701444,round2_inst,8
98,Savannah Eisner,A5071336299,fuzzy,I78577930,round2_inst,12
100,Maxime C Van de Moortel,A5053789248,fuzzy,,round3_semantic,17
105,Christopher Woodward,A5109555470,alias,,round3_semantic,10
106,Qian Zhang,A5107250096,alias,I103635307,round3_semantic,19
108,Marzieh Memar,A5015288674,exact,,name_unique,1
114,Paul Goelz,A5112465272,exact,,name_unique,1
121,Habiba Farrukh,A5090347232,exact,I204250578,round2_inst,17
122,Maha Kenawy,A5065695527,exact,,name_unique,10
136,Jeffrey M Lipshultz,A5026778029,fuzzy,,round3_semantic,14
157,Christopher J Caruvana,A5015521305,fuzzy,I592451,round2_inst,19
158,Daniel A Keedy,A5111158138,fuzzy,,round3_semantic,2
165,Liana T Burghardt,A5041487565,alias,,round4_maxpapers,1
178,Jyoti Champanerkar,A5040676369,exact,,name_unique,10
181,Gong Chen,A5068807982,alias,I130701444,round3_semantic,3
183,Ana Colaco Morais,A5045170383,fuzzy,,round3_semantic,10
194,Teresa W Lee,A5030286190,fuzzy,I133738476,round2_inst,16
204,James C Davis,A5000005083,exact,,name_unique,4
213,Alexander M Kale,A5080552189,fuzzy,,round4_maxpapers,7
215,Nariel Monteiro,A5052676055,exact,,name_unique,8
218,Chen Sun,A5100722239,exact,I27804330,round3_semantic,12
219,Georgios Pavlakos,A5106276634,alias,,round3_semantic,2
226,Kejie Zhao,A5100813310,alias,,round3_semantic,13
228,Milijana Surbatovich,A5021370119,exact,,name_unique,9
229,Kimberly G Fluet,A5040236570,fuzzy,I5388228,round2_inst,18
233,Sung Jin Park,A5015813521,exact,I150468666,round3_semantic,5
250,Duc D Nguyen,A5008446804,alias,,round3_semantic,2
257,Sarah Bryant,A5014208159,alias,,round3_semantic,12
258,Azadeh Ansari,A5003979955,exact,I130701444,round3_semantic,15
259,Sarah Bryant,A5014208159,alias,,round3_semantic,12
262,Elise K Webber,A5082141859,fuzzy,,round4_maxpapers,5
