rid,us_name,authorid,match_type,host_id,source,n_papers
108,Marzieh Memar,A5015288674,exact,,name_unique,1
114,Paul Goelz,A5112465272,exact,,name_unique,1
304,Abigail Stylianou,A5018301000,exact,,name_unique,1
717,Yohanna Mejia Cruz,A5085393219,exact,,name_unique,1
739,Annalise Klein,A5083788936,exact,,name_unique,1
1032,David H Bromwich,A5087053284,exact,,name_unique,1
1178,Sara Thoi,A5062005403,exact,,name_unique,1
1378,Laureano Gherardi Arbizu,A5003686199,exact,,name_unique,1
1475,Benjamin R Hayes,A5019112014,exact,,name_unique,1
1739,Kirin E Furst,A5113192819,exact,,name_unique,1
1766,Pegah Mosharaf Ghahfarokhy,A5093975109,exact,,name_unique,1
1782,Corey S O'Hern,A5110142326,exact,,name_unique,1
1794,Abigail Stylianou,A5018301000,exact,,name_unique,1
1814,Abigail Stylianou,A5018301000,exact,,name_unique,1
1965,William T Taylor,A5073546934,exact,,name_unique,1
2399,Carolyn M Jones,A5110053891,exact,,name_unique,1
2493,Kirin E Furst,A5113192819,exact,,name_unique,1
2853,Mahsa Dabaghmeshin,A5047147232,exact,,name_unique,1
2915,Lahiru N Jayakody,A5033368105,exact,,name_unique,1
69,Gediminas Bertasius,A5008205639,exact,,name_unique,2
624,April Kilgore,A5070720520,exact,,name_unique,2
1142,Artemisia Spyrou,A5103739141,exact,,name_unique,2
1238,Jacqueline Clifford,A5088840657,exact,,name_unique,2
2361,Kerry A Brenner,A5061102413,exact,,name_unique,2
2755,E Dale Broder,A5063191268,exact,,name_unique,2
294,Andy Berglund,A5087183660,exact,,name_unique,3
674,Aiday Sikhova,A5057874334,exact,,name_unique,3
1155,Raquel A Martinez,A5017185588,exact,,name_unique,3
1183,Mandi Schaeffer Fry,A5058739367,exact,,name_unique,3
2142,Catherine Bergman,A5011059353,exact,,name_unique,3
2896,Anita Balaraman,A5060607347,exact,,name_unique,3
204,James C Davis,A5000005083,exact,,name_unique,4
733,Rob Denton,A5057357183,exact,,name_unique,4
1837,Krishnakumar Garikipati,A5091031326,exact,,name_unique,4
2360,Joe Omojola,A5018790195,exact,,name_unique,4
2473,Joselina Cheng,A5028022528,exact,,name_unique,4
2551,Flavia Dias de Souza Moraes,A5112396695,exact,,name_unique,4
2801,Michelle Salzano,A5055641094,exact,,name_unique,4
265,Osama Muhammad Raisuddin,A5058258024,exact,,name_unique,5
2687,Kitrina Carlson,A5032534098,exact,,name_unique,5
2777,Michaela Socolof,A5059969610,exact,,name_unique,5
2825,Anirudh Sivaraman Kaushalram,A5073988134,exact,,name_unique,5
941,Vini Chaudhary,A5036141011,exact,,name_unique,6
1185,Benjamin Knudsen,A5081372010,exact,,name_unique,6
2568,Noel Hennessey,A5067749061,exact,,name_unique,6
925,Tamra Legron-Rodriguez,A5020745292,exact,,name_unique,7
1026,Steven M McGee,A5103870097,exact,,name_unique,7
2510,Raymond Sukhdeo,A5060793375,exact,,name_unique,7
215,Nariel Monteiro,A5052676055,exact,,name_unique,8
936,Christopher Lore,A5064622063,exact,,name_unique,8
1902,Margarita Kaplow,A5031420354,exact,,name_unique,8
228,Milijana Surbatovich,A5021370119,exact,,name_unique,9
1910,Rebecca Sanft,A5027923761,exact,,name_unique,9
122,Maha Kenawy,A5065695527,exact,,name_unique,10
178,Jyoti Champanerkar,A5040676369,exact,,name_unique,10
1463,jeffrey hovermill,A5076629769,exact,,name_unique,10
1683,Tracie Canada,A5062699020,exact,,name_unique,10
1893,Aarushi Bhandari,A5019611547,exact,,name_unique,10
1942,Kelly Krieble,A5001175538,exact,,name_unique,10
880,Scott Frees,A5049731390,exact,,name_unique,11
2292,Darlene Olsen,A5030847021,exact,,name_unique,11
2334,Camille Hankel,A5069534486,exact,,name_unique,11
1184,Ali Khabari,A5035148445,exact,,name_unique,12
1201,Christopher Baechle,A5004639572,exact,,name_unique,12
1575,Ashanti Edwards,A5084113576,exact,,name_unique,13
1313,Kiranmayi Mangalgiri,A5033740397,exact,,name_unique,14
2858,Jyrko Correa-Morris,A5043809142,exact,,name_unique,14
354,Trevor Caughlin,A5045239041,exact,,name_unique,15
494,Juie Shetye,A5014155969,exact,,name_unique,15
991,Ari Krakowski,A5052202191,exact,,name_unique,15
2233,Sara Gremillion,A5027743119,exact,,name_unique,15
320,Xugui Zhou,A5084919916,exact,,name_unique,16
