dataset,rid,us_name,authorid,match_type,host_id,source,n_papers,award_number,start_year
us_since1990,26,P Shiv Halasyamani,A5080509414,exact,,name_unique,1,"=""0092054""",2001
us_since1990,332,Jayachandran Sethuraman,A5056514157,exact,,name_unique,1,"=""0093981""",2001
us_since1990,722,Maria del Mar Lopez de Murphy,A5062373206,exact,,name_unique,1,"=""0134274""",2002
us_since1990,1017,Harold G Evans,A5107352875,exact,,name_unique,1,"=""0237634""",2003
us_since1990,1045,Vera Kettnaker,A5078259792,exact,,name_unique,1,"=""0237913""",2003
us_since1990,1353,I-Yeu Shen,A5111992492,exact,,name_unique,1,"=""0244116""",2003
us_since1990,2136,Corey S O'Hern,A5110142326,exact,,name_unique,1,"=""0448838""",2005
us_since1990,2373,Kenneth A Bloom,A5107352976,exact,,name_unique,1,"=""0545593""",2005
us_since1990,2521,J Nicholas Laneman,A5084609159,exact,,name_unique,1,"=""0546618""",2006
us_since1990,2958,LaTonya M Williams,A5011619946,exact,,name_unique,1,"=""0643920""",2007
us_since1990,3255,Harold G Evans,A5107352875,exact,,name_unique,1,"=""0647305""",2006
us_since1990,3353,Kameshwar Munagala,A5037484505,exact,,name_unique,1,"=""0745761""",2008
us_since1990,3870,Christopher Gniady,A5005763451,exact,,name_unique,1,"=""0844569""",2009
us_since1990,4212,Francesco Calegari,A5043525562,exact,,name_unique,1,"=""0846285""",2009
us_since1990,5572,Siavash Pourkamali Anaraki,A5034246345,exact,,name_unique,1,"=""1056068""",2011
us_since1990,6060,Ioannis Korkolis,A5053873583,exact,,name_unique,1,"=""1150523""",2012
us_since1990,6867,Siavash Pourkamali Anaraki,A5034246345,exact,,name_unique,1,"=""1314259""",2012
us_since1990,6909,Georgios-Alex Dimakis,A5007721303,exact,,name_unique,1,"=""1344179""",2013
us_since1990,7101,Jen C Owen,A5091714762,exact,,name_unique,1,"=""1350772""",2014
us_since1990,7915,Janet Tomiyama,A5113839748,exact,,name_unique,1,"=""1454735""",2015
us_since1990,8318,Alfred L Hall,A5110657042,exact,,name_unique,1,"=""1553098""",2016
us_since1990,8478,Esra Buyuktahtakin Toy,A5082535664,exact,,name_unique,1,"=""1554018""",2016
us_since1990,9644,Gonzalo Mateos Buckstein,A5003616440,exact,,name_unique,1,"=""1750428""",2018
