rid,us_name,authorid,match_type,host_id
2863,Chi-Wang Shu,A5047035333,exact,I27804330
2914,Weitian Wang,A5101767054,alias,I166088655
1284,Kemp Plumb,A5068419075,alias,I27804330
1068,Daniel Ducat,A5007719112,alias,I87216513
767,Jia Liu,A5090031793,alias,I33213144
1655,Ping Yang,A5039935543,exact,I91045830
1980,Eric J Tervo,A5014598762,fuzzy,I135310074
1447,Ellen O Martinson,A5036333251,fuzzy,I169521973
572,Helen H Hu,A5013182224,fuzzy,I156220630
2814,Nepomuk Otte,A5078669119,alias,I130701444
1472,Augustin Chaintreau,A5026913706,exact,I78577930
2760,Lisa Dierker,A5071256948,alias,I100538780
1261,Nicholas P McKay,A5013707453,fuzzy,I203172682
1,John M Logsdon,A5039243664,fuzzy,I126307644
2266,Wah Chiu,A5049689333,alias,I97018004
2997,Paulette Clancy,A5030863265,alias,I145311948
1866,Douglas P Hardin,A5066655505,fuzzy,I200719446
861,John H Costello,A5077237996,fuzzy,I196272386
633,Lauren S Mullineaux,A5006023932,fuzzy,I66958751
634,Jason B Sylvan,A5014777100,fuzzy,I91045830
1428,Roxanne S Beltran,A5075982283,fuzzy,I185103710
2518,Paul A Hohenlohe,A5079923400,fuzzy,I155093810
1488,Clark Barrett,A5026961968,alias,I97018004
1841,Francis-Yan Cyr-Racine,A5064297957,exact,I169521973
1619,Cristian-Ioan Vasile,A5086654963,exact,I186143895
442,Amay J Bandodkar,A5087908774,fuzzy,I137902535
1048,Jonathan Blazek,A5073278093,alias,I12912129
2057,Elif E Miskioglu,A5083036188,fuzzy,I131221577
1395,Michael K Brown,A5019359008,fuzzy,I82497590
724,Alexander K Fremier,A5088098542,fuzzy,I72951846
296,Thomas D Gilmore,A5042073445,fuzzy,I111088046
2907,Jie Ding,A5100697343,exact,I130238516
1758,Karen Leung,A5007340626,alias,I201448701
2435,Ming Yang,A5048213108,alias,I8078737
1480,Jonathan K Pokorski,A5055997846,fuzzy,I36258959
830,Sangeetha Abdu Jyothi,A5058967466,alias,I204250578
2477,Xin Zhang,A5100327582,alias,I111088046
647,Igor Cialenco,A5061567868,exact,I180949307
357,Yang Lin,A5011073470,alias,I17626003
1626,Chuang Gan,A5040877128,exact,I24603500
152,Wentao Tang,A5101909402,exact,I137902535
956,Jason O Hallstrom,A5029268835,fuzzy,I63772739
2651,Jennifer H Doherty,A5023434051,fuzzy,I87216513
1622,Diana Dragomir,A5031964650,alias,I169521973
1012,Jennifer C Hom,A5090832694,fuzzy,I130701444
31,Patrick J Walsh,A5071091437,fuzzy,I79576946
771,Joel Atallah,A5086244426,exact,I192396691
1555,Sarah Kurtz,A5065574271,exact,I156087764
2138,Damar L Lopez-Arredondo,A5030247589,fuzzy,I12315562
15,Qianyun Zhang,A5052563154,alias,I10052268
1551,Yuanyuan Shi,A5055691206,alias,I36258959
1173,Ilker Yildirim,A5103134957,alias,I32971472
359,William T Pockman,A5070975541,fuzzy,I169521973
2751,Chengcheng Huang,A5039355930,exact,I170201317
1901,Baobao Zhang,A5031187446,alias,I70983195
2295,John F Wheeler,A5102804006,fuzzy,I86115722
1819,Na Du,A5027093356,exact,I170201317
1386,Jenna Finch,A5049589105,alias,I114395901
1639,Chirag Gupta,A5101612909,alias,I135310074
29,Danica M Ommen,A5002822388,fuzzy,I173911158
2884,Cassandra J McCall,A5044604741,fuzzy,I121980950
1246,Shuna Ni,A5040240885,alias,I66946132
1112,Winnie Chu,A5060538862,exact,I130701444
182,John J Blazeck,A5028913983,fuzzy,I130701444
2767,John T Solomon,A5103641379,fuzzy,I6026837
2812,Sunita Chandrasekaran,A5009614578,exact,I86501945
655,Yan Li,A5100380431,exact,I107672454
2392,Anne G Short Gianotti,A5017076546,fuzzy,I111088046
2477,Xin Zhang,A5100327478,exact,I111088046
2979,Qian Zhang,A5100401578,exact,I103163165
2258,Juan Pablo Canales,A5050859458,alias,I66958751
999,Jennifer Detlor,A5018464143,alias,I135310074
2357,Kira Goldner,A5072753842,exact,I111088046
2121,Sarah Dean,A5029554720,alias,I205783295
407,Maria S Santisteban,A5028347594,fuzzy,I3970613
225,Nghia Hoang,A5102929916,alias,I72951846
2935,Solomon L Russell,A5059460476,fuzzy,I201437548
2820,Agnieszka Miguel,A5075867361,alias,I58610484
1504,Mei Yang,A5101560281,alias,I133999245
240,Wesley R Legant,A5085508441,fuzzy,I114027177
469,Aline Eid,A5025955516,alias,I27837315
102,Shijie Cao,A5015998327,exact,I201448701
2293,Xiaolong Geng,A5083007002,exact,I1331384533
954,Cong Ma,A5074490643,exact,I40347166
420,Daniel T Grier,A5074338298,fuzzy,I36258959
1614,Xu Wang,A5068653834,alias,I27837315
298,Qiuming Yao,A5103020638,alias,I114395901
657,christine verhille,A5020549954,alias,I23732399
66,Mattias V Fitzpatrick,A5068743203,fuzzy,I107672454
95,Giulia Guidi,A5034932123,alias,I205783295
1097,Shan Li,A5100324691,exact,I186143895
2185,Ramya Kumar,A5078716221,alias,I167576493
788,Paige Evans,A5054685136,alias,I44461941
1720,Lei Zhou,A5100712548,alias,I135310074
2032,Alexandra F Paterson,A5005979230,fuzzy,I143302722
1648,Danfei Xu,A5028834865,exact,I130701444
1175,John W Williams,A5085275264,exact,I135310074
1389,Erin M Perchiniak,A5086696502,fuzzy,I126548940
1621,Zachary J Suriano,A5038757516,fuzzy,I94339441
2820,Agnieszka Miguel,A5014119333,alias,I58610484
1509,Bin Chen,A5073108937,alias,I1331384533
586,Erica Cline,A5111904683,exact,I201448701
1863,Luis E Zambrano-Cruzatty,A5063727700,fuzzy,I7947594
943,Zhenkai Zhang,A5043680593,alias,I8078737
2469,Richard C Thompson,A5034506802,fuzzy,I84470341
1614,Xu Wang,A5100407816,alias,I27837315
1554,Zoleikha Biron,A5015697083,alias,I33213144
1569,Yang Xiao,A5046618429,alias,I143302722
631,Lars Hansen,A5018292103,alias,I130238516
840,Joan Y Martinez,A5058392109,fuzzy,I135191193
1588,Yoon H Kim,A5112461872,fuzzy,I63966007
752,Sean P Colin,A5109236495,alias,I79839527
1936,Paul J Apisa,A5045309647,fuzzy,I135310074
312,Sunil Mittal,A5022530317,alias,I12912129
1522,Kinnis K Gosha,A5111268477,fuzzy,I85230861
1705,Wei Tang,A5013607512,alias,I39422238
1699,Jian-Xun Wang,A5100370582,fuzzy,I205783295
1715,Zhongyang Li,A5067333147,exact,I140172145
902,Woo Y Lee,A5004315557,fuzzy,I108468826
1921,Eric Wong,A5066376294,exact,I79576946
735,Candice Y Lumibao,A5062966432,fuzzy,I96749437
2368,Linqing Li,A5031241359,alias,I161057412
2317,Xiang Chen,A5100441912,alias,I102149020
2564,Ali A Ansari,A5109463417,fuzzy,I11786554
1107,Bin Sun,A5066365050,alias,I87216513
2318,Allison J Lopatkin,A5080009166,fuzzy,I5388228
439,Pradeep Sharma,A5100620120,alias,I44461941
34,Zhenyu Gan,A5083017120,exact,I70983195
1859,Yunhui He,A5082790650,exact,I44461941
