rid,us_name,authorid,match_type,host_id,passed,n_papers,source
97,Matthew J Hankins,A5014357505,fuzzy,,False,135,round4_maxpapers
154,Xueqing Liu,A5100775509,exact,I108468826,False,158,round4_maxpapers
165,Liana T Burghardt,A5041487565,alias,,False,1,round4_maxpapers
199,Yu-Chan Chang,A5036497451,alias,,False,184,round4_maxpapers
213,Alexander M Kale,A5080552189,fuzzy,,False,7,round4_maxpapers
262,Elise K Webber,A5082141859,fuzzy,,False,5,round4_maxpapers
307,Keary M Engle,A5063085607,alias,,False,1,round4_maxpapers
363,Russell G Miller,A5109229738,fuzzy,,False,111,round4_maxpapers
381,Mingzhe Chen,A5072241033,alias,I145608581,False,347,round4_maxpapers
397,Derek A Brown,A5022816786,alias,,False,1,round4_maxpapers
411,David A Butler,A5020577930,fuzzy,I1318687432,False,757,round4_maxpapers
447,John M Herbert,A5066827924,alias,,False,1,round4_maxpapers
475,Francis G Garvan,A5002312876,fuzzy,,False,9,round4_maxpapers
479,Tafadzwa J Dube,A5062186547,fuzzy,,False,9,round4_maxpapers
482,Daniel W Roush,A5009793855,fuzzy,,False,35,round4_maxpapers
506,Overtoun M Jenda,A5026173481,fuzzy,,False,62,round4_maxpapers
507,Franck J Vernerey,A5049834569,alias,,False,1,round4_maxpapers
527,Tuncay Aktosun,A5053386759,exact,,False,81,round4_maxpapers
555,M Hassan Najafi,A5013272913,fuzzy,,False,171,round4_maxpapers
593,Keith D Schloeman,A5067776696,fuzzy,,False,1,round4_maxpapers
603,Steven M Kahn,A5066700951,fuzzy,,False,722,round4_maxpapers
623,Heather M Savage,A5057913967,fuzzy,,False,8,round4_maxpapers
646,Michael Gangone,A5113107997,alias,,False,23,round4_maxpapers
677,Piran R Kidambi,A5084322134,alias,,False,1,round4_maxpapers
702,Ian T McCrum,A5033117815,alias,,False,1,round4_maxpapers
725,Van A Doze,A5041537880,fuzzy,,False,108,round4_maxpapers
730,Monica M Carlsen-Krause,A5022053071,fuzzy,,False,16,round4_maxpapers
744,Robert B Rose,A5111489753,fuzzy,I137902535,False,65,round4_maxpapers
749,Carolyn T Chang,A5000093928,fuzzy,,False,44,round4_maxpapers
755,Yunfei Hou,A5056807970,alias,,False,174,round4_maxpapers
756,Shiyao Lin,A5061557446,exact,,False,77,round4_maxpapers
761,Maria S Peresin,A5041149174,alias,,False,2,round4_maxpapers
771,Joel Atallah,A5086244426,alias,I192396691,False,32,round4_maxpapers
780,Sangjin Ryu,A5038658773,exact,,False,114,round4_maxpapers
784,Alia L Khan,A5076002317,alias,,False,1,round4_maxpapers
795,Kristin M Rosler,A5030485166,fuzzy,,False,3,round4_maxpapers
813,Jonathan Little,A5073764742,alias,,False,659,round4_maxpapers
820,Julie R Robinson,A5012110847,alias,,False,1,round4_maxpapers
842,Lindsey Applegate,A5053887418,fuzzy,,False,13,round4_maxpapers
872,Frank A Gomez,A5041020929,alias,,False,2,round4_maxpapers
884,Ryan J Zerr,A5072255467,fuzzy,,False,26,round4_maxpapers
918,Wei E Gordon,A5012009454,fuzzy,,False,6,round4_maxpapers
923,Richard P Vaughn,A5043975231,fuzzy,,False,6,round4_maxpapers
927,David A Butler,A5020577930,fuzzy,I1318687432,False,757,round4_maxpapers
928,Tyler C Maley,A5015187338,fuzzy,,False,1,round4_maxpapers
930,Rebecca M Reck,A5004598537,alias,,False,1,round4_maxpapers
938,Kristine M Christensen,A5052417986,fuzzy,,False,9,round4_maxpapers
948,Md Tahmidul Islam Molla,A5003217702,fuzzy,,False,15,round4_maxpapers
955,Carlos E Colosqui,A5087687532,fuzzy,,False,71,round4_maxpapers
964,Michele E Wilson,A5109080651,fuzzy,,False,55,round4_maxpapers
967,John E Majoris,A5063714201,alias,,False,1,round4_maxpapers
987,Sadie S Elliott,A5112869231,fuzzy,,False,2,round4_maxpapers
989,Jessica M Hutchison,A5075245889,fuzzy,,False,10,round4_maxpapers
995,Pamela J Wisniewski,A5061993312,alias,,False,1,round4_maxpapers
1000,Ander J Sundell,A5057897435,fuzzy,,False,6,round4_maxpapers
1002,Noah Butler,A5019550435,alias,,False,88,round4_maxpapers
1018,Alexis R Torres,A5052409584,fuzzy,,False,15,round4_maxpapers
1036,Kimberly C Mullane,A5070122377,alias,,False,2,round4_maxpapers
1058,Samuel K Fleming,A5088993558,fuzzy,,False,9,round4_maxpapers
1061,Jian J Zhang,A5100409879,fuzzy,I201448701,False,1915,round4_maxpapers
1114,Juan C Santos Garcia,A5023928269,alias,,False,1,round4_maxpapers
1157,Donald J Siegel,A5026153077,alias,,False,1,round4_maxpapers
1196,C A Figg,A5080259642,fuzzy,,False,1,round4_maxpapers
1219,Alan Legg,A5085046703,alias,,False,18,round4_maxpapers
1225,Tom G Driver,A5017654256,alias,,False,1,round4_maxpapers
1228,Joseph A Waldron,A5051652526,fuzzy,,False,38,round4_maxpapers
1258,Amy Dejongh Curry,A5078104720,fuzzy,I94658018,False,51,round4_maxpapers
1285,Sally Bane,A5005279392,alias,,False,91,round4_maxpapers
1326,Miguel F Larsen,A5007414466,alias,,False,2,round4_maxpapers
1349,Zufen Wang,A5040157910,alias,I75256744,False,10,round4_maxpapers
1350,Min Zhang,A5100402851,alias,I47500952,False,1694,round4_maxpapers
1367,Youzhi Bao,A5021693984,exact,,False,3,round4_maxpapers
1383,Yuri A Omelchenko,A5001944917,alias,,False,1,round4_maxpapers
1393,Matthew J Paul,A5078858848,alias,,False,1,round4_maxpapers
1399,Jason T Wright,A5014359103,alias,,False,2,round4_maxpapers
1444,Wenbin Yu,A5101934162,alias,,False,324,round4_maxpapers
1477,Patricia M Gregg,A5087033193,alias,,False,1,round4_maxpapers
1478,Melanie R McReynolds,A5074060815,alias,,False,2,round4_maxpapers
1505,Davita Watkins,A5007869147,alias,,False,99,round4_maxpapers
1517,Ming C Hammond,A5033537158,fuzzy,I223532165,False,81,round4_maxpapers
1530,Oana M Martin,A5009077482,fuzzy,,False,3,round4_maxpapers
1533,Jacob Shiba,A5001536117,fuzzy,,False,1,round4_maxpapers
1538,Craig A Ogilvie,A5102348820,fuzzy,,False,1,round4_maxpapers
1545,Robert J Garner,A5025885316,fuzzy,,False,183,round4_maxpapers
