rid,us_name,authorid,match_type,host_id,source,n_papers
0,Uri Wilensky,A5050932651,exact,I111979921,round3_semantic,297
1,Anna Stefanopoulou,A5089318617,alias,I27837315,round2_inst,579
2,Stephanie J Rowley,A5054574917,fuzzy,I27837315,round2_inst,108
3,Sarah T Gille,A5025720255,fuzzy,I150209017,round2_inst,328
4,Lori L Graham-Brady,A5049156729,fuzzy,I145311948,round2_inst,113
5,Lisa K Fleischer,A5045233402,fuzzy,I74973139,round2_inst,111
6,Julie Ann Williams,A5101676657,alias,,round3_semantic,31
7,Manuel A Perez-Quinones,A5090623874,fuzzy,I859038795,round2_inst,252
8,James D Bever,A5051832543,fuzzy,I592451,round2_inst,259
9,Nikos P Chrisochoides,A5112765336,fuzzy,I16285277,round2_inst,196
10,Venugopal Veeravalli,A5067089715,alias,I157725225,round2_inst,456
11,Leonard J Schulman,A5065859226,fuzzy,I122411786,round2_inst,199
12,Steven M Seitz,A5068254275,fuzzy,I201448701,round2_inst,202
13,Kay M Nelson,A5102228531,fuzzy,I223532165,round2_inst,46
14,Diana Marculescu,A5065985595,alias,I74973139,round2_inst,383
15,Moshe E Ben-Akiva,A5029085275,fuzzy,I63966007,round2_inst,653
16,Mark J Schiefsky,A5003777796,fuzzy,I136199984,round2_inst,46
17,Stephan W Haas,A5072396734,fuzzy,I1174212,round2_inst,330
18,Michael J Krische,A5042928999,fuzzy,I86519309,round2_inst,770
20,Scott E Feller,A5111564274,fuzzy,I24511612,round3_semantic,116
21,Gianluca Lazzi,A5044898858,exact,,name_unique,247
22,Susan C Alberts,A5007247836,fuzzy,I170897317,round2_inst,278
23,Donald F Becker,A5008162458,fuzzy,I208333798,round2_inst,141
24,Hudson Turner,A5084281533,exact,,name_unique,32
27,Ross T Whitaker,A5109840277,fuzzy,I223532165,round2_inst,347
29,William H Sandholm,A5017369526,fuzzy,I135310074,round2_inst,116
30,Sandor J Kovacs,A5064922824,fuzzy,I201448701,round3_semantic,270
32,Jeehiun K Lee,A5003515402,fuzzy,I102322142,round3_semantic,75
33,Christopher G Healey,A5013460936,fuzzy,I137902535,round3_semantic,118
34,Frank J Loge,A5014796364,fuzzy,I72951846,round2_inst,148
35,Joachim L Grenestedt,A5108565515,fuzzy,I186143895,round2_inst,78
36,Steven T Diver,A5022838754,fuzzy,I63190737,round2_inst,151
37,Jeffrey Davis,A5101674529,alias,I130701444,round3_semantic,136
38,Rick O Gilmore,A5062478621,fuzzy,I130769515,round2_inst,113
39,Darryl E Granger,A5000308225,fuzzy,,round3_semantic,188
40,Jeanne VanBriesen,A5032003918,alias,I74973139,round2_inst,119
41,Anne P Hillstrom,A5051520162,alias,I189196454,round2_inst,50
42,Jennifer K Ryan,A5103262911,fuzzy,,round3_semantic,66
43,Kristin J Dana,A5015554622,fuzzy,I102322142,round2_inst,153
44,Andre F Palmer,A5057132906,fuzzy,,round3_semantic,236
46,Nikhilesh Chawla,A5022934063,exact,I55732556,round2_inst,423
47,Jun Zhang,A5100433052,alias,I143302722,round3_semantic,141
48,Tim Lieuwen,A5082528509,alias,I130701444,round2_inst,468
50,Robert M Young,A5108550021,fuzzy,I137902535,round3_semantic,37
51,Peter R Wurman,A5008848329,fuzzy,I137902535,round2_inst,92
52,Jose M Vidal,A5110212866,fuzzy,I155781252,round2_inst,101
53,Andrew C Singer,A5028083945,fuzzy,I157725225,round2_inst,379
54,Joanna Millunchick,A5012522509,alias,I27837315,round3_semantic,193
55,Helen M Chamberlin,A5010545958,fuzzy,I52357470,round2_inst,129
56,Eric L Chown,A5074661437,fuzzy,I135474949,round2_inst,43
57,Elizabeth A Davis,A5102786397,fuzzy,I27837315,round3_semantic,111
58,Karen Lozano,A5035832202,exact,I2802326326,round2_inst,233
59,John C Lusth,A5089842361,fuzzy,I120156002,round2_inst,55
60,Bruce A Hungate,A5009308983,fuzzy,I203172682,round2_inst,413
61,Joel J Ducoste,A5064009792,fuzzy,I137902535,round2_inst,137
62,Bruce L Sherin,A5008308261,fuzzy,I111979921,round2_inst,86
63,Javier Pena,A5016340912,alias,I74973139,round3_semantic,151
65,Farhad A Jaberi,A5113676316,fuzzy,I87216513,round2_inst,142
66,Harley T Johnson,A5063163251,fuzzy,I111088046,round2_inst,170
67,Daniel Kuchma,A5085000746,alias,I157725225,round2_inst,122
69,Allen W Song,A5047732669,fuzzy,I170897317,round2_inst,172
70,Srinivasan Seshan,A5088871947,exact,I74973139,round2_inst,247
72,Leslie B Vosshall,A5079331462,fuzzy,I83399316,round2_inst,166
73,Christoforos Hadjicostis,A5030551100,alias,I157725225,round2_inst,418
74,Jiang Shaoyi,A5038694725,alias,I201448701,round3_semantic,84
75,Lonnie D Shea,A5108696727,fuzzy,I111979921,round3_semantic,83
77,Philip Camill,A5078777449,exact,,name_unique,75
78,Katsuo Kurabayashi,A5044697741,exact,,name_unique,219
79,Sandeep S Kulkarni,A5072787717,fuzzy,I87216513,round3_semantic,274
80,Cagliyan Kurdak,A5070876029,alias,I27837315,round2_inst,177
82,Allison Druin,A5011867834,alias,I66946132,round2_inst,296
83,Hoe I Ling,A5102134085,fuzzy,I78577930,round2_inst,146
84,Sanjay J Patel,A5104048759,fuzzy,I157725225,round3_semantic,109
85,Eric Knuth,A5064787956,exact,,name_unique,96
87,Todd Holmes,A5015556753,alias,I57206974,round2_inst,119
88,Jonah D Erlebacher,A5031432851,fuzzy,I145311948,round2_inst,133
89,Joseph M Reinhardt,A5066017625,fuzzy,I126307644,round2_inst,299
90,Shaowei Chen,A5100604750,exact,I110378019,round2_inst,660
91,Stephen D Scott,A5002697978,fuzzy,I114395901,round2_inst,105
93,Alok Gupta,A5022969857,exact,I140172145,round3_semantic,349
95,Germano S Iannacchione,A5018809170,fuzzy,I107077323,round2_inst,182
96,Bridget R Rogers,A5008252149,fuzzy,I200719446,round2_inst,91
97,Sara A McComb,A5045365746,fuzzy,I24603500,round2_inst,95
99,Sasha A Barab,A5109516073,fuzzy,I592451,round2_inst,142
100,Eric Rotenberg,A5090803057,exact,,name_unique,97
101,Daniel Andresen,A5061622185,exact,I189590672,round2_inst,92
102,Remzi H Arpaci-Dusseau,A5035064257,fuzzy,I135310074,round2_inst,230
103,Gustavo Gioia,A5040565613,exact,,name_unique,106
104,Francis L de los Reyes,A5057314552,alias,I137902535,round3_semantic,161
105,Philip M Kaminsky,A5010467794,fuzzy,I95457486,round2_inst,73
106,Hussain Al-Asaad,A5057526944,exact,,name_unique,53
107,Douglas J Emlen,A5011148264,fuzzy,I6750721,round2_inst,122
108,Christopher O Jaynes,A5109224158,fuzzy,I143302722,round2_inst,36
109,ERCHIN SERPEDIN,A5034213361,exact,,round3_semantic,509
110,Steven A Cummer,A5052409233,fuzzy,I170897317,round3_semantic,626
111,Laura A Katz,A5024826537,fuzzy,I202524275,round3_semantic,214
112,Wallapak Tavanapong,A5045434780,alias,I173911158,round2_inst,160
114,Jose Holguin-Veras,A5055308618,exact,,name_unique,316
115,Brian D Fields,A5013197591,fuzzy,I157725225,round2_inst,308
116,Kathleen P Howard,A5102976487,fuzzy,I118020396,round2_inst,47
117,David E Evans,A5027001546,fuzzy,I51556381,round3_semantic,344
118,Jeffrey P Carpenter,A5049109639,fuzzy,I195575238,round3_semantic,465
119,Dan Suciu,A5048204602,alias,I201448701,round2_inst,517
120,Mark P Foster,A5082288662,alias,I52357470,round2_inst,175
121,Lynn M Walker,A5056509400,fuzzy,I74973139,round2_inst,171
122,Zoran Popovic,A5050910253,alias,I201448701,round3_semantic,294
123,Elizabeth D Mynatt,A5074346094,fuzzy,I130701444,round2_inst,291
124,Garud N Iyengar,A5029998274,fuzzy,I78577930,round2_inst,191
125,David P Luebke,A5039425451,fuzzy,I51556381,round3_semantic,176
126,Mohammed J Zaki,A5019559411,alias,I165799507,round2_inst,455
127,Stephanie A Guerlain,A5084958669,fuzzy,I51556381,round2_inst,124
129,Tohren C Kibbey,A5052547589,fuzzy,I8692664,round2_inst,97
130,Sonya J Franklin,A5043249096,fuzzy,I126307644,round2_inst,34
131,Erik Sontheimer,A5025571012,alias,I111979921,round2_inst,139
132,Yin-Long Qiu,A5109887766,alias,I24603500,round3_semantic,38
133,Jorge Vivanco,A5036984771,alias,I92446798,round3_semantic,186
134,Mark Craven,A5071722704,exact,I135310074,round2_inst,150
136,Daniele Micciancio,A5023640008,exact,I36258959,round2_inst,192
137,David A Bader,A5076610730,fuzzy,I169521973,round2_inst,507
138,Michael S Hsiao,A5108516165,fuzzy,I102322142,round2_inst,301
139,Todd M Austin,A5113456715,fuzzy,I27837315,round3_semantic,199
140,Jason Nieh,A5055391594,exact,,name_unique,199
141,Tara M Madhyastha,A5062209759,fuzzy,I185103710,round2_inst,99
142,Jignesh M Patel,A5069237428,fuzzy,I27837315,round3_semantic,261
143,Alexander C Russell,A5088846595,fuzzy,I140172145,round2_inst,391
144,Jennifer A Swift,A5063595512,fuzzy,I184565670,round2_inst,151
145,Nancy S Pollard,A5011046225,fuzzy,I27804330,round2_inst,149
146,Michael J Solomon,A5085838168,fuzzy,I27837315,round2_inst,206
147,Anindya Banerjee,A5003706361,alias,I108468826,round2_inst,161
148,Mahmut T Kandemir,A5007116603,fuzzy,I130769515,round3_semantic,1018
149,VIJAYKRISHNAN NARAYANAN,A5039645408,alias,I130769515,round3_semantic,66
150,Charles F Gammie,A5004324846,fuzzy,I157725225,round2_inst,286
152,Robert L Givan,A5007751369,fuzzy,,round3_semantic,73
153,Gregory D Buckner,A5004978286,fuzzy,I137902535,round2_inst,182
154,Vikram Jandhyala,A5014031807,exact,,name_unique,167
155,Radu Marculescu,A5065985595,alias,I74973139,round3_semantic,383
156,Ilya Pollak,A5083517175,exact,,round3_semantic,96
157,Donald Yeung,A5042239243,alias,I66946132,round2_inst,93
158,Elizabeth Varki,A5044052739,exact,,name_unique,30
160,Walid G Aref,A5000123743,alias,I219193219,round2_inst,343
161,Sanjeev Khanna,A5039619350,exact,I79576946,round3_semantic,374
162,Johannes G Khinast,A5075395567,fuzzy,I102322142,round2_inst,821
163,Javed A Aslam,A5107005206,fuzzy,I107672454,round3_semantic,114
164,Haralabos C Papadopoulos,A5107541137,fuzzy,I66946132,round2_inst,84
165,Adrian Sandu,A5008436217,alias,I11957088,round2_inst,429
166,Matthew Franklin,A5065476011,exact,I84218800,round2_inst,233
167,Satyandra K Gupta,A5083094281,fuzzy,I66946132,round2_inst,520
168,Valery Kiryukhin,A5020371930,alias,I102322142,round2_inst,147
169,Tarek F Abdelzaher,A5087114395,fuzzy,I51556381,round3_semantic,660
170,Rhonda R Snook,A5026065432,fuzzy,I133999245,round2_inst,118
171,Giovanni Zangari,A5076102570,alias,I17301866,round2_inst,422
172,Zhi D Chen,A5100456818,fuzzy,I143302722,round3_semantic,166
173,Klaus Mueller,A5070670810,alias,I59553526,round3_semantic,489
174,Elza Erkip,A5084526367,alias,I57206974,round3_semantic,501
177,Wenfei Fan,A5070565287,alias,I84392919,round2_inst,275
178,Bing Zhang,A5100389684,alias,I86519309,round3_semantic,391
179,Benjamin A Watson,A5016365293,fuzzy,I111979921,round2_inst,160
180,Gleb N Naumovich,A5051025628,fuzzy,I57206974,round2_inst,44
181,Zhong-Ping Jiang,A5067046312,alias,I57206974,round3_semantic,725
182,Onur G Guleryuz,A5028089028,fuzzy,,round3_semantic,86
183,Radha Poovendran,A5079723268,alias,I201448701,round2_inst,458
184,Marianne C Nyman,A5054984933,fuzzy,I165799507,round2_inst,41
185,Erik A Lundquist,A5061666543,fuzzy,I146416000,round2_inst,94
186,Samuel Bentley,A5076957021,alias,I121820613,round2_inst,208
187,Marina Vannucci,A5030348494,alias,I91045830,round2_inst,258
188,Jianshu Cao,A5049476042,exact,I63966007,round3_semantic,318
189,Javier Garcia-Frias,A5033296732,alias,I86501945,round3_semantic,239
190,Michael R Geller,A5075172384,fuzzy,,round3_semantic,169
191,Peter A Dinda,A5077304920,fuzzy,I111979921,round2_inst,212
192,Andres J Garcia,A5011208920,alias,I130701444,round3_semantic,411
193,Faramarz Fekri,A5083854532,exact,,name_unique,345
194,Srinivas Akella,A5002379534,alias,I165799507,round2_inst,124
195,David H Laidlaw,A5030179454,fuzzy,I27804330,round2_inst,300
196,Yuguang Fang,A5016290340,alias,I33213144,round3_semantic,748
200,Trac D Tran,A5101413113,fuzzy,I145311948,round2_inst,354
201,Lei He,A5008695429,exact,I135310074,round3_semantic,356
202,Rastislav Bodik,A5085160432,alias,I135310074,round2_inst,199
203,Jan Vitek,A5084307280,exact,,round3_semantic,337
204,Richard B Gillespie,A5020611092,alias,I27837315,round3_semantic,166
205,Thad Starner,A5045801671,alias,I130701444,round3_semantic,356
207,John W Byers,A5103066327,fuzzy,I111088046,round3_semantic,128
208,Jennifer M Schopf,A5069008173,fuzzy,I111979921,round2_inst,71
209,Srinivas Katkoori,A5016167446,exact,,name_unique,209
210,William S Noble,A5057375933,fuzzy,I78577930,round2_inst,536
211,Kaoru Kitajima,A5079553350,exact,,name_unique,177
212,Chung-Ping Chen,A5007786120,alias,I135310074,round3_semantic,72
213,Jonathan Luntz,A5031046794,exact,,name_unique,122
214,Bojan Cukic,A5015369081,alias,I12097938,round2_inst,227
216,Soha Hassoun,A5048817284,exact,I121934306,round3_semantic,140
217,Michael L Summers,A5005016727,fuzzy,I157638225,round2_inst,32
218,Elizabeth C Butler,A5008168983,fuzzy,I8692664,round2_inst,58
219,David Wagner,A5062174672,alias,I95457486,round3_semantic,334
220,Thomas A Funkhouser,A5079619886,fuzzy,I20089843,round3_semantic,266
222,Jeff G Erickson,A5042187195,alias,I157725225,round2_inst,201
223,Muriel Medard,A5075370174,exact,,name_unique,1027
224,Vivek Pai,A5111364451,alias,I20089843,round2_inst,74
225,Hillol Kargupta,A5110725220,alias,I79272384,round2_inst,108
226,Krste Asanovic,A5035134864,exact,,name_unique,299
228,David Mazières,A5085123747,exact,,name_unique,150
229,Adriana B Compagnoni,A5014810005,fuzzy,I108468826,round2_inst,45
230,Shaochen Chen,A5018690367,exact,I173911158,round2_inst,218
231,Margrit Betke,A5058798782,exact,I111088046,round2_inst,279
232,Yi-Jen Chiang,A5070100758,alias,I57206974,round3_semantic,64
234,Denis Zorin,A5061986862,exact,I57206974,round2_inst,299
236,Mei Hong,A5013024407,exact,I173911158,round2_inst,367
237,Mona Singh,A5085615320,exact,I20089843,round3_semantic,191
238,Torsten Suel,A5074323303,alias,I57206974,round2_inst,158
239,Inderjit S Dhillon,A5063459703,fuzzy,I86519309,round2_inst,383
240,Dieter Fox,A5108257764,alias,I201448701,round3_semantic,565
241,Ravi Prakash,A5091471408,exact,I162577319,round2_inst,199
242,Vikram S Adve,A5059017058,fuzzy,I157725225,round2_inst,175
243,Jeffrey A Bilmes,A5091674429,fuzzy,I201448701,round2_inst,108
245,Mitchell Albert,A5032959079,alias,I1283280774,round3_semantic,119
246,Rabi G Mishalani,A5014326748,fuzzy,I52357470,round2_inst,95
247,Mehran Mesbahi,A5040511603,alias,I130238516,round2_inst,372
248,Songwu Lu,A5020188879,exact,I161318765,round2_inst,228
250,Michelle Zandieh,A5016559366,exact,,name_unique,60
251,Gloria Mark,A5045528013,alias,I204250578,round2_inst,274
252,Michael D McGehee,A5053377236,fuzzy,I97018004,round2_inst,388
253,Daniel D Suthers,A5090478854,fuzzy,I1331384533,round2_inst,214
255,Steven J Skerlos,A5020191944,fuzzy,I27837315,round2_inst,143
256,Konstantinos Konstantopoulos,A5049898092,alias,I145311948,round3_semantic,274
257,Anh-Vu Pham,A5032698430,exact,I8078737,round2_inst,234
258,Chenning Tong,A5081158272,exact,,name_unique,94
259,James W Schneider,A5028147543,fuzzy,I74973139,round2_inst,134
260,Brian D Conrad,A5112195514,fuzzy,I27837315,round2_inst,110
262,Jeong Bong Lee,A5100722991,alias,I121820613,round2_inst,318
264,Daniel W Apley,A5050269446,fuzzy,,round3_semantic,199
265,Milos Zefran,A5062331167,exact,I39422238,round2_inst,160
266,Tanju Karanfil,A5030524244,exact,I8078737,round3_semantic,234
267,Babak Ziaie,A5023612792,alias,I130238516,round2_inst,301
268,Colin A Wolden,A5038166967,fuzzy,I167576493,round2_inst,236
269,David P Cann,A5087080711,fuzzy,I173911158,round2_inst,195
270,Amy E Childress,A5083478998,fuzzy,I134113660,round2_inst,99
273,Sheryl H Ehrman,A5054030443,fuzzy,I66946132,round2_inst,115
274,Rafael A Rodriguez Solis,A5002672130,alias,I60388903,round2_inst,80
275,Sila Cetinkaya,A5082635574,alias,,round3_semantic,66
276,Thomas R Powers,A5028888734,fuzzy,I27804330,round2_inst,214
277,Roberto A Lopez-Anido,A5032561244,fuzzy,I7947594,round3_semantic,124
278,Doreen Edwards,A5101424978,alias,I49502546,round2_inst,83
279,Caicheng Lu,A5111957381,alias,I143302722,round2_inst,61
280,Terrance Odean,A5065933636,exact,,name_unique,91
281,Christopher T Williams,A5082437517,fuzzy,I155781252,round2_inst,158
283,Vivek B Shenoy,A5011906405,fuzzy,I27804330,round2_inst,436
285,Susanne Stemmer,A5045949022,alias,I74775410,round2_inst,577
286,Gangbing Song,A5045166512,exact,I110152177,round2_inst,707
287,Joan M Redwing,A5020881331,fuzzy,I130769515,round3_semantic,536
288,Hector M Gutierrez,A5025897864,fuzzy,I106959904,round2_inst,140
289,Akram N Alshawabkeh,A5039953924,fuzzy,I12912129,round3_semantic,419
290,James L Mahoney,A5030883842,fuzzy,I27804330,round2_inst,211
291,Steven Quartz,A5109328214,alias,I122411786,round2_inst,40
292,Rastislav Levicky,A5028812493,alias,I78577930,round2_inst,86
293,Joao P Hespanha,A5065218317,fuzzy,I1174212,round2_inst,582
294,Darren L Hitt,A5074651090,fuzzy,I111236770,round2_inst,143
295,Fernando A Escobedo,A5070568143,fuzzy,I205783295,round2_inst,233
296,Linda K Weavers,A5017180729,fuzzy,I52357470,round2_inst,93
297,Z. Jane Wang,A5006615632,alias,I205783295,round3_semantic,37
298,Edwin A Cowen,A5082620748,fuzzy,I205783295,round2_inst,108
299,Karen J Burg,A5057096469,fuzzy,I8078737,round3_semantic,194
301,Veena Misra,A5005287576,exact,I137902535,round3_semantic,308
302,Lisa H Weasel,A5031708975,fuzzy,I126345244,round2_inst,38
303,David W Wright,A5059857190,fuzzy,I165102784,round3_semantic,181
304,Michelle C LaPlaca,A5068984259,fuzzy,I130701444,round2_inst,115
305,Sergio Fantini,A5079919056,alias,I121934306,round2_inst,383
306,Lucio Soibelman,A5076723906,exact,,name_unique,183
307,Pinar Keskinocak,A5089066562,alias,I130701444,round2_inst,232
308,Baolin Deng,A5001009962,alias,I207123951,round2_inst,178
309,Kwabena A Boahen,A5077089453,fuzzy,I79576946,round2_inst,136
310,Steven G Buckley,A5017260263,fuzzy,I66946132,round2_inst,70
311,Eric A Seagren,A5091123812,fuzzy,I66946132,round2_inst,71
312,Vladimir Bulovic,A5068974466,exact,I63966007,round3_semantic,421
313,Reginald DesRoches,A5068305695,exact,,name_unique,264
314,Patrick T Mather,A5036819141,fuzzy,I140172145,round2_inst,246
316,Leon M Tolbert,A5014930285,fuzzy,I75027704,round2_inst,661
317,Donald J Leo,A5103389841,fuzzy,I859038795,round2_inst,368
318,Camilla M Kao,A5042850506,fuzzy,I97018004,round2_inst,48
321,Jennifer O Hasler,A5073433071,fuzzy,I130701444,round2_inst,128
322,Steven Warren,A5037148872,alias,I189590672,round2_inst,163
324,Michael D Mann,A5058566977,fuzzy,I24571045,round3_semantic,142
325,Hui Cao,A5077407439,alias,I111979921,round3_semantic,263
326,Nicola Elia,A5020511287,exact,I173911158,round2_inst,169
327,Alexander A Balandin,A5075533015,fuzzy,I103635307,round2_inst,849
