dataset,rid,us_name,authorid,match_type,host_id,source,n_papers,award_number,start_year
us_since1990,0,Uri Wilensky,A5050932651,exact,I111979921,round3_semantic,297,"=""0003285""",2000
us_since1990,1,Anna Stefanopoulou,A5089318617,alias,I27837315,round2_inst,579,"=""0049025""",2000
us_since1990,2,Stephanie J Rowley,A5054574917,fuzzy,I27837315,round2_inst,108,"=""0049036""",2000
us_since1990,3,Sarah T Gille,A5025720255,fuzzy,I150209017,round2_inst,328,"=""0049066""",2000
us_since1990,4,Lori L Graham-Brady,A5049156729,fuzzy,I145311948,round2_inst,113,"=""0049067""",2000
us_since1990,5,Lisa K Fleischer,A5045233402,fuzzy,I74973139,round2_inst,111,"=""0049071""",2000
us_since1990,6,Julie Ann Williams,A5101676657,alias,,round3_semantic,31,"=""0049074""",2000
us_since1990,7,Manuel A Perez-Quinones,A5090623874,fuzzy,I859038795,round2_inst,252,"=""0049075""",2000
us_since1990,8,James D Bever,A5051832543,fuzzy,I592451,round2_inst,259,"=""0049080""",2000
us_since1990,9,Nikos P Chrisochoides,A5112765336,fuzzy,I16285277,round2_inst,196,"=""0049086""",2000
us_since1990,10,Venugopal Veeravalli,A5067089715,alias,I157725225,round2_inst,456,"=""0049089""",2000
us_since1990,11,Leonard J Schulman,A5065859226,fuzzy,I122411786,round2_inst,199,"=""0049092""",2000
us_since1990,12,Steven M Seitz,A5068254275,fuzzy,I201448701,round2_inst,202,"=""0049095""",2000
us_since1990,13,Kay M Nelson,A5102228531,fuzzy,I223532165,round2_inst,46,"=""0079897""",2000
us_since1990,14,Diana Marculescu,A5065985595,alias,I74973139,round2_inst,383,"=""0084479""",2000
us_since1990,15,Moshe E Ben-Akiva,A5029085275,fuzzy,I63966007,round2_inst,653,"=""0085734""",2000
us_since1990,16,Mark J Schiefsky,A5003777796,fuzzy,I136199984,round2_inst,46,"=""0085960""",2000
us_since1990,17,Stephan W Haas,A5072396734,fuzzy,I1174212,round2_inst,330,"=""0089882""",2001
us_since1990,18,Michael J Krische,A5042928999,fuzzy,I86519309,round2_inst,770,"=""0090441""",2001
us_since1990,20,Scott E Feller,A5111564274,fuzzy,I24511612,round3_semantic,116,"=""0091508""",2001
us_since1990,21,Gianluca Lazzi,A5044898858,exact,,name_unique,247,"=""0091599""",2001
us_since1990,22,Susan C Alberts,A5007247836,fuzzy,I170897317,round2_inst,278,"=""0091612""",2001
us_since1990,23,Donald F Becker,A5008162458,fuzzy,I208333798,round2_inst,141,"=""0091664""",2001
us_since1990,24,Hudson Turner,A5084281533,exact,,name_unique,32,"=""0091773""",2001
us_since1990,27,Ross T Whitaker,A5109840277,fuzzy,I223532165,round2_inst,347,"=""0092065""",2000
us_since1990,29,William H Sandholm,A5017369526,fuzzy,I135310074,round2_inst,116,"=""0092145""",2001
us_since1990,30,Sandor J Kovacs,A5064922824,fuzzy,I201448701,round3_semantic,270,"=""0092165""",2001
us_since1990,32,Jeehiun K Lee,A5003515402,fuzzy,I102322142,round3_semantic,75,"=""0092215""",2001
us_since1990,33,Christopher G Healey,A5013460936,fuzzy,I137902535,round3_semantic,118,"=""0092308""",2001
us_since1990,34,Frank J Loge,A5014796364,fuzzy,I72951846,round2_inst,148,"=""0092312""",2001
us_since1990,35,Joachim L Grenestedt,A5108565515,fuzzy,I186143895,round2_inst,78,"=""0092406""",2001
