row_id,organization,state,PI,award
3,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Rui Hu,2548395
385,Federation of Amer Societies For Exper Biology,MD,Ralph Scully,2609303
403,Federation of Amer Societies For Exper Biology,MD,Dean Dawson,2554662
427,University of Arkansas Agricultural Experiment Station,AR,Dongyi Wang,2542318
524,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Mae S Gustin,2535867
562,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Facundo Scordo,2536668
587,"Conger, Kathryn Summerville",FL,Kathryn S Conger,2507339
588,"Gibbs, William C",CA,William C Camarillo-Gibbs,2506948
589,"Boyce, Veronica",CA,Veronica Boyce,2507597
590,"Fudyma, Jane D",CA,Jane D Fudyma,2508278
591,"Becker, Amelia Ann",MA,Amelia A Becker,2507720
597,"Collins, Katherine Maeve",,Katherine M Collins,2507321
616,University of California-San Diego Scripps Inst of Oceanography,CA,Elizabeth Hetherington,2519661
618,University of California-San Diego Scripps Inst of Oceanography,CA,Mark A Zumberge,2525394
638,"Dunn, Tamsen Jane",CA,Tamsen J Dunn,2507596
675,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Erin Hanan,2535904
746,Mount San Antonio College,CA,eugene l mahmoud,2450069
755,University Enterprises Corporation at CSUSB,CA,Yunfei Hou,2524227
914,University of California-San Diego Scripps Inst of Oceanography,CA,Alice-Agnes Gabriel,2603524
931,"Tian, David",CA,David Tian,2508095
932,"Durkee, Lily F",CO,Lily F Durkee,2508266
947,Center for the Future of Arizona,AZ,Cynthia R Erwin-Hogberg,2435002
1002,"Technology Entrepreneur Center, Inc.",MO,Noah Butler,2517485
1009,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Misty Riddle,2439248
1015,Chatham College,PA,William C Pfalzgraff,2532916
1018,COMPUTER LEARNING CENTERS INC,PR,Alexis R Torres,2445719
1040,"Sisk, Lucinda M",CT,Lucinda M Sisk,2507497
1046,University Enterprises Corporation at CSUSB,CA,Tandis Bidgoli,2447389
1060,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Ignacio L Montoya,2450773
1099,"Porter, Blaire M",TX,Blaire M Porter,2507469
1135,University of California-San Diego Scripps Inst of Oceanography,CA,Ivana Cerovecki,2409690
1201,IMPACT ALLIES INC,FL,Christopher Baechle,2449173
1223,Saint Olaf College,MN,Cassandra Joiner,2531169
1245,"Morris, Benjamin",IL,Benjamin Morris,2507555
1252,"Nicholas, Jonathan",NY,Jonathan Nicholas,2507527
1282,Farallon Institute for Advanced Ecosystem Research,CA,William J Sydeman,2516648
1291,University of California-San Diego Scripps Inst of Oceanography,CA,Margaret L Odlum,2444790
1292,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Andrew V Zuza,2444791
1334,"Bagherian, Hengameh",MA,Hengameh Bagherian,2503442
1394,American Institutes for Research in the Behavioral Sciences,VA,Kathryn M Rich,2524594
1408,University of Arkansas Agricultural Experiment Station,AR,Rich Adams,2529693
1415,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Elnaz Esmaeilzadeh Seylabi,2441870
1456,"Hamchand, Randy",CT,Randy Hamchand,2507806
1471,ALAMO COMMUNITY COLLEGE DISTRICT - St. Philip's College,TX,Donald S Fernandez,2501498
1556,Rowe                    Amanda         K,WA,Amanda K Rowe,2506906
1593,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Sandhya K Narayanan,2443569
1630,"Naik, Abhishek T",CT,Abhishek T Naik,2508220
1711,College of William & Mary Virginia Institute of Marine Science,VA,Bongkeun Song,2446788
1735,Texas A&M AgriLife Extension Service,TX,Zong Liu,2443174
1915,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Floriana Petrone,2443744
1920,Federation of Amer Societies For Exper Biology,MD,Elias T Spiliotis,2514388
1931,"Clark, Eliza I",CO,Eliza I Clark,2410539
1963,CRYPTO TUTORS LLC,FL,Nina Blankenship,2450577
2023,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Maryam Raeeszadeh Sarmazdeh,2440126
2053,Chicago Horticultural Society,IL,Sarah C Jones,2447421
2116,"Hippee, Alaine C",IA,Alaine C Hippee,2410200
2124,INCUENTRO LLC,TX,Brandi A Timmons,2506644
2127,NEXTGENEDU INC,FL,Amber J Avery,2507751
2214,University of California-San Diego Scripps Inst of Oceanography,CA,Ross Parnell-Turner,2427181
2277,University of California-San Diego Scripps Inst of Oceanography,CA,Duncan Watson-Parris,2441832
2297,MOLLOY UNIVERSITY,NY,Maureen M Sanz,2424843
2334,"Hankel, Camille",MA,Camille Hankel,2414916
2345,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Nicholas B Borotto,2441737
2406,"Anderson, Amy Susan",CA,Amy S Anderson,2404318
2444,"Girouard-Hallam, Lauren Nicole",KY,Lauren N Girouard-Hallam,2404635
2448,"Smith, Jason D",MI,Jason D Smith,2404659
2482,"Akopyan, Maria",CA,Maria Akopyan,2410227
2510,"Sukhdeo, Raymond",CA,Raymond Sukhdeo,2428698
2601,TMT INTERNATIONAL OBSERVATORY LLC,CA,Robert P Kirshner,2437863
2625,CSU Fullerton Auxiliary Services Corporation,CA,Yu Bai,2433391
2639,CSU Fullerton Auxiliary Services Corporation,CA,Theodore P Chao,2533089
2735,IONA UNIVERSITY,NY,Sunghee Lee,2417365
2761,"Yap-Chiongco, Meghan K",AL,Meghan K Yap-Chiongco,2410242
2766,University of Missouri-Saint Louis,MO,Jalene LaMontagne,2521318
2777,"Socolof, Michaela",,Michaela Socolof,2404542
2779,PRISSEM ACADEMIC SERVICES LLC,VA,Falcon Rankins,2326680
2785,"German, Austin A",TX,Austin A German,2404654
2791,DATA ELEVATE LLC,CA,Prem Durairaj,2415733
2816,North Arkansas College,AR,Rick Williams,2400962
2823,"Hodge, Rachel",NY,Rachel Hodge,2409884
2831,California State L A University Auxiliary Services Inc.,CA,Travis Hu,2425229
2837,"Brockbank, Erik",CA,Erik Brockbank,2404706
2874,"Tsutsui, Martha Satoko",WA,Martha S Tsutsui,2313734
2885,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Hamed Ebrahimian,2339251
2892,"Nevada System of Higher Education, Desert Research Institute",NV,Alison E Murray,2142912
2896,EPIXEGO INC.,CA,Anita Balaraman,2422894
2918,"Melguy, Yevgeniy",CA,Yevgeniy Melguy,2303087
2939,"Bergey, Claire Augusta",WI,Claire A Bergey,2404676
2967,"Carrera, Sofia",IL,Sofia Carrera,2404774
