row_id,AwardNumber,PrincipalInvestigator,OrganizationState,inst_name,host_openalex_id,matched_name,method,relevance,ror
0,"=""2531827""",Joseph R Burger,KY,University of Kentucky Research Foundation,I143302722,University of Kentucky,exact,241864.08,https://ror.org/02k3smh20
1,"=""2548111""",John M Logsdon,IA,University of Iowa,I126307644,University of Iowa,exact,311126.75,https://ror.org/036jqmy94
2,"=""2542666""",Bo Waggoner,CO,University of Colorado at Boulder,,,pending,,
3,"=""2548395""",Rui Hu,NV,"Board of Regents, NSHE, obo University of Nevada, Reno",,,none,,
4,"=""2541822""",Jiaxin Huang,MO,Washington University,,,pending,,
5,"=""2541754""",Heng Zuo,NM,University of New Mexico,I169521973,University of New Mexico,exact,253756.72,https://ror.org/05fs6jp91
6,"=""2548388""",Jiang Hu,TX,Texas A&M Engineering Experiment Station,I4391767840,Texas A&M Engineering Experiment Station,exact,20333.14,https://ror.org/03p8qrw52
7,"=""2541748""",Chenguang Wang,CA,University of California-Santa Cruz,I185103710,"University of California, Santa Cruz",exact,448544.25,https://ror.org/03s65by71
8,"=""2543284""",Tianhao Wang,VA,University of Virginia Main Campus,,,pending,,
9,"=""2544741""",Gen Li,CA,University of California-Santa Barbara,I154570441,"University of California, Santa Barbara",exact,528566.44,https://ror.org/02t274463
10,"=""2544044""",Shangqing Zhao,OK,University of Oklahoma Norman Campus,,,pending,,
11,"=""2544323""",Poulami Das,TX,University of Texas at Austin,,,pending,,
12,"=""2541085""",Andrea Wei Coladangelo,WA,University of Washington,I201448701,University of Washington,exact,658461.0,https://ror.org/00cvxb145
13,"=""2541127""",Chinmay Nirkhe,WA,University of Washington,I201448701,University of Washington,exact,658461.0,https://ror.org/00cvxb145
14,"=""2544544""",Ramin Ayanzadeh,CO,University of Colorado at Boulder,,,pending,,
15,"=""2542450""",Qianyun Zhang,NM,New Mexico State University,I10052268,New Mexico State University,exact,150111.33,https://ror.org/00hpz7z43
16,"=""2540851""",Boqing Gong,MA,Trustees of Boston University,I111088046,Boston University,exact,331720.62,https://ror.org/05qwgg493
17,"=""2538522""",Pan Xu,NJ,New Jersey Institute of Technology,I118118575,New Jersey Institute of Technology,exact,126680.81,https://ror.org/05e74xb87
18,"=""2543245""",Jian Zhang,AR,University of Arkansas,,,pending,,
19,"=""2543737""",Shuna Ni,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,517402.7,https://ror.org/047s2c258
20,"=""2540284""",Sean P Howe,UT,University of Utah,I223532165,University of Utah,exact,338540.44,https://ror.org/03r0ha626
21,"=""2540898""",Junsoo Kim,IL,Northwestern University at Chicago,,,pending,,
22,"=""2543646""",Sandhya Saisubramanian,OR,Oregon State University,I131249849,Oregon State University,exact,234353.23,https://ror.org/00ysfqy60
23,"=""2541285""",Serena Booth,RI,Brown University,I27804330,Brown University,exact,291379.72,https://ror.org/05gq02987
24,"=""2544055""",Xijun Shi,TX,Texas State University - San Marcos,,,pending,,
25,"=""2543720""",Leah Spangler,VA,Virginia Commonwealth University,I184840846,Virginia Commonwealth University,exact,282190.47,https://ror.org/02nkdxk79
26,"=""2542152""",Lan Zhang,SC,Clemson University,I8078737,Clemson University,exact,181648.36,https://ror.org/037s24f05
27,"=""2543078""",Gabrielle J Gutierrez,NY,Barnard College,I98540497,Barnard College,exact,53866.902,https://ror.org/04rt94r53
28,"=""2542188""",Benjamin J Delaware,IN,Purdue University,,,pending,,
29,"=""2623385""",Danica M Ommen,IA,Iowa State University,I173911158,Iowa State University,exact,302469.25,https://ror.org/04rswrd78
30,"=""2542612""",Jihong A Ma,VT,University of Vermont & State Agricultural College,I111236770,University of Vermont,exact,17257.691,https://ror.org/0155zta11
31,"=""2548201""",Patrick J Walsh,PA,University of Pennsylvania,I79576946,University of Pennsylvania,exact,533445.25,https://ror.org/00b30xv10
32,"=""2543492""",Lin Cheng,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,517402.7,https://ror.org/047s2c258
33,"=""2541764""",Forest Agostinelli,SC,University of South Carolina at Columbia,,,pending,,
34,"=""2542943""",Zhenyu Gan,NY,Syracuse University,I70983195,Syracuse University,exact,217789.78,https://ror.org/025r5qe02
35,"=""2543679""",Daniel Fried,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,525784.25,https://ror.org/05x2bcf33
36,"=""2543541""",Alexis M Mychajliw,VT,Middlebury College,I195575238,Middlebury College,exact,47012.35,https://ror.org/0217hb928
37,"=""2541220""",Luis A Ceferino,CA,University of California-Berkeley,I95457486,"University of California, Berkeley",exact,767563.6,https://ror.org/01an7q238
38,"=""2610102""",Bruno Nachtergaele,CA,University of California-Davis,I84218800,"University of California, Davis",exact,563492.8,https://ror.org/05rrcem69
39,"=""2541258""",Kirill Y Lazebnik,TX,University of Texas at Dallas,,,pending,,
40,"=""2542514""",Andrea Contina,TX,The University of Texas Rio Grande Valley,I2802326326,The University of Texas Rio Grande Valley,exact,178381.81,https://ror.org/02p5xjf12
41,"=""2543856""",Shuang Zhang,TX,Texas A&M University,I91045830,Texas A&M University,exact,529452.2,https://ror.org/01f5ytq51
42,"=""2614091""",Kevin A Adkins,FL,Embry-Riddle Aeronautical University,I84475105,Embry–Riddle Aeronautical University,exact,169511.83,https://ror.org/010jskt71
43,"=""2542768""",Afsaneh Razi,PA,Drexel University,I72816309,Drexel University,exact,220888.36,https://ror.org/04bdffz58
44,"=""2543591""",Ting Liao,NJ,Stevens Institute of Technology,I108468826,Stevens Institute of Technology,exact,100096.36,https://ror.org/02z43xh36
45,"=""2543343""",Dariush M Heiranian,NC,North Carolina State University,I137902535,North Carolina State University,exact,346100.38,https://ror.org/04tj63d06
46,"=""2542270""",SeungYeon Kang,CT,University of Connecticut,I140172145,University of Connecticut,exact,207462.23,https://ror.org/02der9h97
47,"=""2543048""",Haihan Sun,WI,University of Wisconsin-Madison,I135310074,University of Wisconsin–Madison,exact,732044.5,https://ror.org/01y2jtd41
48,"=""2543754""",Seyyedali Hosseinalipour,NY,SUNY at Buffalo,,,pending,,
49,"=""2540555""",Jieyang Chen,OR,University of Oregon Eugene,,,pending,,
50,"=""2541050""",Thierry Tambe,CA,Stanford University,I97018004,Stanford University,exact,742733.94,https://ror.org/00f54p054
51,"=""2541857""",Tej Chajed,WI,University of Wisconsin-Madison,I135310074,University of Wisconsin–Madison,exact,732044.5,https://ror.org/01y2jtd41
52,"=""2544727""",Hannah K Larson,CA,University of California-Berkeley,I95457486,"University of California, Berkeley",exact,767563.6,https://ror.org/01an7q238
53,"=""2543094""",Selyna P Beverly,MI,Eastern Michigan University,I138216421,Eastern Michigan University,exact,51484.062,https://ror.org/02ehshm78
54,"=""2540003""",Mutian Hua,WA,University of Washington,I201448701,University of Washington,exact,658461.0,https://ror.org/00cvxb145
55,"=""2548324""",Samantha A Meenach,RI,University of Rhode Island,I17626003,University of Rhode Island,exact,166089.27,https://ror.org/013ckk937
56,"=""2554183""",Paata Ivanisvili,CA,University of California-Irvine,I204250578,"University of California, Irvine",exact,479563.88,https://ror.org/04gyf1771
57,"=""2543592""",Chundun P Khedun,SC,Clemson University,I8078737,Clemson University,exact,181648.36,https://ror.org/037s24f05
58,"=""2542238""",Daniel Khashabi,MD,Johns Hopkins University,I145311948,Johns Hopkins University,exact,1070092.4,https://ror.org/00za53h95
59,"=""2541578""",Noboru Nakamura,IL,University of Chicago,I40347166,University of Chicago,exact,417336.97,https://ror.org/024mw5h28
60,"=""2543177""",Syed Bahauddin Alam,IL,University of Illinois at Urbana-Champaign,,,pending,,
61,"=""2543042""",Jeanette B Moss,VA,Virginia Polytechnic Institute and State University,I859038795,Virginia Tech,exact,39947.05,https://ror.org/02smfhw86
62,"=""2542988""",Sougata Roy,IA,Iowa State University,I173911158,Iowa State University,exact,302469.25,https://ror.org/04rswrd78
63,"=""2533213""",Anne J Shiu,TX,Texas A&M University,I91045830,Texas A&M University,exact,529452.2,https://ror.org/01f5ytq51
64,"=""2541375""",Janani Sampath,FL,University of Florida,I33213144,University of Florida,exact,356164.22,https://ror.org/02y3ad647
65,"=""2542015""",Harmandeep Khare,WA,Gonzaga University,I119888943,Gonzaga University,exact,28247.334,https://ror.org/03ze70h02
66,"=""2540460""",Mattias V Fitzpatrick,NH,Dartmouth College,I107672454,Dartmouth College,exact,232034.67,https://ror.org/049s0rh22
67,"=""2623506""",Jiming Jiang,CA,University of California-Davis,I84218800,"University of California, Davis",exact,563492.8,https://ror.org/05rrcem69
68,"=""2543755""",Yuxin Chen,IL,University of Chicago,I40347166,University of Chicago,exact,417336.97,https://ror.org/024mw5h28
69,"=""2541848""",Gediminas Bertasius,NC,University of North Carolina at Chapel Hill,I114027177,University of North Carolina at Chapel Hill,exact,982622.25,https://ror.org/0130frc33
70,"=""2543328""",Sai Swaminathan,TN,University of Tennessee Knoxville,,,pending,,
71,"=""2543740""",Jida Huang,IL,University of Illinois at Chicago,I39422238,University of Illinois Chicago,exact,88161.21,https://ror.org/02mpq6x41
72,"=""2542321""",Emily D Sanders,GA,Georgia Tech Research Corporation,I130701444,Georgia Institute of Technology,exact,45429.36,https://ror.org/01zkghx44
73,"=""2543476""",Tim Rademacher,VT,University of Vermont & State Agricultural College,I111236770,University of Vermont,exact,17257.691,https://ror.org/0155zta11
74,"=""2543603""",Farhad Imani,CT,University of Connecticut,I140172145,University of Connecticut,exact,207462.23,https://ror.org/02der9h97
75,"=""2544021""",Danae Schulz,CA,Harvey Mudd College,I133543626,Harvey Mudd College,exact,59710.207,https://ror.org/025ecfn45
76,"=""2543840""",Kai Gong,TX,William Marsh Rice University,I74775410,Rice University,exact,83595.18,https://ror.org/008zs3103
77,"=""2542167""",Maryam Hojati,NM,University of New Mexico,I169521973,University of New Mexico,exact,253756.72,https://ror.org/05fs6jp91
78,"=""2607810""",Xiang Tang,MO,Washington University,,,pending,,
79,"=""2618241""",Dan Abramovich,RI,Brown University,I27804330,Brown University,exact,291379.72,https://ror.org/05gq02987
80,"=""2543650""",Abhay Bangalore Ramachandra,IA,Iowa State University,I173911158,Iowa State University,exact,302469.25,https://ror.org/04rswrd78
81,"=""2540620""",Megan G Behringer,TN,Vanderbilt University,I200719446,Vanderbilt University,exact,376721.0,https://ror.org/02vm5rt34
82,"=""2540905""",Estelle Couradeau,PA,Pennsylvania State Univ University Park,,,pending,,
83,"=""2543185""",Agnieszka Truszkowska,AL,University of Alabama in Huntsville,I82495205,University of Alabama in Huntsville,exact,145633.17,https://ror.org/02zsxwr40
84,"=""2540369""",Zhongyang Wang,AL,University of Alabama Tuscaloosa,,,pending,,
85,"=""2542222""",Pan Zhao,AL,University of Alabama Tuscaloosa,,,pending,,
86,"=""2541585""",Zhengtao Gan,AZ,Arizona State University,I55732556,Arizona State University,exact,309255.1,https://ror.org/03efmqc40
87,"=""2541951""",Mona ebrish,TN,Vanderbilt University,I200719446,Vanderbilt University,exact,376721.0,https://ror.org/02vm5rt34
88,"=""2540750""",Paul A Torrey,VA,University of Virginia Main Campus,,,pending,,
89,"=""2543749""",Megan E Holtz,CO,Colorado School of Mines,I167576493,Colorado School of Mines,exact,174094.44,https://ror.org/04raf6v53
90,"=""2543005""",Huan Zhang,IL,University of Illinois at Urbana-Champaign,,,pending,,
91,"=""2542350""",Claus R Danielson,NM,University of New Mexico,I169521973,University of New Mexico,exact,253756.72,https://ror.org/05fs6jp91
92,"=""2540313""",Jukka Vayrynen,IN,Purdue University,,,pending,,
93,"=""2542328""",Ismini Lourentzou,IL,University of Illinois at Urbana-Champaign,,,pending,,
94,"=""2543547""",Haitong Li,IN,Purdue University,,,pending,,
95,"=""2542947""",Giulia Guidi,NY,Cornell University,I205783295,Cornell University,exact,588634.94,https://ror.org/05bnh6r87
96,"=""2542274""",Agnes Thorarinsdottir,NY,University of Rochester,I5388228,University of Rochester,exact,308361.4,https://ror.org/022kthw22
97,"=""2527972""",Matthew J Hankins,AR,Arkansas Tech University,I9508535,Arkansas Tech University,exact,18724.611,https://ror.org/03bahkk91
98,"=""2542756""",Savannah Eisner,NY,Columbia University,I78577930,Columbia University,exact,446640.4,https://ror.org/00hj8s172
99,"=""2545031""",Florian Frick,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,525784.25,https://ror.org/05x2bcf33
100,"=""2541031""",Maxime C Van de Moortel,NJ,Rutgers University New Brunswick,,,pending,,
101,"=""2541327""",Shilva Shrestha,MD,Johns Hopkins University,I145311948,Johns Hopkins University,exact,1070092.4,https://ror.org/00za53h95
102,"=""2540512""",Shijie Cao,WA,University of Washington,I201448701,University of Washington,exact,658461.0,https://ror.org/00cvxb145
103,"=""2541979""",Qian Wang,CA,University of California - Merced,I156087764,"University of California, Merced",exact,117796.48,https://ror.org/00d9ah105
104,"=""2542372""",Zahra Ghodsi,IN,Purdue University,,,pending,,
105,"=""2555553""",Christopher Woodward,NJ,Rutgers University New Brunswick,,,pending,,
106,"=""2541224""",Qian Zhang,CA,University of California-Riverside,I103635307,"University of California, Riverside",exact,336543.8,https://ror.org/03nawhv43
107,"=""2541721""",Muhammad Ali Gulzar,VA,Virginia Polytechnic Institute and State University,I859038795,Virginia Tech,exact,39947.05,https://ror.org/02smfhw86
108,"=""2541217""",Marzieh Memar,TX,University of Texas at San Antonio,,,pending,,
109,"=""2541001""",Yuyang Dong,CO,Colorado State University,I92446798,Colorado State University,exact,246639.95,https://ror.org/03k1gpj17
110,"=""2541237""",Afsah Anwar,NM,University of New Mexico,I169521973,University of New Mexico,exact,253756.72,https://ror.org/05fs6jp91
111,"=""2540867""",Michael V Maseda,WI,University of Wisconsin-Madison,I135310074,University of Wisconsin–Madison,exact,732044.5,https://ror.org/01y2jtd41
112,"=""2609474""",Sanat K Kumar,NY,Columbia University,I78577930,Columbia University,exact,446640.4,https://ror.org/00hj8s172
113,"=""2541871""",Ankun Yang,MI,Oakland University,I177721651,Oakland University,exact,85673.91,https://ror.org/01ythxj32
114,"=""2543553""",Paul Goelz,NY,Cornell University,I205783295,Cornell University,exact,588634.94,https://ror.org/05bnh6r87
115,"=""2538305""",Qiang Liu,NE,University of Nebraska-Lincoln,I114395901,University of Nebraska–Lincoln,exact,318786.7,https://ror.org/043mer456
116,"=""2540907""",Debashri Roy,TX,University of Texas at Arlington,,,pending,,
117,"=""2544442""",Shirley Li,CA,University of California-Irvine,I204250578,"University of California, Irvine",exact,479563.88,https://ror.org/04gyf1771
118,"=""2611532""",Florent P Baudier,TX,Texas A&M University,I91045830,Texas A&M University,exact,529452.2,https://ror.org/01f5ytq51
119,"=""2543425""",Daniel Huh,RI,University of Rhode Island,I17626003,University of Rhode Island,exact,166089.27,https://ror.org/013ckk937
120,"=""2543469""",David J Eckman,TX,Texas A&M Engineering Experiment Station,I4391767840,Texas A&M Engineering Experiment Station,exact,20333.14,https://ror.org/03p8qrw52
121,"=""2544561""",Habiba Farrukh,CA,University of California-Irvine,I204250578,"University of California, Irvine",exact,479563.88,https://ror.org/04gyf1771
122,"=""2541092""",Maha Kenawy,OK,Oklahoma State University,I115475287,Oklahoma State University,exact,165575.27,https://ror.org/01g9vbr38
123,"=""2541023""",Aryan Deshwal,MN,University of Minnesota-Twin Cities,I130238516,University of Minnesota,exact,152130.84,https://ror.org/017zqws13
124,"=""2542773""",Minxiang Zeng,TX,Texas Tech University,I12315562,Texas Tech University,exact,239228.25,https://ror.org/0405mnx93
125,"=""2540394""",Alison Gould,PA,Temple University,I84392919,Temple University,exact,199024.11,https://ror.org/00kx1jb78
126,"=""2542565""",Ari E Martinez,CA,University of California-Santa Cruz,I185103710,"University of California, Santa Cruz",exact,448544.25,https://ror.org/03s65by71
127,"=""2543446""",Saugata Ghose,IL,University of Illinois at Urbana-Champaign,,,pending,,
128,"=""2543822""",Grace C Wu,CA,University of California-Santa Barbara,I154570441,"University of California, Santa Barbara",exact,528566.44,https://ror.org/02t274463
129,"=""2543715""",Yuanwen Jiang,PA,University of Pennsylvania,I79576946,University of Pennsylvania,exact,533445.25,https://ror.org/00b30xv10
130,"=""2553682""",Yiannis Loizides,VA,George Mason University,I162714631,George Mason University,exact,214380.2,https://ror.org/02jqj7156
131,"=""2539529""",Xuan Zhuang,AR,University of Arkansas,,,pending,,
132,"=""2542053""",Juan Zhai,MA,University of Massachusetts Amherst,I24603500,University of Massachusetts Amherst,exact,403944.94,https://ror.org/0072zz521
133,"=""2544087""",Yao Yang,NY,Cornell University,I205783295,Cornell University,exact,588634.94,https://ror.org/05bnh6r87
134,"=""2543251""",Ryo Suzuki,CO,University of Colorado at Boulder,,,pending,,
135,"=""2541341""",Quinton J Bruch,NY,SUNY at Stony Brook,,,pending,,
136,"=""2541378""",Jeffrey M Lipshultz,NY,SUNY at Stony Brook,,,pending,,
137,"=""2542231""",Luis Francisco Villalobos,CA,University of Southern California,I1174212,University of Southern California,exact,471502.03,https://ror.org/03taz7m60
138,"=""2543434""",Xiaoyu Chen,NY,SUNY at Buffalo,,,pending,,
139,"=""2541666""",Ruoqian Lin,CA,University of California-Riverside,I103635307,"University of California, Riverside",exact,336543.8,https://ror.org/03nawhv43
140,"=""2543303""",James Doss-Gollin,TX,William Marsh Rice University,I74775410,Rice University,exact,83595.18,https://ror.org/008zs3103
141,"=""2542492""",Meenal Datta,IN,University of Notre Dame,I107639228,University of Notre Dame,exact,354882.38,https://ror.org/00mkhxb43
142,"=""2540973""",Tianjun Lu,KY,University of Kentucky Research Foundation,I143302722,University of Kentucky,exact,241864.08,https://ror.org/02k3smh20
143,"=""2543711""",Amy K Webster,FL,Florida State University,I103163165,Florida State University,exact,225498.11,https://ror.org/05g3dte14
144,"=""2541292""",Ang Guo,ND,North Dakota State University Fargo,,,pending,,
145,"=""2540613""",Karen King,TN,University of Tennessee Knoxville,,,pending,,
146,"=""2542628""",Masoud Jahandar Lashaki,FL,Florida Atlantic University,I63772739,Florida Atlantic University,exact,130883.586,https://ror.org/05p8w6387
147,"=""2542543""",Aron B Laszka,PA,Pennsylvania State Univ University Park,,,pending,,
148,"=""2543174""",Rajiv Khanna,IN,Purdue University,,,pending,,
149,"=""2607412""",Andres R Vindas Melendez,CA,Harvey Mudd College,I133543626,Harvey Mudd College,exact,59710.207,https://ror.org/025ecfn45
150,"=""2611387""",Jaimie A Krems,CA,University of California-Los Angeles,I161318765,"University of California, Los Angeles",exact,870400.25,https://ror.org/046rm7j60
