row_id,AwardNumber,PrincipalInvestigator,OrganizationState,inst_name,host_openalex_id,matched_name,method,source,jaccard,cover,type,productivity,ror
0,"=""0003285""",Uri Wilensky,IL,Northwestern University,I111979921,Northwestern University,exact,prior,,,,,https://ror.org/000e0be47
1,"=""0049025""",Anna Stefanopoulou,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
2,"=""0049036""",Stephanie J Rowley,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
3,"=""0049066""",Sarah T Gille,CA,University of California-San Diego Scripps Inst of Oceanography,I150209017,Scripps Institution of Oceanography (UC San Diego),human,prior,,,,,
4,"=""0049067""",Lori L Graham-Brady,MD,Johns Hopkins University,I145311948,Johns Hopkins University,exact,prior,,,,,https://ror.org/00za53h95
5,"=""0049071""",Lisa K Fleischer,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,prior,,,,,https://ror.org/05x2bcf33
6,"=""0049074""",Julie Ann Williams,IN,Purdue Research Foundation,I4210088921,Purdue Research Foundation,exact,duckdb,1.0,1.0,nonprofit,37.0,007n03h88
7,"=""0049075""",Manuel A Perez-Quinones,VA,Virginia Polytechnic Institute and State University,I859038795,Virginia Tech,exact,prior,,,,,https://ror.org/02smfhw86
8,"=""0049080""",James D Bever,IN,Indiana University,I592451,Indiana University,exact,prior,,,,,https://ror.org/01kg8sb98
9,"=""0049086""",Nikos P Chrisochoides,VA,College of William and Mary,I16285277,William & Mary,exact,prior,,,,,https://ror.org/03hsf0573
10,"=""0049089""",Venugopal Veeravalli,IL,University of Illinois at Urbana-Champaign,I157725225,University of Illinois Urbana-Champaign,exact,duckdb,1.0,1.0,education,295741.0,047426m28
11,"=""0049092""",Leonard J Schulman,CA,California Institute of Technology,I122411786,California Institute of Technology,exact,prior,,,,,https://ror.org/05dxps055
12,"=""0049095""",Steven M Seitz,WA,University of Washington,I201448701,University of Washington,exact,prior,,,,,https://ror.org/00cvxb145
13,"=""0079897""",Kay M Nelson,UT,University of Utah,I223532165,University of Utah,exact,prior,,,,,https://ror.org/03r0ha626
14,"=""0084479""",Diana Marculescu,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,prior,,,,,https://ror.org/05x2bcf33
15,"=""0085734""",Moshe E Ben-Akiva,MA,Massachusetts Institute of Technology,I63966007,Massachusetts Institute of Technology,exact,prior,,,,,https://ror.org/042nb2s44
16,"=""0085960""",Mark J Schiefsky,MA,Harvard University,I136199984,Harvard University,exact,prior,,,,,https://ror.org/03vek6s52
17,"=""0089882""",Stephan W Haas,CA,University of Southern California,I1174212,University of Southern California,exact,prior,,,,,https://ror.org/03taz7m60
18,"=""0090441""",Michael J Krische,TX,University of Texas at Austin,I86519309,The University of Texas at Austin,fuzzy,prior,,,,,https://ror.org/00hj54h04
19,"=""0090496""",Frank E Loeffler,GA,Georgia Tech Research Corporation,I130701444,Georgia Institute of Technology,exact,prior,,,,,https://ror.org/01zkghx44
20,"=""0091508""",Scott E Feller,IN,Wabash College,I24511612,Wabash College,exact,duckdb,1.0,1.0,education,1707.0,00p11pk44
21,"=""0091599""",Gianluca Lazzi,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
22,"=""0091612""",Susan C Alberts,NC,Duke University,I170897317,Duke University,exact,prior,,,,,https://ror.org/00py81415
